"Nr","name","street","zip","city","openingHours","phone","fax","mail","web","facebook","speakerPrivate","speakerPublic","spokenLanguages","tags","description","F17","F18","F19","F20","F21","F22","F23","F24","F25","F26","F27"
"10","RAA Sachsen Opferberatung - Unterstützung für Betroffene rechtsmotivierter und rassistischer Gewalt","Bautzner Str. 45 ","01099","Dresden","با وقت قبلی: دوشنبه تا پنج شنبه ۹ صبح تا ۶ بعدازظهر","(0351) 88 9 41 74
(0172) 9 74 12 68",,"opferberatung.dresden@raa-sachsen.de","http://raa-sachsen.de/index.php/dresden.html","0","0","0","آلمانی، انگلیسی","فردی، محرمانه، چند زبانه و مشاوره رایگان و پشتیبانی
برای قربانیان خشونت نژادی، بستگان، دوستان و شاهدان حمله به آنها",,,,,,,,,,,,
"11","Willkommen in Hochland","Wachwitzer Höhenweg 10","01328","Dresden","با تقاضای قبلی","0",0.00,"ah1944@web.de","0","0","Michael Bockting, 
Andrea Schomberg, 
Ralf Wilhelm,
Herbert Effinger, 
Gebhard Ruess","0","آلمانی، انگلیسی","دوره آلمانی، نظارت، مجموعه ای از کمک های مالی، روابط عمومی، گفت و گو، امکانات تفریحی","هدف این سازمان بهبود شرایط زندگی پناهندگان و پناهجویان در درسدن و نواحی مرزی است.ارائه کمک و حمایت برای ورود در درسدن و ادغام ساکنان جدید. ارائه مشاوره، مراقبت / پشتیبانی، توسعه فرصت های شغلی، فرهنگی و حوادث دیگر.",,,,,,,,,,,
"12","SPIKE Dresden","Karl-Laux-Str. 5","01219","Dresden","دوشنبه ۹ تا ۱۲ ظهر سه شنبه ۹ تا ۱۲ ظهر و ۱ تا پنج و نیم بعدازظهر","0351/ 281 80 84",0.00,"kontakt@spikedresden.de","www.spikedresden.de","www.facebook.com/SPIKEdresden","Ellen Demnitz-Schmidt","Ellen Demnitz-Schmidt, Frank Meißner","آلمانی، انگلیسی","امکانات تفریحی، یادگیری آلمانی، تماس به ساکنان و کمک های داوطلبانه، گشت و گذار، مجموعه ای از کمک های مالی، کمک به زندگی روزانه، مشاوره","کار ما کمک و حمایت از پناهجویان در Leubnitz-Neuostra و مناطق دیگر از شهر است.ایجاد فضای دوستانه و باز برای جلسات، اوقات فراغت، کارهای اجتماعی، هماهنگی و پیشنهادات مختلفارائه، پشتیبانی و دوست یابی از فعالیت های ماست. اتاق ما حتی می تواند پس از ساعات کار برای اقدامات خاص (مثل فاصله بین صبح و ظهر) استفاده می شود. هر یکشنبه و چهارشنبه از 16.00 -20.00  برای برقراری تماس، ملاقات پناهجویان و برنامه ریزی فعالیت های رایج است.",,,,,,,,,,,
"13","AWO Sonnenstein gGmbH, Migrationsberatung für Erwachsene","Prohliser Allee 10","01239","Dresden","دوشنبه ۹ تا ۱۲ ظهر سه شنبه ۹ تا ۱۲ ظهر و ۱ تا پنج و نیم بعدازظهر","0",0.00,"0","0","0","0","0","0","0","0",,,,,,,,,,,
"14","AWO Sonnenstein gGmbH, Asylberatung","Prohliser Allee 10","01239","Dresden","سه شنبه ۱ تا پنج بعدازظهر جمعه ۹ تا ۱۲ ظهر","0351-26068027",0.00,"asyl@awo-sonnenstein.de","0","0","0","0","0","0","0",,,,,,,,,,,
"15","ZMO-Jugend e.V.","Kipsdorfer Str. 100","01277","Dresden","0","0351 / 28 99 276",0.00,"zmo-jugend@web.de","www.zmo-jugend.de","Facebook.de/ZMO.Jugend.Dresden","Valentina Ohngemach,               Wladimir Tschurikow                ","Valentina Ohngemach,            Wladimir Tschurikow","آلمانی، روسی","مشاوره، گفتگو و همراهی پیشنهادات، آموزشی، وقت آزاد و مشارکت های  پیشنهادی، ورزشی و برنامه های موسیقی، برخوردهای میان فرهنگی","کار ما ایجاد یک ""محل ملاقات بین فرهنگی برای جوانان"" کودکان، نوجوانان و همچنین پدران و مادران با و بدون پس زمینه مهاجر میباشد. ما بر اساس نیازها و منافع از بازدید کنندگان و اعضای مان عمل میکنیم. از آنجا که  تعداد پناهندگان رو به افزایش است،کارهای ما توسط این گروه انجام میشود. ما شبکه ای با خدمات حرفه ای در زمینه مهاجرت هستیم.",,,,,,,,,,,
"16","Johannstädter Kulturtreff e.V.","Elisenstraße 35","01307","Dresden","دوشنبه تا پنج شنبه ۹ صبح تا ۹ شب جمعه ۹ صبح تا ۵ بعدازظهر","0351 4472823",0.00,"kontakt@johannstaedterkulturtreff.de","www.johannstaedterkulturtreff.de","https://www.facebook.com/pages/Johannst%C3%A4dter-Kulturtreff-eV/168294379862523?ref=tn_tnmn","Matthes Blank","0","آلمانی، روسی","فعالیت های اوقات فراغت، هنر و برنامه های فرهنگی، برنامه های ورزشی، برخوردهای میان فرهنگی","درکلاس ما کارهای هنری آتلیه،  فضا برای درس، فعالیت ها و پروژه های دیگری از جمله پخت و پز، ورزش، ملاقات و کارهای هنری و فرهنگی دیگر انجام میگیرد.",,,,,,,,,,,
"17","Verein Pro Pieschen e.V.","Arno-Lade-Straße 9","01129","Dresden","0","01778584201",0.00,"info@propieschen.de","www.propieschen.de","https://www.facebook.com/propieschen?ref=hl","Heidi Geiler","0","0","شبکه های محلی، اطلاعات، هماهنگی پروژه",,,,,,,,,,,,
"18","Pieschen für alle","0","0","Dresden","0","0",0.00,"info@pieschen-fuer-alle.de","www.pieschen-fuer-alle.de","https://www.facebook.com/propieschen?ref=hl","Anja Osiander","Heidi Geiler","0","0","0",,,,,,,,,,,
"19","Bündnis Buntes Meißen","0","01662","Meißen","0","0",0.00,"info@buntes-meissen.de","www.buntes-meissen.de","https://www.facebook.com/pages/Buntes-Meißen/","Andreas Bärisch/Kathleen Nagler","0","0","فعالیت های اوقات فراغت،، حمایت مالی، دوره های زبان آلمانی","0",,,,,,,,,,,
"20","MEDEA Frauen-und Mädchengesundtheitszentrum e.V.","Prießnitzstr.55","01099","Dresden","سه شنبه تا پنج شنبه ۲ تا پنج بعدازظهر پنج شنبه ۱۰ تا ۱۲ ظهر با قرار قبلی","0351-8495679; 015750979006",0.00,"medea-m-gupte@dmx.de","www.medea-dresden.de","0","Anke Müller-Gupte","0","آلمانی، انگلیسی","مشاوره سلامت، جلسات آزاد","مشاوره بهداشت و درمان (روان شناسی، تغذیه، پیشگیری، بارداری، طب جایگزین، ...) و همچنین برگزاری جلسات برای بانوان:
 پنج شنبه صبحانه 10 صبح - 12 (همه روزه غیر از تعطیلات رسمی)، یک جلسه برای بانوان و کودکان در KHJ Gorbitz، پنج شنبه ها 16:00-6:00، با شروع ماه مارس: چهارشنبه 04:00-6:00",,,,,,,,,,,
"21","AG Asylsuchende [GRH]","0","0","Großenhain","0","0",0.00,"ag_asylsuchende_grh@riseup.net","0","0","0","0","آلمانی، انگلیسی","فعالیت های زمان آزاد با پناهجویان، کار آموزشی ضد نژادپرستی (به وبلاگ مراجعه کنید)","0",,,,,,,,,,,
"22","Ausländerrat Dresden e.V.","Heinrich-Zille-Straße 6 ","01219","Dresden","دفتر مشاوره: دوشنبه تا چهارشنبه / جمعه ۱۰ صبح تا ۴ بعدازظهر","0",0.00,"info@auslaenderrat.de","www.auslaenderrat-dresden.de","www.facebook.com/Auslaenderrat.Dresden","Markus Degenkolb","0","آلمانی، انگلیسی، روسی، عربی","مشاوره، حمایت مالی آموزشی، جلسات باز (برای زنان، پدران، جوانان، ...)، تشویق به ورزش، فعالیت های آموزشی","0",,,,,,,,,,,
"23","Prohlis ist bunt","Prohliser Allee 33","01239","Dresden","دوشنبه ۱۰ صبح تا ۱ بعدازظهر / سه شنبه ۱ تا ۵ بعدازظهر / پنج شنبه ۱۱ صبح تا ۳ بعدازظهر","0351-27 272 16",0.00,"prohlis-ist-bunt@web.de; info@qm-prohlis.de","www.quartiersmanagement-prohlis.de","0","Veronika Gottmann","Veronika Gottmann","آلمانی، انگلیسی؟","شبکه محلی در Prohlis، جلسات برای دوره های آلمانی / بحث (؟)، امکانات تفریحی، نظارت، گفت و گو، ایجاد بروشور","شبکه (Prohlis رنگارنگ است) یک اتحادیه از باشگاه ها، موسسات، اداره منطقه شهرستان، ارتباط کلیسا و احزاب در Prohlis است و هدف آن است که ایجاد یک فضای استقبال در این منطقه است. وظایف اصلی عبارتند از شبکه های اجتماعی و فعالیت های پروژه. این شبکه از بهار 2014 تاسیس شده است.",,,,,,,,,,,
"24","Leuben ist bunt","Rottwerndorfer Str. 1","01257","Dresden","دوشنبه ۳ تا ۶ بعدازظهر / پنج شنبه نه و نیم تا ۱۲ ظهر / جمعه ۱۰ صبح تا ۱ بعدازظهر","0351-2728489",0.00,"leuben@vsp-dresden.de","www.vsp-dresden.org","0","Andreas Ermer","Katrin Baumgart","آلمانی، انگلیسی","شبکه های محلی، آلمانی آموزش زبان، حمایت مالی، ورزش، جلسات، جشنواره ها","شبکه ما (""Leuben رنگارنگ است"") شامل نمایندگان اداره شهرستان، کلیسا و دفتر کمک جوانان در Leuben.",,,,,,,,,,,
"25","Saxonia Systems AG","Fritz Förster Platz 2","01069","Dresden","دوشنبه تا جمعه ۱۰ صبح تا ۴ بعدازظهر","0351-47901670",0.00,"tina.gruhl@saxsys.de","0","0","Tina Gruhl","Tina Gruhl","آلمانی، انگلیسی","شبکه و حمل و نقل، با نهادهای دیگر، آموزش زبان، IT آموزش و پرورش بیشتر (از طریق Arbeitsagentur درسدن)، نرم افزار تلفن همراه","به عنوان یک شرکت تاسیس شده در اجتماع ما علاقه مند به ارایه خدمات و قبول مسوولیت هستیم. ما همکاری نزدیکی با مرکز مشاوره امور پناهندگی ساکسونا و آژانس فدرال کاریابی داریم. ما مرکزی برای فعالیت های آزاد نیستیم اما آماده ارایه پشتبیانی از طریق شبکه میباشیم.",,,,,,,,,,,
"26","Netzwerk ""Gorbitz International""","Leutewitzer Ring 35 ","01169","Dresden","ساعت مشاوره پناهنده چهارشنبه ۱۰ صبح تا ۱۲ در QM Gorbitz / ملاقات برای QM International با تقاضای قبلی","0351-3225728",0.00,"kontakt@qm-gorbitz.de","www.qm-gorbitz.de","0","Wolfgang Mueller, Ulrich Krause","0","آلمانی، انگلیسی","شبکه یابی، مدیتیشن در شهر. جلسات در مورد Gorbitz بین المللی در فروشگاه QM. محله خبرنامه WesthangPost (هر 3 ماه). جشنواره محله 'WesthangFest'","شبکه Gorbitz بین المللی اتحاد زنان و مردان در Gorbitz وحومه متشکل از نمایندگانی از امکانات مختلف، کلیساها، احزاب و انجمن است. هدف ایجاد روابط خوب در محله و به حفظ محیط باز و استقبال برای افراد از کشورهای مختلف. شبکه شامل زیر گروه ها و پروژه های مختلف همچون یک کافه ، یک گروه کار برای سازمان و روابط عمومی، باغ عمومی، و غیره است.",,,,,,,,,,,
"27","Internationale Gärten Dresden e. V.","Pfotenhauerstraße 103","01307","Dresden","ملاقات ها اولین چهارشنبه هر ماه","0151-53907002",0.00,"info@gaerten-ohne-grenzen.org","www.gaerten-ohne-grenzen.org","0","Manpreet Singh, Mohammad Al Masalme, Mattes Hoffmann","0","عربی، روسی، کردی، پنجابی، چینی، ژاپنی، آلبانیایی، انگلیسی، فرانسوی، اسپانیایی، اوکراین، چک، فارسی","باغ های عمومی، درس، برنامه های فرهنگی","0",,,,,,,,,,,
"28","LAG politisch-kulturelle Bildung Sachsen e. V.","Schützengasse 18","01067","Dresden","0","0174-8032276",0.00,"kontakt@pokubi-sachsen.de","www.pokubi-sachsen.de","0","Kerstin Knye","Kerstin Knye","آلمانی، انگلیسی، روسی، اوکراینی، اسپانیایی، پرتغالی",,"کار ما برای سال های طولانی برخورد با موضوعات نژادپرستی، مهاجرت، پرواز، پناهندگی و ارائه بیشتر آموزش و پرورش برای کارگران و داوطلبان بوده است.
ارایه سمینارهای قدرمندسازی مردمی که قربانی خشونت های نژادی شده اند از جمله کارهای ماست.",,,,,,,,,,,
"29","Netzwerk Asyl Migration Flucht (NAMF)","Prohliser Allee 10","0","Dresden","0","015752430666",0.00,"namf@notraces.net","www.namf.blogsport.de","0","Stefan Stein","0","0","آموزش و پرورش و پروژه های سیاسی اجتماعی و غیره","فعالیتهای سیاسی برای حقوق آوارگان و مهاجران و علیه نژادپرستی از جمله کارهای ما است. ما یک لیست ایمیل  داریم که با آن می توانید اطلاعات بیشتری کسب کنید. برای پیوستن به لیست با این ایمیل تماس بگیرید. namf@notraces.net",,,,,,,,,,,
"30","KAMA Dresden e.V.","0","0","Dresden","اولین چهارشنبه ماه در Literaturhaus Villa Augustin   Antonstr 1 و سومین پنج شنبه ماه با قرار قبلی در Az Conni ساعت هفت بعدازظهر","",0.00,"kama-dresden@riseup.net","www.kama-dresden.org","https://www.facebook.com/kamadresden?fref=ts","Carmen Burkel","0","آلمانی، انگلیسی، فرانسوی، پرتغالی (عربی با مترجم)","دوره های آموزشی با پناهجویان، مهاجران و افراد پناهنده برای شهروندان درسدن. آموزش و پرورش و فرهنگی، تبادل نظر","",,,,,,,,,,,
"31","Ausländerbeirat","0","0","Dresden","0","0",0.00,"0","http://www.dresden.de/de/02/030/c_04.php","0","0","0","0","0","0",,,,,,,,,,,
"32","Welcome Center TU Dresden ","Nürnberger Str. 31a","01187","Dresden","سه شنبه چهاشنبه پنج شنبه ۱۰ تا ۱۲ ظهر و چهارشنبه ۱ تا ۳ بعدازظهر با قرار قبلی","49-351-463 34009",,"welcome.center@tu-dresden.de","http://tu-dresden.de/internationales/welcomecenter/startseite/welcome_center","http://www.facebook.com/welcomecenter.DDc","0","0","0","0","0",,,,,,,,,,,
"33","medinetz","Heinrich-Zille-Straße 6 ","01219","Dresden","0","0177-1736781",0.00,"0","http://www.semaz.monoceres.uberspace.de/medinetz/","0","0","0","0","0","Die Menschenrechtsinitiative Medinetz Dresden e.V. vermittelt anonym und kostenlos medizinische Hilfe für Geflüchtete und Menschen ohne Aufenthaltsstatus.
 Wir sind eine unabhängige Initiative von Studierenden und engagierten ÄrztInnen, die von vielen Dresdener ÄrztInnen, Pflegenden, PsychotherapeutInnen, Hebammen und DolmetscherInnen unterstützt wird. 
Unser primäres Ziel ist es, Menschen ohne Papiere in Dresden und Umland Zugang zu einer medizinischen Versorgung zu ermöglichen, weil diese von staatlicher Seite nicht gewährleistet wird.
Der Anspruch auf eine angemessene medizinische Versorgung ist ein Menschenrecht, welches Menschen ohne Papiere im Moment faktisch vorenthalten wird. Auch Asylsuchenden wird nur eine eingeschränkte 
medizinische Versorgung gewährt. Mit unserer Arbeit möchten wir den Betroffenen den Zugang ermöglichen.",,,,,,,,,,,
"34","Sächsischer Flüchtlingsrat","Dammweg 5","01097","Dresden","0351-458-17094","0351/30990102, 0351/87451710",,"info@saechsischer-fluechtlingsrat.de","http://saechsischer-fluechtlingsrat.de/","https://www.facebook.com/pages/S%C3%A4chsischer-Fl%C3%BCchtlingsrat-eV/204490826370915?fref=ts","Ali Moradi, Patrick Irmer","0","آلمانی، انگلیسی، عربی، فارسی، روسی، فرانسوی، ایتالیایی","مشاوره، نظارت برای آموزش و پرورش، کار آموزشی، مشاوره برای روند پناهندگی، حمایت اجتماعی","0",,,,,,,,,,,
"35","traumaberatung","Fetscherstraße 74","01307","Dresden","0","0351-458-17094",,"0","http://www.psychosomatik-ukd.de/","0","0","Prof. Dr. med. habil. Kerstin Weidner ","0","0","0",,,,,,,,,,,
"36","gemeindedolmetscherdienst","0","0","Dresden","0","0",0.00,"0","0","0","0","0","0","0","0",,,,,,,,,,,
"37","Regionalkoordination Flüchtlingssozialarbeit Cotta","0","0","Dresden","0","0",0.00,"0","0","0","0","0","0","0","0",,,,,,,,,,,
"38","Regionalkoordination Flüchtlingssozialarbeit Prohlis/Leuben","Lohrmannstr.20","01237","Dresden","پنج شنبه یک تا چهار بعدازظهر","Prohlis: 0157 38524468 u.Leuben 0152 54918797",0.00,"asyl@caritas-dresden.de","","0","Herr Dietze , Herr Fried","0","عربی، روسی، انگلیسی،","Soziale Beratung und Begleitung von Asylsuchenden in Prohlis und Leuben 
(dezentrale Unterbringung); Koordination der Angebote für Asylsuchende 
in Prohlis und Leuben, Ehrenamtsarbeit","هماهنگی کارهای پناهجویان در Prohlis و Leuben، کار داوطلبانه",,,,,,,,,,,
"39","Regionalkoordination Flüchtlingssozialarbeit Altstadt/Pauen","0","0","Dresden","0","0",0.00,"0","0","0","0","0","0","0","0",,,,,,,,,,,
"40","Regionalkoordination Neustadt/Klotzsche/Pieschen","0","0","Dresden","0","0",0.00,"0","0","0","0","0","0","0","0",,,,,,,,,,,
"41","Regionalkoordination Blawitz/Schönfld-Weißig/Loschwitz","0","0","Dresden","0","0",0.00,"0","0","0","0","0","0","0","0",,,,,,,,,,,
"42","Dresdner Verein für soziale Integration von Ausländern und Aussiedlern e.V.","Lingneralle 3","01069","Dresden","دوشنبه تا پنج شنبه ۹ صبح تا ۷ شب جمعه ۹ صبح تا ۱ بعدازظهر","0351 4843803",,"viaa.dd@t-online.de","www.convectus.de","0","Dr. Ingrid Blankenburg","0","0","مشاوره، پشتیبانی، خدمات ترجمه، کمک های گرایش برای پناهجویان، دوره های آلمانی، دوره  برای بانوان","به وبسایت مراجعه کنید",,,,,,,,,,,
"43","Jugendmigrationsdienst","Schweriner Str.27","01067","Dresden","دوشنبه تا پنج شنبه ۱ تا پنج و نیم بعدازظهر با وقت قبلی","0351 4984746 /745/ 742",,"jmd@caritas-dresden.de","www.caritas-dresden.de","0","0","0","0","مشاوره برای مهاجران جوان تا ۲۷ سال برای فراگیری زبان، آموزش و پرورش، دوره های کارآموزی، مطالعات و حرفه ای","JMD یک مرکز مشاوره برای مهاجران جوان تا 27 سال است. تمرکز ما ارایه مشاوره در امور آموزش و پرورش، زبان، مطالعات و کاریابی است. علاوه بر این یک متخصص در حفاظت از کودکان نیز در دسترس است (برای فعالیت های حقوقی)",,,,,,,,,,,
"44","International Café im Artderkultur e.V.","Görlitzer Str. 42","01099","Dresden","جمعه ۲ تا ۷ بعدازظهر","0172-3434059 (Pune)
0163-1628201 (Fabiane)",0.00,"0","0","0","0","0","0","0","0",,,,,,,,,,,
"45","HELLERAU - Europäisches Zentrum der Künste Dresden","Karl-Liebknecht-Str. 56","01109","Dresden","ورودی مجانی برای پناهنده ها در Garten Golgi Park, Kitchen talk","0351 2646237",0.00,"wetzel@hellerau.org (Frauke Wetzel)","www.hellerau.org","0","0","0","0","0","0",,,,,,,,,,,
"46","Altstädter Dialog","0","0","Dresden",,"0",0.00,"FBauer1@dresden.de","0","0","OAL Herr Barth, Stellv. Herr Bauer","0","0","0","neugegründete Initiative aus Verwaltung, Vereinen und Zivilgesellschaft",,,,,,,,,,,
"47","Gruppe Cartonage","0","0","Dresden","0","0",0.00,"gruppe.cartonage@notraces.net","http://cartonage.blogsport.de/","0","","0","0","0","Für Rechte von Flüchtlingen in Deutschland Kritik an den bestehenden Strukturen des Umgangs mit diesen",,,,,,,,,,,
"48","Dresden - place to be e. V.","Dr.-Külz-Ring 12","01067","Dresden","0","0151 23701485",0.00,"dd.placetobe@googlemail.com","http://www.dresden-place-to-be.de/","0","0","0","0","0","0",,,,,,,,,,,
"49","Bürgercourage e.V.","Prießnitzstraße 18","01099 ","Dresden","0","0157-73 82 77 62",,"info@buerger-courage.de","0","0","0","0","0","0","0",,,,,,,,,,,
"50","Runder Tisch Asyl, OA Neustadt","0","0","Dresden","0","0",0.00,"0","0","0","0","0","0","0","0",,,,,,,,,,,
"51","Jugendwerk Dresden","Oberwachwitzer Weg 13","01326 ","Dresden","0","0",0.00,"change@betterplace.org","https://www.betterplace.org/en/organisations/jugendwerkdresden","0","0","0","0","0","0",,,,,,,,,,,
"52","Initiative für Flüchtlinge Bühlau-Rochwitz","0","0","Dresden","0","0",0.00,"Christian-karpf@gmx.de","0","0","Christian Karpf","Christian Karpf","0","0","0",,,,,,,,,,,
"53","German lessons für Refugees Dresden","Bibliothek am WTC und Zweigstelle Neustadt","0","Dresden","0","0",0.00,"0","0","https://www.facebook.com/GermanLessonsforRefugees","0","","0","0","Kurse in der Bibliothek Neutstadt und Zentralbibliothek",,,,,,,,,,,
"54","Women* refugee meeting","M.-Luther-Str. 13","0","Dresden","0","0",0.00,"0","0","0","0","0","0","0","Mehrsprachiges  Angebot: Verschiedene Freizeitaktivitäten für Flüchtlingsfrauen, wie essen, kochen, tanzen, Sport üben, deutsche Frauen kennenlernen",,,,,,,,,,,
"55","TOLERADE","0","0","Dresden","0","0176 / 22 77 85 48",0.00,"tolerave@gmail.com","0","0","Dana Bondartschuk ","0","0","0","Musikparade, mit der fremdenfeindlichen Tendenzen in Dresden, Sachsen etwas entgegensetzt werden soll. Sie ist zugleich Demonstration der Vielfalt innerhalb der Dresdner Kulturlandschaft",,,,,,,,,,,
