"Nr","name","street","zip","city","openingHours","phone","fax","mail","web","facebook","speakerPrivate","speakerPublic","spokenLanguages","tags","description","lat","lon","F19","F20","F21","F22","F23","F24","F25","F26","F27"
"10","RAA Sachsen Opferberatung - Unterstützung für Betroffene rechtsmotivierter und rassistischer Gewalt","Bautzner Str. 45 ","01099","Dresden","Termin nach Vereinbarung: Mo - Frei, 9.00 Uhr - 18.00 Uhr","(0351) 88 9 41 74
(0172) 9 74 12 68","(0351) 8 89 41 93","opferberatung.dresden@raa-sachsen.de","http://raa-sachsen.de/index.php/dresden.html",,,,"Deutsch, Englisch","Parteiliche, klientelorientierte, aufsuchende, vrtrauliche, mehrsprachige und kostenlose Beratung und Unterstützung Betroffener rechtsmotivierter und rassistischer Gewalt, deren Angehörige, Freunde und Freundinnen  sowie Zeug_innen eines Angriffs",,"51.063131","13.755325",,,,,,,,,
"11","Willkommen in Hochland","Wachwitzer Höhenweg 10","01328","Dresden",,,,"ah1944@web.de",,,"Michael Bockting, 
Andrea Schomberg, 
Ralf Wilhelm,
Herbert Effinger, 
Gebhard Ruess",,"Deutsch, Englisch","Angebot von Sprachkursen im 
Dresdner Hochland, Übernahme 
von Patenschaften, Sammlung
von Spenden, Öffentlichkeits-
arbeit, Freizeitaktivitäten, Dialog","Zweck des gegründeten Vereins ist die Verbesserung der Lebensbedingungen von Flüchtlingen und Asylbewerbern im Dresdner 
und angrenzenden Gebieten. Dieser Zweck wird insbesondere durch unterstützende und begleitende Hilfeleistung bei der Ankunft in
Dresden und zur besseren Integration von neuen Bewohnern angestrebt. Dazu gehören auch Beratung, Betreuung, Entwicklung von 
Beschäftigungsmöglichkeiten, interkulturelle und sonstige Veranstaltungen. ","51.03833","13.85151",,,,,,,,,
"12","SPIKE Dresden","Karl-Laux-Str. 5","01219","Dresden","täglich 13-20 Uhr, Samstag geschlossen","0351/ 281 80 84",,"kontakt@spikedresden.de","www.spikedresden.de","www.facebook.com/SPIKEdresden","Ellen Demnitz-Schmidt","Ellen Demnitz-Schmidt, Frank Meißner","Deutsch, Englisch","Freizeitaktivitäten, Deutsch lernen, Kontakte mit Ehrenamtlichen und Helfern, Ausflüge, Sammlung von Spenden, Hilfen für den Alltag, Patenschaften","Wir organisieren konkrete Hilfe für Asylbewerber in Leubnitz-Neuostra und darüber hinaus. Wir bieten einen freundlichen und offenen Ort der Begegnung, für die Freizeitgestaltung, für soziales Engagement, zur Koordinierung von Angeboten, zur Unterstützung und als Anlaufstelle für Netzwerkpartner. Unsere Räume stehen auch über die Öffnungszeiten hinaus für Aktionen zur Verfügung (z.B. vormittags). Immer sonntags und mittwochs von 16-20 Uhr können sich Engagierte und Interessierte bei uns treffen, um Kontakte zu knüpfen, Asylsuchenden zu begegnen und besondere Aktivitäten und Angebote gemeinsam zu planen.","51.013728","13.769624",,,,,,,,,
"13","AWO Sonnenstein gGmbH, Migrationsberatung für Erwachsene","Prohliser Allee 10","01239","Dresden","Mo: 9.00 - 12.00, Di: 9.00 - 12.00 und 13.00 - 17.30",,,,,,,,,,,"51.00534","13.79787",,,,,,,,,
"14","AWO Sonnenstein gGmbH, Asylberatung","Prohliser Allee 10","01239","Dresden","Di.13:00-17:00, Fr. 09:00-12:00","0351-26068027",,"asyl@awo-sonnenstein.de",,,,,,,,"51.00534","13.79787",,,,,,,,,
"15","ZMO-Jugend e.V.","Kipsdorfer Str. 100","01277","Dresden",,"0351 / 28 99 276",,"zmo-jugend@web.de","www.zmo-jugend.de","Facebook.de/ZMO.Jugend.Dresden","Valentina Ohngemach,               Wladimir Tschurikow                ","Valentina Ohngemach,            Wladimir Tschurikow","Deutsch, Russisch","Beratung-, Gesprächs- und Begleitungsangebote, offene Bildungs-, Freizeit-, Partizipationsangebote, Sport- und musische Angebote, interkulturelle Begegnungsangebote","Wir richten uns mit unserem Angebot ""Interkulturelle Begegnungsstätte für junge Menschen"" an Kinder, Jugendliche sowie Eltern mit und ohne Migrationshintergrund. Dabei orientieren wir uns an Bedarfen und Interessen unserer AdressatInnen. Seit dem Anstieg der Zuzugszahlen der Asylsuchenden nutzt diese Zielgruppe verstärkt unsere Angebote. Wir sind mit relevanten Fachdiensten und Akteuren im Handlungsfeld Migration vernetzt und arbeiten zusammen.","51.037863","13.80299",,,,,,,,,
"16","Johannstädter Kulturtreff e.V.","Elisenstraße 35","01307","Dresden","Mo-Do: 9-21 Uhr; Fr: 9-17 Uhr","0351 4472823",,"kontakt@johannstaedterkulturtreff.de","www.johannstaedterkulturtreff.de","https://www.facebook.com/pages/Johannst%C3%A4dter-Kulturtreff-eV/168294379862523?ref=tn_tnmn","Matthes Blank",,"Deutsch, Englisch","Freizeitaktivitäten, Kunst- und Kulturangebote, Sportangebote, interkulturelle Begegnung","Wir stellen mit unseren Räumlichkeiten und künstlerischen Werkstätten Orte für Kurse, Veranstaltungen und Aktionen zur Verfügung - vom Kochen über Sport und Begegnung bis hin zu Kunst und Kultur ist Vieles möglich.","51.055917","13.760764",,,,,,,,,
"17","Verein Pro Pieschen e.V.","Arno-Lade-Straße 9","01129","Dresden",,"01778584201",,"info@propieschen.de","www.propieschen.de","https://www.facebook.com/propieschen?ref=hl","Heidi Geiler",,,"Stadtteilnetzwerk, Informationen, Projektkoordination",,"51.079484","13.718932",,,,,,,,,
"18","Pieschen für alle",,,"Dresden",,,,"info@pieschen-fuer-alle.de","www.pieschen-fuer-alle.de","https://www.facebook.com/propieschen?ref=hl","Anja Osiander","Heidi Geiler",,,,"51.076246","13.716089",,,,,,,,,
"19","Bündnis Buntes Meißen",,"01662","Meißen",,,,"info@buntes-meissen.de","www.buntes-meissen.de","https://www.facebook.com/pages/Buntes-Meißen/","Andreas Bärisch/Kathleen Nagler",,,"Freizeitaktivitäten, Patenschaften, Deutschkurse,",,"51.161784","13.497659",,,,,,,,,
"20","MEDEA Frauen-und Mädchengesundtheitszentrum e.V.","Prießnitzstr.55","01099","Dresden","Die-Do 14-17, Do 10-12, n.Vereinb.","0351-8495679; 015750979006",,"medea-m-gupte@dmx.de","www.medea-dresden.de",,"Anke Müller-Gupte",,"Dt, Engl., bei Bedarf Dolmetscher vom Gemeindedolmetscherdienst","gesundheitl. Beratung - offene Treffs","neben den gesundheitl.Beratungen (Psych.,Ernährung, Verhütung, Schwangerschaft, Heilprakt...) bieten wir offene Treffs für Frauen: Frauenfrühstück Do.10-12 (nicht in den Ferien) und einen Treff für Frauen +Kinder im KJH Gorbitz Donnerstag 16-18 Uhr (ab März Mittwoch 16-18)","51.0691","13.76151",,,,,,,,,
"21","AG Asylsuchende [GRH]",,,"Großenhain",,,,"ag_asylsuchende_grh@riseup.net",,,,,"Deutsch, Englisch","Freizeitaktivitäten mit Asylsuchenden, antirassistische Bildungsarbeit (siehe Blog)",,"51.291228","13.531304",,,,,,,,,
"22","Ausländerrat Dresden e.V.","Heinrich-Zille-Straße 6 ","01219","Dresden","Beratungsstelle: Mo-Mi, Fr 10-16Uhr",,,"info@auslaenderrat.de","www.auslaenderrat-dresden.de","www.facebook.com/Auslaenderrat.Dresden","Markus Degenkolb",,"Deutsch, Englisch, Russisch, Arabisch","Beratung, Bildungspatenschaften, Offene Treffs (Frauentreff, Vätertreff, Jugendtreff,..) , Sportförderung, Bildungsarbeit",,"51.02687","13.7588",,,,,,,,,
"23","Prohlis ist bunt","Prohliser Allee 33","01239","Dresden","Mo 10-13, Di 13-17, Do 11-15","0351-27 272 16",,"prohlis-ist-bunt@web.de; info@qm-prohlis.de","www.quartiersmanagement-prohlis.de",,"Veronika Gottmann","Veronika Gottmann","regionales Netzwerk in Prohlis; Deutschtreffs, Patenschaften, Freizeitaktivitäten, Flyer,","regionales Netzwerk in Prohlis; Deutschtreffs, Patenschaften, Freizeitaktivitäten, Dialogangebote, Flyer","Das Netzwerk „Prohlis ist bunt“ ist ein Zusammenschluss aus Vereinen, Einrichtungen, Ortsamt, Quartiersmanagement, Kirchgemeinde und Parteien aus Prohlis und möchte für Asylsuchende und Flüchtlinge in Prohlis ein Klima des Willkommens schaffen. Hauptaufgabe ist die Netzwerkarbeit sowie die Projektarbeit. Das Netzwerk besteht seit Früjahr 2014.","51.004062","13.79869",,,,,,,,,
"24","Leuben ist bunt","Rottwerndorfer Str. 1","01257","Dresden","Mo 15-18, Mi 15-18, Do 9:30-12, Fr 10-13","0351-2728489",,"leuben@vsp-dresden.de","www.vsp-dresden.org",,"Andreas Ermer","Katrin Baumgart","Deutsch, Englisch","regionales Netzwerk, Deutschkurse, Patenschaften, Sportangebot, Begegnungen, Feste","Unser Netzwerk ""Leuben ist bunt"" besteht aus Institutionvertreter/innen des Stadtteils u.a. von Ortsamt, Kirche, Jugendhilfe","51.01336","13.817689",,,,,,,,,
"25","Saxonia Systems AG","Fritz Förster Platz 2","01069","Dresden","Mo-Fr 10-16 Uhr","0351-47901670",,"tina.gruhl@saxsys.de",,,"Tina Gruhl","Tina Gruhl","Deutsch, Englisch","Netzwerk + Vermittlung, Kontakt zu anderen Unternehmen, Deutschkurse, IT Weiterbildungen (über Arbeitsagentur Dresden), mobile App","Als als in der gesellschaft eingebettetes Unternehmen möchten wir uns auch in dem Rahmen, den wir leisten können, einbringen und unsere Verantwortung wahrnehmen. Wir stehen in enger Zusammenarbeit mit dem Sächischen Flüchtlingsrat und der Arbeitsagentur. In dem Sinne sind wir kein Verein mit offenen Aktivitäten, aber haben immer ein offenes Ohr und versuchen, mit unseren Kontakten zu helfen.","51.030736","13.730121",,,,,,,,,
"26","Netzwerk ""Gorbitz International""","Leutewitzer Ring 35 ","01169","Dresden","Sprechstunde Asyl im QM Gorbitz immer mittwochs 10 - 12 Uhr; Termine zu Treffen des NW Gorbitz International auf Anfrage; ","0351-3225728",,"kontakt@qm-gorbitz.de","www.qm-gorbitz.de",,"Wolfgang Mueller, Ulrich Krause",,"Deutsch, Englisch","Netzwerkpflege, Vermittlung zu Angeboten im Stadtteil; Treffen zu Gorbitz International im QM-Laden; Stadtteilzeitung WesthangPost (vierteljährig); WesthangFest","Das Netzwerk ""Gorbitz International"" ist ein Bündnis von Frauen und Männern aus Gorbitz und Umgebung, aus Vertretern von Einrichtungen, Kirchgemeinden, Parteien und Vereinen, die alle für eine gute Nachbarschaft im Stadtteil entreten und eine Wollkommenskultur für Menschen anderer Herkunft pflegen wollen. Im Rahmen des Netzwerks bestehen Untergruppen und Projekte, wie z.B. Begegnungscafe, UAG Organisation und Öffentlichkeitsarbeit, Gemeinschaftsgarten u.a. ","51.04538","13.67288",,,,,,,,,
"27","Internationale Gärten Dresden e. V.","Pfotenhauerstraße 103","01307","Dresden","ständig, Plenum am 1. Mittwoch im Monat","0151-53907002",,"info@gaerten-ohne-grenzen.org","www.gaerten-ohne-grenzen.org",,"Manpreet Singh, Mohammad Al Masalme, Mattes Hoffmann",,"Arabisch, Russisch, Kurdisch, Punjabi, Chinesisch, Japanisch, Albanisch, Englisch, Französisch, Spanisch, Ukrainisch, Tschechisch, Persisch","Gemeinschaftsgarten, Kurse, Kulturveranstaltungen",,"51.059325","13.784318",,,,,,,,,
"28","LAG politisch-kulturelle Bildung Sachsen e. V.","Schützengasse 18","01067","Dresden",,"0174-8032276",,"kontakt@pokubi-sachsen.de","www.pokubi-sachsen.de",,"Kerstin Knye","Kerstin Knye","Deutsch, Englisch, (Russisch, Ukrainisch, Spanisch, Portugiesisch nach Weiterleitung)","Weiterbildung 
- ehrenamtl. u. pädagogische Arbeit mit Geflüchteten
- Empowerment im geschützten Raum
- Rassismus / Migration","Wir beschäftigen uns seit vielen  Jahren mit den Themen Rassismus, Migration, Flucht und Asyl und bieten Weiterbildungen für haupt- und ehrenamtliche Multiplikator_innen an. 
Hierbei steht die Frage, wie wir selbst möglichst rassismuskritisch agieren können im Vordergrund. Auch bieten wir Empowerment-Seminare für Menschen an, welche negativ von Rassismus betroffen sind. Termine, Inhalte, konkrete Bedarfe können abgesprochen werden.","51.054485","13.726245",,,,,,,,,
"29","Netzwerk Asyl Migration Flucht (NAMF)","Prohliser Allee 10",,"Dresden",,"015752430666",,"namf@notraces.net","www.namf.blogsport.de",,"Stefan Stein",,,"Weiterbildung, Aktionen, Politische Lobbyarbeit, Vernetzung, etc.","Politische Initiative für die Rechte von Geflüchteten und Migrant*innen und gegen Rassismus. Wir haben eine Mailingliste, über die sich Einzelpersonen und Gruppen organisieren und Informationen teilen können. Listenaufnahme: Mail an namf@notraces.net.","51.00534","13.79787",,,,,,,,,
"30","KAMA Dresden e.V.",,,"Dresden","Plenum am 1. Mittwoch des Monats im Literaturhaus Villa Augustin (Antonstr 1); am dritten Donnerstag im Monat im AZ Conni, jeweils 19 Uhr; + nach Absprache","",,"kama-dresden@riseup.net","www.kama-dresden.org","https://www.facebook.com/kamadresden?fref=ts","Carmen Burkel",,"Deutsch,Englisch,Französisch,Portugiesisch (Arabisch, Tigrinia nach Weiterleitung)","Kurse von Asylsuchenden, Migrant_innen und Asylberechtigten für Dresdner Bürger_innen, Bildungs- und Kulturangebote, Plattform für Austausch","Wir als KAMA Dresden e.V. verstehen uns als eine Plattform für Austausch durch Kultur- und Bildungsangebote. Dabei werden Kurse VON Asylsuchenden, Migrant_innen und Asylberechtigten angeboten. Die inhaltliche Gestaltung obliegt den Kursleiter_innen, der Verein bietet finanzielle und organisatorische Unterstützung. Die inhaltliche Ausrichtung ist divers, z.B. Kochkurse, Sprachkurse, Handwerkskurse,Diskussionsrunden,usw. Die Teilnahme findet auf Spendenbasis statt. Wir arbeiten an einem lebendigen Netzwerk zwischen den Mitarbeitenden des Vereins, den Kursleitenden und den Teilnehmenden.","51.054469","13.744440",,,,,,,,,
"31","Ausländerbeirat",,,"Dresden",,,,,"http://www.dresden.de/de/02/030/c_04.php",,,,,,,"51.047964","13.740345",,,,,,,,,
"32","Welcome Center TU Dresden ","Nürnberger Str. 31a","01187","Dresden","Dienstag, Mittwoch, Donnerstag,10h - 12h & Mittwoch 13h-15h und nach Vereinbarung","49-351-463 34009","49-351-463 34023","welcome.center@tu-dresden.de","http://tu-dresden.de/internationales/welcomecenter/startseite/welcome_center","http://www.facebook.com/welcomecenter.DDc",,,,,,"51.03454","13.72201",,,,,,,,,
"33","medinetz","Heinrich-Zille-Straße 6 ","01219","Dresden",,"0177-1736781",,,"http://www.semaz.monoceres.uberspace.de/medinetz/",,,,,,"Die Menschenrechtsinitiative Medinetz Dresden e.V. vermittelt anonym und kostenlos medizinische Hilfe für Geflüchtete und Menschen ohne Aufenthaltsstatus.
 Wir sind eine unabhängige Initiative von Studierenden und engagierten ÄrztInnen, die von vielen Dresdener ÄrztInnen, Pflegenden, PsychotherapeutInnen, Hebammen und DolmetscherInnen unterstützt wird. 
Unser primäres Ziel ist es, Menschen ohne Papiere in Dresden und Umland Zugang zu einer medizinischen Versorgung zu ermöglichen, weil diese von staatlicher Seite nicht gewährleistet wird.
Der Anspruch auf eine angemessene medizinische Versorgung ist ein Menschenrecht, welches Menschen ohne Papiere im Moment faktisch vorenthalten wird. Auch Asylsuchenden wird nur eine eingeschränkte 
medizinische Versorgung gewährt. Mit unserer Arbeit möchten wir den Betroffenen den Zugang ermöglichen.","51.026791","13.758843",,,,,,,,,
"34","Sächsischer Flüchtlingsrat","Dammweg 5","01097","Dresden","Dienstag, Mittwoch: 11:00 - 15:00; Freitag: 11:00 - 13:00; Montag und Dienstag nach Vereinbarung","0351/30990102, 0351/87451710","0351/33294750","info@saechsischer-fluechtlingsrat.de","http://saechsischer-fluechtlingsrat.de/","https://www.facebook.com/pages/S%C3%A4chsischer-Fl%C3%BCchtlingsrat-eV/204490826370915?fref=ts","Ali Moradi, Patrick Irmer",,"Deutsch, Englisch, Arabisch, Persisch, Russisch, Französisch, Italienisch","Beratung, Bildungspatenschaften, Bildungsarbeit, Asylverfahrensberatung, Sozialbetreuung",,"51.06921","13.74659",,,,,,,,,
"35","traumaberatung","Fetscherstraße 74","01307","Dresden",,"0351-458-17094","0351-458-6332",,"http://www.psychosomatik-ukd.de/",,,"Prof. Dr. med. habil. Kerstin Weidner ",,,,"51.05794","13.78301",,,,,,,,,
"36","gemeindedolmetscherdienst",,,"Dresden",,,,,,,,,,,,"51.046575","13.747013",,,,,,,,,
"37","Regionalkoordination Flüchtlingssozialarbeit Cotta",,,"Dresden",,,,,,,,,,,,"51.060360","13.733012",,,,,,,,,
"38","Regionalkoordination Flüchtlingssozialarbeit Prohlis/Leuben","Lohrmannstr.20","01237","Dresden"," Donnerstag 13.00h -16.00h","Prohlis: 0157 38524468 u.Leuben 0152 54918797",,"asyl@caritas-dresden.de","",,"Herr Dietze , Herr Fried",,"arabisch, russisch,englisch,","Soziale Beratung und Begleitung von Asylsuchenden in Prohlis und Leuben 
(dezentrale Unterbringung); Koordination der Angebote für Asylsuchende 
in Prohlis und Leuben, Ehrenamtsarbeit","Koordination der Angebote für Asylbewerber in Prohlis und Leuben, Ehrenamtsarbeit","51.01813","13.78902",,,,,,,,,
"39","Regionalkoordination Flüchtlingssozialarbeit Altstadt/Pauen",,,"Dresden",,,,,,,,,,,,"51.056711","13.736426",,,,,,,,,
"40","Regionalkoordination Neustadt/Klotzsche/Pieschen",,,"Dresden",,,,,,,,,,,,"51.063265","13.730718",,,,,,,,,
"41","Regionalkoordination Blawitz/Schönfld-Weißig/Loschwitz",,,"Dresden",,,,,,,,,,,,"51.052568","13.810836",,,,,,,,,
"42","Dresdner Verein für soziale Integration von Ausländern und Aussiedlern e.V.","Lingneralle 3","01069","Dresden","Mo-Do 09.00 - 17.00, freitags 09.00 - 13.00 Uhr","0351 4843803","0351 48423803","viaa.dd@t-online.de","www.convectus.de",,"Dr. Ingrid Blankenburg",,,"Beratung, Begleitung Dolmetscherdienste, Orientierungshilfe für Asylbewerber,Frauen- und Trainingskurse für Deutsch","siehe website","51.047072","13.747552",,,,,,,,,
"43","Jugendmigrationsdienst","Schweriner Str.27","01067","Dresden","Montag nach Termin u. Donnerstag 13.00h.-17.30h","0351 4984746 /745/ 742","0351  4984746","jmd@caritas-dresden.de","www.caritas-dresden.de",,,,,"Beratung für junge Migrantinnen und Migrantenbis 27 Jahren zu Spracherwerb, Schule, Ausbildung, Beruf und Studium","Der JMD ist eine Beratungstelle  für junge Migrantinnen und Migranten bis 27 Jahren. Schwerpunkte sind die Beratung zu Fragen von Schule, Sprache , Beruf und Studium.Außerdem gibt es eine Fachkraft für Kinderschutz (§ 8a SGB VIII).","51.05222","13.72793",,,,,,,,,
"44","International Café im Artderkultur e.V.","Görlitzer Str. 42","01099","Dresden","Freitag 14.00-19.00 Uhr","0172-3434059 (Pune)
0163-1628201 (Fabiane)",,,,,,,,,,"51.069317","13.755968",,,,,,,,,
"45","HELLERAU - Europäisches Zentrum der Künste Dresden","Karl-Liebknecht-Str. 56","01109","Dresden","freier Eintritt für Flüchtlinge, interk. Garten Golgi Park, Kitchentalk","0351 2646237",,"wetzel@hellerau.org (Frauke Wetzel)","www.hellerau.org",,,,,,,"51.11298","13.75314",,,,,,,,,
"46","Altstädter Dialog",,,"Dresden",,,,"FBauer1@dresden.de",,,"OAL Herr Barth, Stellv. Herr Bauer",,,,"neugegründete Initiative aus Verwaltung, Vereinen und Zivilgesellschaft","51.055400","13.738582",,,,,,,,,
"47","Gruppe Cartonage",,,"Dresden",,,,"gruppe.cartonage@notraces.net","http://cartonage.blogsport.de/",,"",,,,"Für Rechte von Flüchtlingen in Deutschland Kritik an den bestehenden Strukturen des Umgangs mit diesen","51.063086","13.730809",,,,,,,,,
"48","Dresden - place to be e. V.","Dr.-Külz-Ring 12","01067","Dresden",,"0151 23701485",,"dd.placetobe@googlemail.com","http://www.dresden-place-to-be.de/",,,,,,,"51.046993","13.736068",,,,,,,,,
"49","Bürgercourage e.V.","Prießnitzstraße 18","01099 ","Dresden",,"0157-73 82 77 62","86 26 99 06","info@buerger-courage.de",,,,,,,,"51.06516","13.75936",,,,,,,,,
"50","Runder Tisch Asyl, OA Neustadt",,,"Dresden",,,,,,,,,,,,"51.054805","13.741924",,,,,,,,,
"51","Jugendwerk Dresden","Oberwachwitzer Weg 13","01326 ","Dresden",,,,"change@betterplace.org","https://www.betterplace.org/en/organisations/jugendwerkdresden",,,,,,,"51.03898","13.83477",,,,,,,,,
"52","Initiative für Flüchtlinge Bühlau-Rochwitz",,,"Dresden",,,,"Christian-karpf@gmx.de",,,"Christian Karpf",,,,,"51.058244","13.854941",,,,,,,,,
"53","German lessons für Refugees Dresden","Bibliothek am WTC und Zweigstelle Neustadt",,"Dresden",,,,,,"https://www.facebook.com/GermanLessonsforRefugees",,"",,,"Kurse in der Bibliothek Neutstadt und Zentralbibliothek","51.0499373","13.7246455",,,,,,,,,
