"Nr","name","street","zip","city","openingHours","phone","fax","mail","web","facebook","speakerPrivate","speakerPublic","spokenLanguages","tags","description","F17","F18","F19","F20","F21","F22","F23","F24","F25","F26","F27"
"10","RAA Sachsen Opferberatung - Unterstützung für Betroffene rechtsmotivierter und rassistischer Gewalt","Bautzner Str. 45 ","01099","Dresden","sur rendez-vous: lu - ven, 9h00 - 18h00","(0351) 88 9 41 74
(0172) 9 74 12 68",,"opferberatung.dresden@raa-sachsen.de","http://raa-sachsen.de/index.php/dresden.html","0","0","0","allemand, anglais","Consultations, conseils et soutien confidentiel, multilingue, gratuit pour victimes d’actes racistes/fachistes et leurs familles, ami(e)s et témoins ","0",,,,,,,,,,,
"11","Willkommen in Hochland","Wachwitzer Höhenweg 10","01328","Dresden","sur rendez-vous","0",0.00,"ah1944@web.de","0","0","Michael Bockting, 
Andrea Schomberg, 
Ralf Wilhelm,
Herbert Effinger, 
Gebhard Ruess","0","allemand, anglais","cours de langues au Dresdner Hochland, parrainages, Collectes de dons, travaux publics, loisirs, dialogues","Le but de la création de notre association est l'amélioration des conditions des réfugiés et demandeurs d'asile à Dresde et dans les régions voisines. Dans cette optique, nous proposons principalement du soutien et de l’aide à l’arrivée, pour une meilleure intégration des nouveaux habitants. Mais aussi des consultations, prises en charge, développement de projets de travail, organisation de fêtes interculturelles, etc.",,,,,,,,,,,
"12","SPIKE Dresden","Karl-Laux-Str. 5","01219","Dresden","chaque jour 13h-20h, fermeture le samedi","0351/ 281 80 84",0.00,"kontakt@spikedresden.de","www.spikedresden.de","www.facebook.com/SPIKEdresden","Ellen Demnitz-Schmidt","Ellen Demnitz-Schmidt, Frank Meißner","allemand, anglais","loisirs, cours d'allemand, contacts avec bénévoles et volontaires, sorties, collectes de dons, aide au quotidien, parrainages","Nous organisons de l’aide concrète pour les demandeurs d’asile à Leubnitz-Neuostra et alentours. Nous offrons un lieu convivial et ouvert aux rencontres, aux loisirs, à l'engagement social, à la coordination des offres, au soutien et adresse pour des partenaires du réseau. Nos locaux sont à la disposition pendant les heures d'ouverture et en dehors pour des actions (par exemple dans la matinée). Tous les dimanches et mercredis de 16-20 heures, les bénévoles et les intéressés peuvent se rencontrer chez nous, pour nouer des contacts, rencontrer des demandeurs d'asile et planifier des activités particulières et des offres communes.",,,,,,,,,,,
"13","AWO Sonnenstein gGmbH, Migrationsberatung für Erwachsene","Prohliser Allee 10","01239","Dresden","lundi: 9.00 - 12.00, mardi: 9.00 - 12.00 et 13.00 - 17.30","0",0.00,"0","0","0","0","0","0","0","0",,,,,,,,,,,
"14","AWO Sonnenstein gGmbH, Asylberatung","Prohliser Allee 10","01239","Dresden","Di.13:00-17:00, Fr. 09:00-12:00","0351-26068027",0.00,"asyl@awo-sonnenstein.de","0","0","0","0","0","0","0",,,,,,,,,,,
"15","ZMO-Jugend e.V.","Kipsdorfer Str. 100","01277","Dresden","mardi 10.00 - 16.00, mercdedi,jeudi,vendredi. 10.00 - 19.00, samedi 13.00 - 20.00","0351 / 28 99 276",0.00,"zmo-jugend@web.de","www.zmo-jugend.de","Facebook.de/ZMO.Jugend.Dresden","Valentina Ohngemach,               Wladimir Tschurikow                ","Valentina Ohngemach,            Wladimir Tschurikow","allemand, russe","offres de conseils, dialogues, accompagnement, offres de formations, loisirs, partages, sport, musique, rencontres interculturelles","Notre offre ""Interkulturelle Begegnungsstätte für junge Menschen"" s'adresse aux enfants, aux jeunes ainsi qu'à leurs parents — avec ou sans origines étrangères. Nous sommes orientés vers les besoins et les intérêts de nos destinataires. Depuis l’augmentation du nombre des demandeurs d'asile, de plus en plus de personnes concernées se tournent vers nos offres. Nous sommes connectés en réseau et travaillons ensemble avec des services spécialisés et des acteurs du champ d'action de la migration.",,,,,,,,,,,
"16","Johannstädter Kulturtreff e.V.","Elisenstraße 35","01307","Dresden","lundi à jeudi: 9h-21h vendredi: 9h-17h","0351 4472823",0.00,"kontakt@johannstaedterkulturtreff.de","www.johannstaedterkulturtreff.de","https://www.facebook.com/pages/Johannst%C3%A4dter-Kulturtreff-eV/168294379862523?ref=tn_tnmn","Matthes Blank","0","allemand, anglais","loisirs, offres artistiques, sport, rencontres interculturelles","Nous mettons à disposition nos locaux et nos ateliers artistiques afin de donner des cours, d'organiser des fêtes et actions - de la cuisine, au sport et a la rencontre en passant par l'art et la culture, les possibilités sont multiples.",,,,,,,,,,,
"17","Verein Pro Pieschen e.V.","Arno-Lade-Straße 9","01129","Dresden","0","01778584201",0.00,"info@propieschen.de","www.propieschen.de","https://www.facebook.com/propieschen?ref=hl","Heidi Geiler","0","0","réseau de quartier, Informations, Coordination de projets","0",,,,,,,,,,,
"18","Pieschen für alle","0","0","Dresden","0","0",0.00,"info@pieschen-fuer-alle.de","www.pieschen-fuer-alle.de","https://www.facebook.com/propieschen?ref=hl","Anja Osiander","Heidi Geiler","0","0","0",,,,,,,,,,,
"19","Bündnis Buntes Meißen","0","01662","Meißen","0","0",0.00,"info@buntes-meissen.de","www.buntes-meissen.de","https://www.facebook.com/pages/Buntes-Meißen/","Andreas Bärisch/Kathleen Nagler","0","0","loisirs, parrainages, cours d'allemand","0",,,,,,,,,,,
"20","MEDEA Frauen-und Mädchengesundtheitszentrum e.V.","Prießnitzstr.55","01099","Dresden","mardi, mercredi14-17, jeudi 10-12, sur rdv","0351-8495679; 015750979006",0.00,"medea-m-gupte@dmx.de","www.medea-dresden.de","0","Anke Müller-Gupte","0","allemand,anglais, traducteur si besoin","consultations médicales - réunions publiques","Consultations médicales (psychologiques, alimentaires, contraception, grossesse ,naturopathe...), réunions ouvertes aux femmes : petit-déjeuner pour les femmes jeudi 10h-12h (hors vacances) ; réunion femmes/enfants au KJH Gorbitz jeudi 16h-18h (à partir de mars : mercredi 16h-18h)",,,,,,,,,,,
"21","AG Asylsuchende [GRH]","0","0","Großenhain","0","0",0.00,"ag_asylsuchende_grh@riseup.net","0","0","0","0","allemand, anglais","loisirs avec réfugiés, éducation antiraciste (voir Blog)","0",,,,,,,,,,,
"22","Ausländerrat Dresden e.V.","Heinrich-Zille-Straße 6 ","01219","Dresden","consultations: lundi-mercredi, vendredi 10h-16h","0",0.00,"info@auslaenderrat.de","www.auslaenderrat-dresden.de","www.facebook.com/Auslaenderrat.Dresden","Markus Degenkolb","0","allemand, anglais, russe,arabe","conseils, parrainages de formation, réunions ouverts (pour femmes, pères, jeunes, ...)soutien sportif, education","0",,,,,,,,,,,
"23","Prohlis ist bunt","Prohliser Allee 33","01239","Dresden","lundi 10-13, mardi 13-17, jeudi 11-15","0351-27 272 16",0.00,"prohlis-ist-bunt@web.de; info@qm-prohlis.de","www.quartiersmanagement-prohlis.de","0","Veronika Gottmann","Veronika Gottmann","reseau regional à Prolis; rencontres allemand; parrainages; loisirs; fiches d'informations","réseau de quartier, Informations, Coordination de projets","Le résau ""Prohlis est multicolore"" regroupe des associations, des institutions, la municipalité, les organismes de quartier, les paroisses et partis politiques de Prohlis et vise à créer pour des demandeurs d'asile et réfugiés un climat accueillant. L'activité principale est le travail de réseau ainsi que la réalisation de projets. Le réseau existe depuis le printemps 2014.",,,,,,,,,,,
"24","Leuben ist bunt","Rottwerndorfer Str. 1","01257","Dresden","lundi 15h-18h, mercredi 15h-18h, jeudi 9h30-12h, vendredi 10h-13h","0351-2728489",0.00,"leuben@vsp-dresden.de","www.vsp-dresden.org","0","Andreas Ermer","Katrin Baumgart","allemand, anglais","réseau régional, cours d'allemand, parrainages, activités sportives, rencontres, fêtes","Notre réseau ""Leuben ist bunt"" est constitué de représentant(e)s du quartier, des églises et de l'aide à la jeunesse.",,,,,,,,,,,
"25","Saxonia Systems AG","Fritz Förster Platz 2","01069","Dresden","lundi-vendredi 10h-16h ","0351-47901670",0.00,"tina.gruhl@saxsys.de","0","0","Tina Gruhl","Tina Gruhl","allemand, anglais","réseau/ médiation, relations avec d'autres entreprises, cours d'allemand, formations IT (par l' Arbeitsagentur Dresden), App mobile ","Implanté dans la société en tant qu'entreprise, nous voudrions nous investir dans un cadre que nous pouvons assumer et où nous pouvons prendre nos responsabilités. Nous nous trouvons en collaboration étroite avec le conseil saxon des réfugiés et avec l'agence du travail. Dans ce sens, nous ne sommes pas une association avec des activités ouvertes, mais nous avons toujours une oreille ouverte et essayons d’aider grâce à nos contacts.",,,,,,,,,,,
"26","Netzwerk ""Gorbitz International""","Leutewitzer Ring 35 ","01169","Dresden","Consultation Asyl au QM Gorbitz tous les mercredi 10h - 12h; RDV rencontres de NW Gorbitz International sur demande; ","0351-3225728",0.00,"kontakt@qm-gorbitz.de","www.qm-gorbitz.de","0","Wolfgang Mueller, Ulrich Krause","0","allemand, anglais","Entretien réseau, médiation d'offres du quartier ; réunion Gorbitz International au QM-Laden ; Journal du quartier WesthangPost (trimestriel) ; fête ""Westhangfest""","Le réseau « Gorbitz International » est une union de femmes et d’hommes de Gorbitz et alentours composée de représentants d’institutions, de paroisses, de partis politiques et d’associations qui veulent prendre soin de tous dans le but d'un bon voisinage dans le quartier et d'un bon accueil des étrangers. Dans le cadre du réseau, des sous-groupes et des projets existent, comme Le café des rencontres, l’organisation UAG et des relations publiques, le jardin communautaire etc.",,,,,,,,,,,
"27","Internationale Gärten Dresden e. V.","Pfotenhauerstraße 103","01307","Dresden","Tous les jours, assemblée chaque premier mercredi du mois. ","0151-53907002",0.00,"info@gaerten-ohne-grenzen.org","www.gaerten-ohne-grenzen.org","0","Manpreet Singh, Mohammad Al Masalme, Mattes Hoffmann","0","arabe, russe, kurde, pundjabi, chinois, japonais,albanais, anglais, français, espagnol, ukrainien, tcheque, perse","jardin communautaire, formations, manifestations culturelles","0",,,,,,,,,,,
"28","LAG politisch-kulturelle Bildung Sachsen e. V.","Schützengasse 18","01067","Dresden","0","0174-8032276",0.00,"kontakt@pokubi-sachsen.de","www.pokubi-sachsen.de","0","Kerstin Knye","Kerstin Knye","allemand, anglais (mis en relation av. russe, ukrainien, espagnol,portugais","Formation permanente 
Travail pédagogique et bénévole avec des réfugiés 
- soutien au sein d'un lieu sûr
- Racisme / migration","Nous nous occupons depuis plusieurs années de thèmes comme le racisme, la migration, l'exil et l'asile et proposons des formations permanentes pour multiplicateurs titulaires et bénévoles. 
Nous nous posons par ainsi la question du type d'action et d'engagement personnels face au racisme. Nous proposons également des séminaires de soutien et d’encouragement pour les personnes touchées par le racisme. Les dates, contenus et besoins concrets à établir au cas par cas.",,,,,,,,,,,
"29","Netzwerk Asyl Migration Flucht (NAMF)","Prohliser Allee 10","0","Dresden","0","015752430666",0.00,"namf@notraces.net","www.namf.blogsport.de","0","Stefan Stein","0","0","Formation permanente, actions, lobbying politique direct, réseau, etc","Initiative politique pour les droits des réfugié(e)s et migrant(e)s et contre le racisme. Nous proposons une liste d’adresses mail pour permettre à des personnes et des groupes de s’organiser et pouvoir s’échanger des informations. Pour faire partie de la liste par mail à namf@notraces.net .",,,,,,,,,,,
"30","KAMA Dresden e.V.","0","0","Dresden","rencontre premier mercredi du mois au Literaturhaus Villa Augustin (Antonstr 1); le troisième jeudis du mois au AZ Conni, à 19 heure; + RDV","",0.00,"kama-dresden@riseup.net","www.kama-dresden.org","https://www.facebook.com/kamadresden?fref=ts","Carmen Burkel","0","allemand, anglais, français, portugais (arabe,tiginia possible)","cours pour réfugiés, migrant(e)s et demandeurs d'asile de Dresde, programme de formations et sorties culturelles, lieu d'échanges","Notre association ""Dresde KAMA"" se définit comme une plate-forme d'échange via des offres culturelles et de formation. Nous proposons des cours PAR des demandeurs d'asile, réfugiés et migrants. L'organisation du contenu incombe aux formateurs, l'association offre des soutiens financiers et des organisateurs. Les cours sont divers : cours de cuisine, cours linguistiques, cours de métier, ateliers de débat, etc. La participation financière se fait sur le principe du don. Nous souhaitons créer un réseau vivant entre les membres de l'association, les formateurs et les participants.",,,,,,,,,,,
"31","Ausländerbeirat","0","0","Dresden","0","0",0.00,"0","http://www.dresden.de/de/02/030/c_04.php","0","0","0","0","0","0",,,,,,,,,,,
"32","Welcome Center TU Dresden ","Nürnberger Str. 31a","01187","Dresden","Mardi, Mercredi, Jeudi 10h-12h & Mercredi 13h-15h avec rendez-vous","49-351-463 34009",,"welcome.center@tu-dresden.de","http://tu-dresden.de/internationales/welcomecenter/startseite/welcome_center","http://www.facebook.com/welcomecenter.DDc","0","0","0","0","0",,,,,,,,,,,
"33","medinetz","Heinrich-Zille-Straße 6 ","01219","Dresden","0","0177-1736781",0.00,"0","http://www.semaz.monoceres.uberspace.de/medinetz/","0","0","0","0","0","Le comité de défense des droits de l'homme Medinetz (association déclarée) propose une aide médicale anonyme et gratuit pour les réfugiés et les personnes sans visa, carte de séjour, passeport etc.  Nous sommes une association indépendante de citoyens, composée d'étudiants et de médecins engagés et nous sommes soutenus par beaucoup de médecins traitants, thérapeutes, psychologues, sages-femmes et interprètes. Notre objectif premier consiste à facilité l'accès aux soins des personnes sans papiers à Dresde et aux environs de Dresde, laquelle n'est pas garantie par l'Etat. L'accès à des soins médicaux appropriés est un des droits de l'homme, ce que l'on cherche de fait à cacher aux sans papiers à l'heure actuelle. Les demandeurs d'asile ne se voient offrir qu'un accès restreint aux soins médicaux. Par notre travail, nous voudrions garantir un accès aux soins aux personnes concernées.",,,,,,,,,,,
"34","Sächsischer Flüchtlingsrat","Dammweg 5","01097","Dresden","0351-458-17094","0351/30990102, 0351/87451710",,"info@saechsischer-fluechtlingsrat.de","http://saechsischer-fluechtlingsrat.de/","https://www.facebook.com/pages/S%C3%A4chsischer-Fl%C3%BCchtlingsrat-eV/204490826370915?fref=ts","Ali Moradi, Patrick Irmer","0","allemand, anglais, arabe,perse, russe, français, italien","conseils, parrainages de formation, éducation, soutien pour demandeurs d'asile, assistance sociale",,,,,,,,,,,,
"35","traumaberatung","Fetscherstraße 74","01307","Dresden","0","0351-458-17094",,"0","http://www.psychosomatik-ukd.de/","0","0","Prof. Dr. med. habil. Kerstin Weidner ","0","0",,,,,,,,,,,,
"36","gemeindedolmetscherdienst","0","0","Dresden","0","0",0.00,"0","0","0","0","0","0","0","0",,,,,,,,,,,
"37","Regionalkoordination Flüchtlingssozialarbeit Cotta","0","0","Dresden","0","0",0.00,"0","0","0","0","0","0","0","0",,,,,,,,,,,
"38","Regionalkoordination Flüchtlingssozialarbeit Prohlis/Leuben","Lohrmannstr.20","01237","Dresden","jeudi 13h- 16h","Prohlis: 0157 38524468; Leuben: 0152 54918797",0.00,"asyl@caritas-dresden.de",,"0","M. Dietze , M. Fried","0","arabe, russe, anglais","Assistance sociale, accompagnement des demandeurs d'asile à Prohlis et 
Leuben (logement décentralisé); coordination des offres pour les 
demandeurs d'asile à Prohlis et Leuben; fonctions honorifiques","Coordination des offres pour demandeurs d'asile à Prohlis et Leuben, travail bénévole.",,,,,,,,,,,
"39","Regionalkoordination Flüchtlingssozialarbeit Altstadt/Pauen","0","0","Dresden","0","0",0.00,"0","0","0","0","0","0","0","0",,,,,,,,,,,
"40","Regionalkoordination Neustadt/Klotzsche/Pieschen","0","0","Dresden","0","0",0.00,"0","0","0","0","0","0","0","0",,,,,,,,,,,
"41","Regionalkoordination Blawitz/Schönfld-Weißig/Loschwitz","0","0","Dresden","0","0",0.00,"0","0","0","0","0","0","0","0",,,,,,,,,,,
"42","Dresdner Verein für soziale Integration von Ausländern und Aussiedlern e.V.","Lingneralle 3","01069","Dresden","lundi-jeudi 09h00 - 17h00, vendredi 09h00 - 13h00 ","0351 4843803",,"viaa.dd@t-online.de","www.convectus.de","0","Dr. Ingrid Blankenburg","0","0","conseil, accompagnement, traductions, aide d'orientation pour demandeurs d'asile, cours pour femmes et cours de pratique de l'allemand","voir site web",,,,,,,,,,,
"43","Jugendmigrationsdienst","Schweriner Str.27","01067","Dresden","lundi sur RDV et jeudi 13h00- 17h30","0351 4984746 /745/ 742",,"jmd@caritas-dresden.de","www.caritas-dresden.de","0","0","0","0","soutien pour jeunes réfugié(e)s jusqu'à 27 ans: apprentissage linguistique, école, formation professionelle, profession et études","Le JMD est une lieu de consultation pour réfugié(e)s jusqu'à 27 ans. Son axe principal de travail est d'apporter conseil et soutien quant aux questions de scolarisation, d'apprentissage et des études avec l'aide d'une spécialiste de la protection des mineurs (§ 8a SGB VIII).",,,,,,,,,,,
"44","International Café im Artderkultur e.V.","Görlitzer Str. 42","01099","Dresden","vendredi 14h00-19h00","0172-3434059 (Pune)
0163-1628201 (Fabiane)",0.00,"0","0","0","0","0","0","0","0",,,,,,,,,,,
"45","HELLERAU - Europäisches Zentrum der Künste Dresden","Karl-Liebknecht-Str. 56","01109","Dresden","entrée libre pour réfugiés, jardin interculturel Golgi Park, Kitchentalk (dialogue dans la cuisine)","0351 2646237",0.00,"wetzel@hellerau.org (Frauke Wetzel)","www.hellerau.org","0","0","0","0","0","0",,,,,,,,,,,
"46","Altstädter Dialog","0","0","Dresden",,"0",0.00,"FBauer1@dresden.de","0","0","OAL M. Barth, adj. M. Bauer","0","0","0","Toute nouvelle initiative comprenant des institutions administratives, des associations et des citoyens",,,,,,,,,,,
"47","Gruppe Cartonage","0","0","Dresden","0","0",0.00,"gruppe.cartonage@notraces.net","http://cartonage.blogsport.de/","0","","0","0","0","Initiative pour les droits des réfugié(e)s en Allemagne, apportant un regard critique sur les structures existantes et le traitement dont les réfugiés font l'objet",,,,,,,,,,,
"48","Dresden - place to be e. V.","Dr.-Külz-Ring 12","01067","Dresden","0","0151 23701485",0.00,"dd.placetobe@googlemail.com","http://www.dresden-place-to-be.de/","0","0","0","0","0","0",,,,,,,,,,,
"49","Bürgercourage e.V.","Prießnitzstraße 18","01099 ","Dresden","0","0157-73 82 77 62",,"info@buerger-courage.de","0","0","0","0","0","0","0",,,,,,,,,,,
"50","Runder Tisch Asyl, OA Neustadt","0","0","Dresden","0","0",0.00,"0","0","0","0","0","0","0","0",,,,,,,,,,,
"51","Jugendwerk Dresden","Oberwachwitzer Weg 13","01326 ","Dresden","0","0",0.00,"change@betterplace.org","https://www.betterplace.org/en/organisations/jugendwerkdresden","0","0","0","0","0","0",,,,,,,,,,,
"52","Initiative für Flüchtlinge Bühlau-Rochwitz","0","0","Dresden","0","0",0.00,"Christian-karpf@gmx.de","0","0","Christian Karpf","Christian Karpf","0","0","0",,,,,,,,,,,
"53","German lessons für Refugees Dresden","Bibliothèque à l'intérieur du World Trade Center et Bibliothèque municipale de Neustadt (Königsbrücker Str.)","0","Dresden","0","0",0.00,"0","0","https://www.facebook.com/GermanLessonsforRefugees","0","","0","0","cours à la bibliothèque (à Neustadt et à la bibliothèque centrale)",,,,,,,,,,,
"54","Women* refugee meeting","M.-Luther-Str. 13","0","Dresden","0","0",0.00,"0","0","0","0","0","0","0","offre multilingue: activités de loisirs divers pour réfugiées (femmes) : cuisine et alimentation, danse, activités sportives, rencontre avec des femmes allemandes...",,,,,,,,,,,
"55","TOLERADE","0","0","Dresden","0","0176 / 22 77 85 48",0.00,"tolerave@gmail.com","0","0","Dana Bondartschuk ","0","0","0","Défilé musical visant à lutter contre les tendances xénophobes à Dresde (et en Saxe). Son but est de refléter la diversité des cultures à Dresde.",,,,,,,,,,,
