"Nr","name","street","zip","city","openingHours","phone","fax","mail","web","facebook","speakerPrivate","speakerPublic","spokenLanguages","tags","description","lat","lon","F19","F20","F21","F22","F23","F24","F25","F26","F27"
"38","Regionalkoordination Flüchtlingssozialarbeit Prohlis/Leuben","Lohrmannstr.20","01237","Дрезден","Четверг: с 13 до 16 ч.","Prohlis: 0157 38524468 u.Leuben 0152 54918797",0.00,"asyl@caritas-dresden.de",,"0","Herr Dietze , Herr Fried","0","арабский, русский, английский","Социальные консультации и попечительство ищущих убежище в Пролисе и Лёйбене (Prohlis и Leuben) (размещение, удаленное от центра), координирование предложений для ходатайствующих о предоставлении убежища в Пролисе и Лёйбене, работа на добровольных началах ","Координирование предложений для лиц, ищущих убежище, в Пролисе и Лёйбене, работа на общественных началах.",,,,,,,,,,,
"39","Regionalkoordination Flüchtlingssozialarbeit Altstadt/Pauen","0","0","0","0","0",0.00,"0","0","0","0","0","0","0","0",,,,,,,,,,,
"40","Regionalkoordination Neustadt/Klotzsche/Pieschen","0","0","0","0","0",0.00,"0","0","0","0","0","0","0","0",,,,,,,,,,,
"41","Regionalkoordination Blawitz/Schönfld-Weißig/Loschwitz","0","0","0","0","0",0.00,"0","0","0","0","0","0","0","0",,,,,,,,,,,
"42","Dresdner Verein für soziale Integration von Ausländern und Aussiedlern e.V.","Lingneralle 3","01069","Дрезден","С понедельника по четверг: с 9 до 17 ч.; пятница: с 9 до 13 ч.","0351 4843803",,"viaa.dd@t-online.de","www.convectus.de","0","Dr. Ingrid Blankenburg","0","25","Консультация, сопровождение службой устных переводов, помощь в ориентации для ищущих убежище, курсы для женщин, тренировочные курсы для немецкого языка","смотри веб-страницу",,,,,,,,,,,
"43","Jugendmigrationsdienst","Schweriner Str.27","01067","Дрезден","Понедельник: по записи; четверг: с 13 до 17.30 ч.","0351 4984746 /745/ 742",,"jmd@caritas-dresden.de","www.caritas-dresden.de","0","0","0","0","Консультация молодых мигранток и мигрантов до 27 лет по вопросам освоения языка, школы, образования, профессии и высшего образования","Служба миграции молодежи - это консультационный пункт для молодых мигранток и мигрантов до 27 лет. Основной задачей является консультация по вопросам школы, языка, профессии и высшего образования. Кроме того имеются специалисты по вопросу защиты детей.",,,,,,,,,,,
"44","International Café im Artderkultur e.V.","Görlitzer Str. 42","01099","Дрезден","Пятница: с 14 до 19 ч.","0172-3434059 (Pune)
0163-1628201 (Fabiane)",0.00,"0","0","0","0","0","0","0","0",,,,,,,,,,,
"45","HELLERAU - Europäisches Zentrum der Künste Dresden","Karl-Liebknecht-Str. 56","01109","Дрезден","Бесплатный вход для беженцев, многокультурный сад в Golgi Park, кухонные посиделки","0351 2646237",0.00,"wetzel@hellerau.org (Frauke Wetzel)","www.hellerau.org","0","0","0","0","0","0",,,,,,,,,,,
"46","Altstädter Dialog","0","0","0","መእተዊ ቢነፃ ን ፅግዕተኝት ንዚሓተቱ፣ ኣብ Garten Golgi Park,   ወግዒን ጨዋታን","0",0.00,"FBauer1@dresden.de","0","0","OAL Herr Barth, Stellv. Herr Bauer","0","0","0","новообразованная инициатива, состоящая из администрации, объединений и гражданского общества",,,,,,,,,,,
"47","Gruppe Cartonage","0","0","0","0","0",0.00,"gruppe.cartonage@notraces.net","http://cartonage.blogsport.de/","0","","0","0","0","Für Rechte von Flüchtlingen in Deutschland Kritik an den bestehenden Strukturen des Umgangs mit diesen",,,,,,,,,,,
"48","Dresden - place to be e. V.","Dr.-Külz-Ring 12","01067","Dresden","0","0151 23701485",0.00,"dd.placetobe@googlemail.com","http://www.dresden-place-to-be.de/","0","0","0","0","0","0",,,,,,,,,,,
"49","Bürgercourage e.V.","Prießnitzstraße 18","01099 ","Dresden","0","0157-73 82 77 62",,"info@buerger-courage.de","0","0","0","0","0","0","0",,,,,,,,,,,
"50","Runder Tisch Asyl, OA Neustadt","0","0","0","0","0",0.00,"0","0","0","0","0","0","0","0",,,,,,,,,,,
"51","Jugendwerk Dresden","Oberwachwitzer Weg 13","01326 ","Dresden","0","0",0.00,"change@betterplace.org","https://www.betterplace.org/en/organisations/jugendwerkdresden","0","0","0","0","0","0",,,,,,,,,,,
"52","Initiative für Flüchtlinge Bühlau-Rochwitz","0","0","0","0","0",0.00,"Christian-karpf@gmx.de","0","0","Christian Karpf","Christian Karpf","0","0","0",,,,,,,,,,,
"53","German lessons für Refugees Dresden","Bibliothek am WTC und Zweigstelle Neustadt","0","0","0","0",0.00,"0","0","https://www.facebook.com/GermanLessonsforRefugees","0","","0","0","курсы в библиотеке района Нойштадт и в центральной библиотеке",,,,,,,,,,,
"54","Women* refugee meeting","M.-Luther-Str. 13","0","Dresden","0","0",0.00,"0","0","0","0","0","0","0","многоязыковое предложение: различные варианты проведения досуга для женщин-беженок, как например совместное принятие пищи, ее приготовление, танцы, спорт, знакомство с немецкими женщинами ",,,,,,,,,,,
"55","TOLERADE","0","0","0","0","0176 / 22 77 85 48",0.00,"tolerave@gmail.com","0","0","Dana Bondartschuk ","0","0","0","Musikparade, mit der fremdenfeindlichen Tendenzen in Dresden, Sachsen etwas entgegensetzt werden soll. Sie ist zugleich Demonstration der Vielfalt innerhalb der Dresdner Kulturlandschaft",,,,,,,,,,,
