"Nr","name","street","zip","city","openingHours","phone","fax","mail","web","facebook","speakerPrivate","speakerPublic","spokenLanguages","tags","description","lat","lon","F19","F20","F21","F22","F23","F24","F25","F26","F27"
"45","HELLERAU - Europäisches Zentrum der Künste Dresden","Karl-Liebknecht-Str. 56","01109","Dresden","Slobodan ulaz za izbeglice u. Garten Golgi Park, Kitchentalk","0351 2646237",0.00,"wetzel@hellerau.org (Frauke Wetzel)","www.hellerau.org","0","0","0","0","0",,,,,,,,,,,,
"46","Altstädter Dialog","0","0","0","መእተዊ ቢነፃ ን ፅግዕተኝት ንዚሓተቱ፣ ኣብ Garten Golgi Park,   ወግዒን ጨዋታን","0",0.00,"FBauer1@dresden.de","0","0","OAL Herr Barth, Stellv. Herr Bauer","0","0","0","Novoosnovana inicijativa koju su pokrenuli ljudi iz vlade, udruženja i građanstva.",,"Novoosnovana inicijativa koja se sastoji iz uprave, udruga i civilnog društva.",,,,,,,,,
"47","Gruppe Cartonage","0","0","0","0","0",0.00,"gruppe.cartonage@notraces.net","http://cartonage.blogsport.de/","0","","0","0","0","Za prava izbeglica u Nemačkoj, kao i kritika postojećih struktura koje rukuju ovim pitanjem.",,"Za prava izbeglica u nemačkoj i kritika na aktualnom postupu prema njima. ",,,,,,,,,
"48","Dresden - place to be e. V.","Dr.-Külz-Ring 12","01067","Dresden","0","0151 23701485",0.00,"dd.placetobe@googlemail.com","http://www.dresden-place-to-be.de/","0","0","0","0","0",,,,,,,,,,,,
"49","Bürgercourage e.V.","Prießnitzstraße 18","01099 ","Dresden","0","0157-73 82 77 62",,"info@buerger-courage.de","0","0","0","0","0","0",,,,,,,,,,,,
"50","Runder Tisch Asyl, OA Neustadt","0","0","0","0","0",0.00,"0","0","0","0","0","0","0",,,,,,,,,,,,
"51","Jugendwerk Dresden","Oberwachwitzer Weg 13","01326 ","Dresden","0","0",0.00,"change@betterplace.org","https://www.betterplace.org/en/organisations/jugendwerkdresden","0","0","0","0","0",,,,,,,,,,,,
"52","Initiative für Flüchtlinge Bühlau-Rochwitz","0","0","0","0","0",0.00,"Christian-karpf@gmx.de","0","0","Christian Karpf","Christian Karpf","0","0",,,,,,,,,,,,
"53","German lessons für Refugees Dresden","Bibliothek am WTC und Zweigstelle Neustadt","0","0","0","0",0.00,"0","0","https://www.facebook.com/GermanLessonsforRefugees","0","","0","0","Kursevi u biblioteci ,,Neutstadt"" i ,,Zentralbibliothek"".",,"Kursevi (tečaji) u knjižari Neustadt i i centralnoj knjižari (Zentralbibliothek)",,,,,,,,,
"54","Women* refugee meeting","M.-Luther-Str. 13","0","Dresden","0","0",0.00,"0","0","0","0","0","0","0","Višejezična ponuda: raznovrsne aktivnosti za rekreakciju za žene u izbeglištvu, kao što su zajednički obedi, kuvanje, ples, sport, upoznavanje sa ženama iz Drezdena i okoline.",,"Višejezična ponuda. Razne aktivnosti za ženske izbeglice (npr. zajednički ručak, zajedničko kuhanje, plesanje, sport i upoznavanje sa nemačkim ženama) u slobodno vrijeme. ženske izbeglice, na primjer zajednički ručak, zajedničko kuhanje, plesanje, sport i",,,,,,,,,
"55","TOLERADE","0","0","0","0","0176 / 22 77 85 48",0.00,"tolerave@gmail.com","0","0","Dana Bondartschuk ","0","0","0","Muzička parada koja se usprostavlja ksenofobilčnim tendencijama u Drezdnu i Saksoniji. Istovremeno, na ovaj način pokazujemo raznolikost kulturalnog pejzaža Drezdena.",,"Musična parada sa ciljem suprotstaviti se ksenofibijskim smjerovima u Dresden-u. Demonstracija za raznovrsnost u  Dresden-u.",,,,,,,,,
