"Nr","name","street","zip","city","openingHours","phone","fax","mail","web","facebook","speakerPrivate","speakerPublic","spokenLanguages","tags","description","lat","lon","F19","F20","F21","F22","F23","F24","F25","F26","F27"
"10","RAA Sachsen Opferberatung - Unterstützung für Betroffene rechtsmotivierter und rassistischer Gewalt","Bautzner Str. 45 ","01099","Dresden","ቆፀሮ ብስምምዕነት ሶኒ ክሳብ ዓርቢ  9:00 - 18:00 ሰዓት","(0351) 88 9 41 74
(0172) 9 74 12 68",,"opferberatung.dresden@raa-sachsen.de","http://raa-sachsen.de/index.php/dresden.html","0","0","0","ቋንቋታት ኢንግሊዝን ጀርመንን","ጉጅለኣዊ: ኣብ ዓሚል ዘተኮረ: ዝርገሐ ዘለዎ: ምስጢራዊ: ብዙሕ ቋንቋታት ዝካየድ ነጻ ምኽርን ሓገዝን ዓሌታዊ ኣድልዎን ጎነጽን ዝኾኑ ግዳያት:ነዝማድ: የዕሩኽ  መሓዙ: ኣባላት ወዘተ።  ","0",,,,,,,,,,,
"11","Willkommen in Hochland","Wachwitzer Höhenweg 10","01328","Dresden","ሕቶ ብምቕራብ","0",0.00,"ah1944@web.de","0","0","Michael Bockting, 
Andrea Schomberg, 
Ralf Wilhelm,
Herbert Effinger, 
Gebhard Ruess","0","ቋንቋታት ኢንግሊዝን ጀርመንን","ናይ ትምህርቲ ቋንቋ ቀረባት ኣብ ከበሳታት ደረስደን: ናይ ምወላ መደባት: ወፈያታት ምእካብ: ንስረሓት ቅሉዕ ምግባርናይ ምዝንጋዕ መደባት: ክትዓት","ዕላማ ናይዚ ውድብ ምምሕያሽ ኩነታት መነባብሮ ናይ ስደተኛታትን ሓተቲ ዑቕባን ኣብ ድረስደንን ከባቢኣን እዩ። ን ሓደስቲ ሰፋሮ ኣብ ድረስደን ንሕግዝን ንድግፍን ከምኡ'ውን ምስ ነባሮ ንውህደቶም ንሰርሕ። ምኽሪ ንህብ: ሓልዮት/ሓገዝ: ናይ ሰራሕ ዕድላት: ባህላዊን ካልእን ኣጋጣሚታት።     ",,,,,,,,,,,
"12","SPIKE Dresden","Karl-Laux-Str. 5","01219","Dresden","ኩሉ ጊዜ ካብ 13:00 - 20:00 ቀዳም ዕፁው እዩ","0351/ 281 80 84",0.00,"kontakt@spikedresden.de","www.spikedresden.de","www.facebook.com/SPIKEdresden","Ellen Demnitz-Schmidt","Ellen Demnitz-Schmidt, Frank Meißner","ቋንቋታት ኢንግሊዝን ጀርመንን","ናይ ምዝንጋዕ መደባት:ትምህርቲ  ቋንቋ ጀርመን: ርክባት ምስ ወለንታውያንን ተሓጋገዝትን: ዑደታት: ወፈያ ምእካብ: ሓገዝ ኣብ ዕለታዊ ንጥፈታት: ምወላታት ","ኣብ ሌብኒዝ-ኔውስትራ (Leubnitz-Neuostra) ከምኡ'ውን ካልእ ክፋል ናይዛ ከተማ ን ስደተኛታት/ዑቑባት ሓገዝ/ደገፍ ንዉድብ። ",,,,,,,,,,,
"13","AWO Sonnenstein gGmbH, Migrationsberatung für Erwachsene","Prohliser Allee 10","01239","Dresden"," ሶኒ 9:00 - 12:00, ሰሉስ 9:00 - 12:00, እና 13:00 - 17:30","",0.00,"0","0","0","0","0","0","0","0",,,,,,,,,,,
"14","AWO Sonnenstein gGmbH, Asylberatung","Prohliser Allee 10","01239","Dresden"," ሰሉስ 13:00 -17:00, ዓርቢ 09:00 - 12:00","0351-26068027",0.00,"asyl@awo-sonnenstein.de","0","0","0","0","0","0","0",,,,,,,,,,,
"15","ZMO-Jugend e.V.","Kipsdorfer Str. 100","01277","Dresden","","0351 / 28 99 276",0.00,"zmo-jugend@web.de","www.zmo-jugend.de","Facebook.de/ZMO.Jugend.Dresden","Valentina Ohngemach,               Wladimir Tschurikow                ","Valentina Ohngemach,            Wladimir Tschurikow","ቋንቋታት ኢንግሊዝን ጀርመንን","ምኽሪ: ናይ ምኽርን ምምይያጥን መደባት:ፉት ትምህርቲ: ኣብ ነጻ ግዜ ንጥፈታ ናይ ምክያድ ዕድላት: ናይ ሙዚቃን ስፖርትን መደባት :ሓድሕድ ባህላዊ ርክባት ምፍጣር","""ሓድሕድ-ባህላዊ መራኸቢ ንመንእሰያት"" ብዝብል ኣብ ቆልዑ: መንእሰያት ከምኡ ውን ወለዲ (ናይ ስደት ድሕረባይታ ይሃልዎም ኣይሃልዎም ብዘየገድስ) ዘተኮረ መደባት ንዓምም። መደባትና ኣብ ጠለባትን ድሌታትን ዓማዊልና ዝተመርኮሰ እዩ።",,,,,,,,,,,
"16","Johannstädter Kulturtreff e.V.","Elisenstraße 35","01307","Dresden"," ሰኑይ - ሰሉስ 09:00 - 21:00, ዓርቢ 09:00 - 17:00","0351 4472823",0.00,"kontakt@johannstaedterkulturtreff.de","www.johannstaedterkulturtreff.de","https://www.facebook.com/pages/Johannst%C3%A4dter-Kulturtreff-eV/168294379862523?ref=tn_tnmn","Matthes Blank","0","ቋንቋታት ኢንግሊዝን ጀርመንን","ናይ ትርፊ ግዜ መደባት:ስነ-ጥበባውን ባህላውን ንጥፈታት: ስፖርት: ሓድሕድ ባህላዊ ርክባት","ንዘለውና ኣደራሻትን ናይ ስነጥበብ ዎርክሾባትን ንኮርሳት: ዝጋየድ ፍጻመታትን ንጥፈታትን ክፉታት ንገብር ካብ ምኽሻን: ስፖርት ናይ ቅብኣን ባህልን ንጥፈታት ወዘተ: ብዙሕ ተኽእሎታት ኣሎ።",,,,,,,,,,,
"17","Verein Pro Pieschen e.V.","Arno-Lade-Straße 9","01129","Dresden",,"01778584201",0.00,"info@propieschen.de","www.propieschen.de","https://www.facebook.com/propieschen?ref=hl","Heidi Geiler","0","0","ከባቢያዊ ምትእስሳራት:ሓበሬታታት: ፕሮጀክታት ምውህሃድ","0",,,,,,,,,,,
"18","Pieschen für alle","0","0","0","0","0",0.00,"info@pieschen-fuer-alle.de","www.pieschen-fuer-alle.de","https://www.facebook.com/propieschen?ref=hl","Anja Osiander","Heidi Geiler","0","0","0",,,,,,,,,,,
"19","Bündnis Buntes Meißen","0","01662","Meißen","0","0",0.00,"info@buntes-meissen.de","www.buntes-meissen.de","https://www.facebook.com/pages/Buntes-Meißen/","Andreas Bärisch/Kathleen Nagler","0","0","ናይ ትርፊ ግዜ መደባት: ምወላታት: ትምህርቲ  ቋንቋ ጀርመን","0",,,,,,,,,,,
"20","MEDEA Frauen-und Mädchengesundtheitszentrum e.V.","Prießnitzstr.55","01099","Dresden"," ሰሉስ ክሳብ ሓሙስ 14:00 - 17:00, ሓሙስ 10:00-12:00 ብ ቆፀሮ","0351-8495679; 015750979006",0.00,"medea-m-gupte@dmx.de","www.medea-dresden.de","0","Anke Müller-Gupte","0","ቋንቋታት ኢንግሊዝን ጀርመንን ኣድላይ ምስዝኸውን ኣስቶርጋሚ ካብ  ገማይንደ ዶልመቸር ዲንስት (Gemeindedolmetscherdienst)","ጥዕናዊ ዛዕባታት: ምኽሪ: ነጻ ርክባት","ኣብ ርእሲ ዘለና ጥዕናዊ ምኽርታት ( ስነ-ኣእምሮእዊ: ኣመግግባ: ምክልኻል ጥንሲ: ክንክን ጥንሲ: ፍወሳ) ክፉት ርክባት ንደቀንስትዮ ንውድብ። ቁርሲ ንደቀንስትዮ ነፍሲ-ወከፍ ሓሙስ:ሰዓት 10-12 (ብዘይካ ኣብ ህዝባዊ በዓላት) ከምኡ ውን ናይ ደቀንስትዮን + ቆሎኡ መርኸቢ መደብ ኣብ KJH ጎርቢትስ  ነፍሲ-ወከፍ ሓሙስ: ሰዓት 14-16(ካብ መጋቢት ነፍሲ-ወከግ ረቡዕ: ሰዓት 14-16 )",,,,,,,,,,,
"21","AG Asylsuchende [GRH]","0","0","Großenhain","","0",0.00,"ag_asylsuchende_grh@riseup.net","0","0","0","0","ቋንቋታት ኢንግሊዝን ጀርመንን","ናይ ምዝንጋዕ መደባት ምስ ሓተቲ ዑቕባ: ኣንጻር ዓሌታውነት ጎስጋሳት ምክያድ","0",,,,,,,,,,,
"22","Ausländerrat Dresden e.V.","Heinrich-Zille-Straße 6 ","01219","Dresden","መማኻሪ ቢሮ፣ ሶኒ ክሳብ ሮቡዕ,  ዓርቢ 10:00-16:00",,0.00,"info@auslaenderrat.de","www.auslaenderrat-dresden.de","www.facebook.com/Auslaenderrat.Dresden","Markus Degenkolb","0","ቋንቋታት ኢንግሊዝ: ጀርመን: ሩስያ: ዓረብ","ምኽሪ:ናይ ስልጠና ምወላታት: ነጻ ርክባት(ናይ ደቀንስትዮ ርክባት: ናይ ኣቦታት ርክባት ናይ መንእሰያት መደባት) ናይ ስፖርት ንጥፈታት: ስልጠናታት","0",,,,,,,,,,,
"23","Prohlis ist bunt","Prohliser Allee 33","01239","Dresden","ሶኒ 10-13, ሰሉስ 13-17, ሓሙስ 11-15","0351-27 272 16",0.00,"prohlis-ist-bunt@web.de; info@qm-prohlis.de","www.quartiersmanagement-prohlis.de","0","Veronika Gottmann","Veronika Gottmann","ቋንቋታት ኢንግሊዝን ጀርመንን","ከባቢያዊ ምትእስሳራት ኣብ ፕሮህሊስ: ጀርመናዊ ርክባት: ምወላ: ናይ ምዝንጋኦ መደባት: ናይ ክትዕ መደባት: ፍላየራት(ወረቓቕቲ)","ማሕበር ምትሕግጋዝ "" ፕሮህሊስ ሕብራዊት እያ (Prohlis ist bunt) ብወሃብቲ ኣገልግሎታት: ትካላት: ክለባትን: ምምሕዳር ገዛውቲ:ማኣሕበራት ኣብያተክርስትያን: ሰልፍታትን ዝቖመ ማሕበር ኮይኑ ንስደተኛታትን ሓተቲ ዑቕባን ምቹእ ሃዋህው ንምፍጣር ዝጽዕር እዩ። ቀንዲ ዕማማቱ ማሕበር ምትሕግጋዝን ፕሮጀክታት ምውዳብን እዩ። እዚ ማህበር ምትሕግጋዝ ኣብ ጽድያ 2014 ዝተመስረተ እዩ።",,,,,,,,,,,
"24","Leuben ist bunt","Rottwerndorfer Str. 1","01257","Dresden","ሶኒ 15-18, ረቡዕ 15-18, ሓሙስ9:30-12, ዓርቢ 10-13","0351-2728489",0.00,"leuben@vsp-dresden.de","www.vsp-dresden.org","0","Andreas Ermer","Katrin Baumgart","ቋንቋታት ኢንግሊዝን ጀርመንን","ከባቢያዊ ምትእስሳራት: ትምህርቲ ቋንቋ ጀርመን: ምወላ: :ስፖርታዊ ንጥፈታት: ናይ ምዝንጋዕ መደባት","ማሕበር ምትሕግጋዝና ሎይበን ሕብራዊት ኣያ  ትካላትን ወከልቲ/ካብ ውሽጢ ከባብን  ከም በዓል ሕዳር ከባቢ: ቤተክርስትያን ማሕበር መንእሰያት ወዘተ ዝሓቖፈ እዩ።",,,,,,,,,,,
"25","Saxonia Systems AG","Fritz Förster Platz 2","01069","Dresden","ሶኒ - ዓርቢ 10-16 ሰዓት","0351-47901670",0.00,"tina.gruhl@saxsys.de","0","0","Tina Gruhl","Tina Gruhl","ቋንቋታት ኢንግሊዝን ጀርመንን","ምትእስሳራት ምፍጣርን ምውህሃድንምስ ካልኦት ትካላት ርክባት ምፍጣር ትምህርቲ ቋንቋ ጀርመን: ናይ መርበብ ሓበሬታ(IT) ስልጠናታት ብመንገዲ ኣርባይት ኣጀንቱር ድረስደን (Arbeitsagentur Dresden) ሞባይል ኣፕ (mobile App)","ኣብ ሕብረተሰብ ዝተሰረተ ትካል ስለትኾንና ኣብ ከምዚ ንጥፈታት ከነበርክት  እጃምና ከነልዕልን ንደሊ። ምስ ቤት ምኽሪ ስደተኛታት ዛክሰንን (Sächischen Flüchtlingsrat) ቤት ጽሕፈት ዕዮን (Arbeitsagentur) ብቐረባ እንዳተሓባበርና ንሰርሕ። እዚ ማለት ክፉት ዝኾነ ንጥፈታት ዘለና ክለብ ኣይኮንናን  እንተኾነ ግን ብክፉት እዝኒ ንሰምዕ ብመንገዲ ርክባትና ሽግራት ክንፈትህ ንፍትን። ",,,,,,,,,,,
"26","Netzwerk ""Gorbitz International""","Leutewitzer Ring 35 ","01169","Dresden","መማኸሪ ሰዓት ን  ጽግዕትኛታት ኣብ QM Gorbitz ረቡዕ 10-24,  ቆፀሮ ን NW Gorbitz International ሕቶ ብምቕራብ ይኸውን ","0351-3225728",0.00,"kontakt@qm-gorbitz.de","www.qm-gorbitz.de","0","Wolfgang Mueller, Ulrich Krause","0","ቋንቋታት ኢንግሊዝን ጀርመንን","ምውዳብ ማሕበራት: ምውህሃድ መደባት ኣብዚ ከባቢ: ርክብ ናብ ጎርቢትስ ኢንተርናሽናል (Gorbitz International im QM-Laden) ከባኢያዊ ጋዜጣ WesthangPost (vierteljährig); WesthangFest.","ማሕበር ምትሕግጋዝ ""ጎርቢትስ ኢንተርናሽናል  (Gorbitz International)"" ብስምረት ደቀንስትዮን ደቂተባዕትዮን ነበርቲ ጎርቢትስን ከባቢኣን, ማለት ካብ ካልእ ከባቢታት ምስ ዝመጹ ሰባት ንጽቡቕ ጉርብትና ናይ ተቕባል-ጋሻ ባህልን ክኹስኩሱ ብዝደልዩ ወከልቲ ትካላት: ማሕበራት ቤተ-ክርስትያን: ሰልፍታትን ክለባትን ዝቖመ ማሕበር እዩ። ኣብ ውሽጢ እዚ ማሕበር ንኡሳን ማሕበራትን ፕሮጀክታትን ከም:  መራኸቢ ካፈ: ማሕበር UAGን und ናይ ምትሕውዋስ መደባት, ኮማዊ ጀራዲንን ካልኦትን ይውድብ. ",,,,,,,,,,,
"27","Internationale Gärten Dresden e. V.","Pfotenhauerstraße 103","01307","Dresden","ተኽታታልነት ዘለዎ ኣኼባ ኩሉ ጊዜ ናይ መጀመርታ ረቡዕ በቢ ወርሑ","0151-53907002",0.00,"info@gaerten-ohne-grenzen.org","www.gaerten-ohne-grenzen.org","0","Manpreet Singh, Mohammad Al Masalme, Mattes Hoffmann","0","ቋንቋታት ኢንግሊዝ: ጀርመን: ሩስያ: ዓረብ: ኩርድ:ፑንጃቢ:ቻይና:ጃፓን:ኣልባንያ: ፈረንሳይ:ስፐይን: ዩክሬን: ቸክ:ፋርስ","ማሕበረ ኮማዊ ጀርዲን:ኮርሳት: ባህላዊ ንጥፈታት","0",,,,,,,,,,,
"28","LAG politisch-kulturelle Bildung Sachsen e. V.","Schützengasse 18","01067","Dresden",,"0174-8032276",0.00,"kontakt@pokubi-sachsen.de","www.pokubi-sachsen.de","0","Kerstin Knye","Kerstin Knye","ቋንቋታት ኢንግሊዝ: ጀርመን (ሩስያ: :ስፐይን: ፖርቱጋል ብጠለብ","ውሑስ ናይ ምሕያላት ሃዋህው: ዓሌታውነት/ ስደት","ንነዊሕ እዋን ኣብ ጉዳይ ዓሌታውነት: ስደት ሕቶ ዑቕባ ምስዳድን ክንሰርሕ ዝጸናሕና ኮይንና ብምሉእ ግዚኦም ይኹን ብውልቃዊ ተበግሶኦምነጥፉ ሞያዊ ስልጠናታት ይህብ። ኣብዚ እቲ ዝመጽእ ሕቶ ምቐዳምነት ብኸመይ ኢና ኣንጻር እዚ ዓሌታውነት ክንነቅፍ ንኽእል ዝብል እዩ።ተወሳኺ ውን ናይ ነብሰ- ምሕያል ሰሚናራት ብዓሌትነት ብኣሉታ ንዝተጸልዉ ሰባት ንህብ። ዕለት: ትሕዝቶን ቅጥዕታትን መደባት ክንሰማማዕ ንኽእል።",,,,,,,,,,,
"29","Netzwerk Asyl Migration Flucht (NAMF)","Prohliser Allee 10","0","Dresden","0","015752430666",0.00,"namf@notraces.net","www.namf.blogsport.de","0","Stefan Stein","0","0","ተወሳኺ ስልጠናታት:ስጉምታት: ፖለቲካዊ ተጣባቕነት: ምትእስሳራት","ፖለቲካዊ ተበግሶታት ንመሰል ተፈናቐልትን ስደተኛታትን ከምኡ ውን ኣንጻር ዓሌታዊ ኣድልዎ። ዝኾኑ ውልቀሰባት ይኹኑ ጥርኑፋት ጉጅለታት ሓበሬታ ክለዋወጡሉ ዝኽእሉ ኢ-ሜይል ሊስታ(መዝገብ) ኣዳልዩ ኣሎ። ናብ mail to namf@notraces.net. ሜይል ምግባር ይከኣል።",,,,,,,,,,,
"30","KAMA Dresden e.V.","0","0","Dresden","ናይ ተሳተፍቲ ኣኼባ፣ ኣብታ ወርሒ ዘላ ቀዳመይቲ ረቡዕ በቢ ኣብ Literaturhaus Villa Augustin (Antonstr 1); ኣብታ ወርሒ ዘላ ሳልሳይቲ ሓሙስ ኣብ AZ Conni, jeweils 19:00 ሰዓት; ኣና ቆጸራ ብምሓዝ","",0.00,"kama-dresden@riseup.net","www.kama-dresden.org","https://www.facebook.com/kamadresden?fref=ts","Carmen Burkel","0","ቋንቋታት ኢንግሊዝ: ጀርመን (ዓረብ: ትግርኛ ብጠለብ)","ኮርሳት ብስደተኛታትን ሓተቲ ዑቕባን ንነበርቲ ድረስደን:ሓባራዊ ናይ ትምህርትን ናይ ባህልን መደባት: ንናይ ልውውጥ ባይታ ምፍጣር።","ንሕና ከም ከማ ድረስደን ( KAMA Dresden e.V)  ንነብስና ናይ ዝተፈላለዩ ባህልታትን ትምህርታትዊ ፕሮግራማትን መለዋወቲ ባይታ ንርእያ። በዚ መሰረት ስደተኛታትን: ሓተቲ ዑቕባን ዕቑባትን ዝወሃብ ኮርሳት ይቐርብ። እቶም መራሕቲ መደብ ንዝዳሎ መደባት ይውድቡ: ክለብ ከኣ ንዝድለ ፋይናንሳዊ ቀረባት የማልእ። ቀንዲ ኣተኩሮታትና ብዙሓት ኮይኖም: ኣብ ትምህርቲ ምኽሻን: ናይ ቋንቋ ኮርሳት: ናይ ኢደ-ጥበብ ኮርሳት: ናይ ክትዕ ጉጅለታት ወዘተ እዩ። ዝካየድ ንጥፈታት ኣብ ዝርከብ ሓገዝ ዝምርኮስ እዩ። ዛጊት ኣብ መንጎ ሰራሕተኛታት ናይ ማሕበራታት መራሕቲ ናይ ስልጠና መደባትን ተሳተፍትአ ኣብ ምፍጣር ይሰርሕ ኣሎ።",,,,,,,,,,,
"31","Ausländerbeirat","0","0","0","0","0",0.00,"0","0","0","0","0","0","0","0",,,,,,,,,,,
"32","Welcome Center TU Dresden ","Nürnberger Str. 31a","01187","Dresden","ሰሉስ, ረቡዕ, ሓሙስ 10:00-24:00 ሰዓት, ሓሙስ 13:00-15:00 ሰዓት እና ቆጸራ ብምሓዝ","49-351-463 34009",,"welcome.center@tu-dresden.de","http://tu-dresden.de/internationales/welcomecenter/startseite/welcome_center","http://www.facebook.com/welcomecenter.DDc","0","0","0","0","0",,,,,,,,,,,
"33","medinetz","0","0","0","0","0",0.00,"0","0","0","0","0","0","0","0",,,,,,,,,,,
