"Nr","name","street","zip","city","openingHours","phone","fax","mail","web","facebook","speakerPrivate","speakerPublic","spokenLanguages","tags","description","F17","F18","F19","F20","F21","F22","F23","F24","F25","F26","F27"
"10","RAA Sachsen Opferberatung - Unterstützung für Betroffene rechtsmotivierter und rassistischer Gewalt","Bautzner Str. 45 ","01099","Dresden","اپوائنٹمنٹ کے ذریعہ: Mo - Fri, 9.00 am - 6 pm","(0351) 88 9 41 74
(0172) 9 74 12 68",,"opferberatung.dresden@raa-sachsen.de","http://raa-sachsen.de/index.php/dresden.html","0","0","0","جرمن, انگریزی","'انفرادی، کے رازدارانہ، کثیر لسانی اور مفت مشاورت اور معاونت راکسٹاک تشدد، ان کے رشتہ داروں، دوستوں اور گواہوں کے حملے کا نشانہ بننے والوں کے لیے'",,,,,,,,,,,,
"11","Willkommen in Hochland","Wachwitzer Höhenweg 10","01328","Dresden","درخواست پر","0",0.00,"ah1944@web.de","0","0","Michael Bockting, 
Andrea Schomberg, 
Ralf Wilhelm,
Herbert Effinger, 
Gebhard Ruess","0","جرمن, انگریزی","جرمن کورس، مانٹرانگ، عطیات، تعلقات عامہ، مکالمے، تفریحی سہولتوں کا مجموعہ","' اس ادارے کی نیت کے پناہ گزینوں اور پناہ کے متلاشیوں ڈریسڈن اور سرحد کے ساتھ واقعہ علاقوں میں رہنے والے کے حالات کی بہتری ہے ۔ ہم امداد اور تعاون پیش ڈریسڈن میں آمد اور نیا رہائشیوں کے انضمام کے لئے ۔ ہم کوونکالاشن، دیکھ بھال/مدد، روزگار کے مواقع، بین الثقافتی کی ترقی اور دیگر واقعات پیش کرتے ہیں.'",,,,,,,,,,,
"12","SPIKE Dresden","Karl-Laux-Str. 5","01219","Dresden","Monday: 9am - 12 (noon), Tuesday: 9am - 12 (noon) uand 1pm - 5:30pm","0351/ 281 80 84",0.00,"kontakt@spikedresden.de","www.spikedresden.de","www.facebook.com/SPIKEdresden","Ellen Demnitz-Schmidt","Ellen Demnitz-Schmidt, Frank Meißner","جرمن, انگریزی","روز مرہ کی زندگی کے ساتھ، تفریحی سہولتوں، جرمن، رابطہ رہائشیوں اور رضاکارانہ مددگار، گھومنے پھرنے، عطیات، کے مجموعہ کو سیکھنے میں مدد رہنمائی","ہم لیوبناٹز-نیووسٹرا اور شہر کے دیگر علاقوں میں پناہ کے متلاشیوں کے لیے مدد/معاونت کا انتظام کرتے ہیں ۔ ہم الگ الگ ملاقاتوں، تفریح، سماجی لگن، کاوشوں کی مختلف پارپوسالس/قربانیوں، حمایت اور نیٹ ورکنگ کے لئے ایک دوستانہ اور کھلی جگہ پیش کرتے ہیں ۔ ہمارے کمرے بھی بعد کھلنے کا وقت (مورینگس) وسط مثلا خصوصی اعمال کے لیے استعمال کیا جا سکتا ہے ۔ ہر اتوار اور بدھ کے روز داداکتٹید 16.00-20.00 (4-8 بجے) اور انٹریسٹید لوگوں سے ہیں مدعو دنیاء/قائم رابطہ، پناہ کے متلاشیوں کو پورا کرنے اور مشترکہ سرگرمیوں کی منصوبہ بندی کو پورا کرنے کے لئے ۔",,,,,,,,,,,
"13","AWO Sonnenstein gGmbH, Migrationsberatung für Erwachsene","Prohliser Allee 10","01239","Dresden","Mon 9am - 12 (noon), Tue 9am - 12 (noon) and 1pm - 5:30pm","0",0.00,"0","0","0","0","0",,,,,,,,,,,,,,
"14","AWO Sonnenstein gGmbH, Asylberatung","Prohliser Allee 10","01239","Dresden","Tue 1pm - 5pm, Fri 9am - 12 (noon)","0351-26068027",0.00,"asyl@awo-sonnenstein.de","0","0","0","0",,,,,,,,,,,,,,
"15","ZMO-Jugend e.V.","Kipsdorfer Str. 100","01277","Dresden",,"0351 / 28 99 276",0.00,"zmo-jugend@web.de","www.zmo-jugend.de","Facebook.de/ZMO.Jugend.Dresden","Valentina Ohngemach,               Wladimir Tschurikow                ","Valentina Ohngemach,            Wladimir Tschurikow","جرمن, روسی","مشاورت، مکالمے اور ساتھی فراہم کرتا ہے, تعلیمی, مفت وقت اور پراٹیکاپیٹااون فراہم کرتا ہے، کھیلوں اور موسیقی کے پروگرام، بین الثقافتی کا میاب","ایک ' بین الثقافتی ملاقات کی جگہ نوجوانوں کے لیے' adresses کا اووور کی پیشکش بچوں اور نوعمر بچوں کے علاوہ ماں باپ کے ساتھ اور ایک بےقیام پس منظر کے بغیر ہے ۔ ہم ضروریات اور مفادات ہمارے زائرین اور ارکان کے مطابق کرتے ہیں ۔ پناہ گزینوں کی تعداد میں اضافے کے بعد سے، ہماری آفر اس ٹارگٹ گروپ کی طرف سے خاص طور پر درخواست ہے ۔ ہم پیشہ ورانہ خدمات اور منتقلی کے میدان میں اداروں کے ساتھ نیٹ ورکنگ ہیں ۔",,,,,,,,,,,
"16","Johannstädter Kulturtreff e.V.","Elisenstraße 35","01307","Dresden","Mon - Thu 9am - 9 pm, Fri 9am - 5pm","0351 4472823",0.00,"kontakt@johannstaedterkulturtreff.de","www.johannstaedterkulturtreff.de","https://www.facebook.com/pages/Johannst%C3%A4dter-Kulturtreff-eV/168294379862523?ref=tn_tnmn","Matthes Blank","0","جرمن, انگریزی","مفت وقت سرگرمیوں، فنون لطیفہ اور ثقافت پروگراموں، سپورٹس پروگرام، بین الثقافتی مشاہدات","' ہمارے کمروں اور فن اٹیلارس میں ہمیں جگہ پیشکش اسباق اور سرگرمیوں اور منصوبوں - لئے ہیں بہت سے امکانات انکولڈانگ باورچی خانے سے متعلق، کھیلوں، میل جول، فنون لطیفہ اور ثقافت.'",,,,,,,,,,,
"17","Verein Pro Pieschen e.V.","Arno-Lade-Straße 9","01129","Dresden",,"01778584201",0.00,"info@propieschen.de","www.propieschen.de","https://www.facebook.com/propieschen?ref=hl","Heidi Geiler","0",,"دیکھیۓ، شہر ضلع نیٹ ورک کے بارے میں معلومات",,,,,,,,,,,,
"18","Pieschen für alle","0","0","Dresden",,"0",0.00,"info@pieschen-fuer-alle.de","www.pieschen-fuer-alle.de","https://www.facebook.com/propieschen?ref=hl","Anja Osiander","Heidi Geiler",,,,,,,,,,,,,,
"19","Bündnis Buntes Meißen","0","01662","Meißen",,"0",0.00,"info@buntes-meissen.de","www.buntes-meissen.de","https://www.facebook.com/pages/Buntes-Meißen/","Andreas Bärisch/Kathleen Nagler","0",,"فارغ وقت سرگرمیوں، سپونسرشپس، جرمن زبان کے کورس",,,,,,,,,,,,
"20","MEDEA Frauen-und Mädchengesundtheitszentrum e.V.","Prießnitzstr.55","01099","Dresden","Tue - Thu 2pm - 5 pm, Thu 10am - 12 (noon), by appointment","0351-8495679; 015750979006",0.00,"medea-m-gupte@dmx.de","www.medea-dresden.de","0","Anke Müller-Gupte","0","اگر ضرورت ہو تو جرمن، انگریزی، مترجم سروس","صحت کی مشاورت، کھلے اجلاس","' صحت کی مشاورت (نفسیات، غذائیت، کی روک تھام، حمل، متبادل ادویات،...) کے طور پر ساتھ ساتھ خواتین کے لئے کھلے اجلاس: عورت کا جمعرات صبح دس بجے - 12 (تعطیلات/چھٹیوں)، پر نہیں ناشتا خج مارچ شروع گورباٹز، جمعرات 4 6 دوپہر، میں بچوں اور عورتوں کے لئے ایک اجلاس: بدھ 4-6 دوپہر '",,,,,,,,,,,
"21","AG Asylsuchende [GRH]","0","0","Großenhain",,"0",0.00,"ag_asylsuchende_grh@riseup.net","0","0","0","0","جرمن, انگریزی","مفت وقت کے ساتھ پناہ کے متلاشیوں، پرستی تعلیمی سرگرمیاں کام (بلاگ دیکھیں)",,,,,,,,,,,,
"22","Ausländerrat Dresden e.V.","Heinrich-Zille-Straße 6 ","01219","Dresden","مشاورت کی آفس: بدھ، جمعہ کو پیر کے روز
10 a.m. to 4 p.m.","0",0.00,"info@auslaenderrat.de","www.auslaenderrat-dresden.de","www.facebook.com/Auslaenderrat.Dresden","Markus Degenkolb","0","جرمن, انگریزی, روسی, عربی","مشاورت، تعلیمی سپونسرشپس، میٹنگز (برائے خواتین، باپ دادا، نوجوانوں،...)، کھیلوں کے فروغ، تعلیمی کام کھولیں ۔",,,,,,,,,,,,
"23","Prohlis ist bunt","Prohliser Allee 33","01239","Dresden","Monday 10 am to 1 pm, Tuesday 1 pm to 5 pm, Thursday 11 am to 3 pm","0351-27 272 16",0.00,"prohlis-ist-bunt@web.de; info@qm-prohlis.de","www.quartiersmanagement-prohlis.de","0","Veronika Gottmann","Veronika Gottmann","جرمن, انگریزی","پروہلاس، جرمن کورس/مباحث (؟)، تفریحی سہولتوں، رہنمائی، مکالمے، طیار کی تخلیق کے لئے ملاقاتوں میں مقامی نیٹ ورک","نیٹ ورک 'پروہلاس یکم bunt' ('پروہلاس ہے رنگین') ایک یونین کلب، اداروں، شہر ضلع بیورو، سہ ماہی کا انتظام، چرچ ایسوسی ایشن اور جماعتوں کی پروہلاس میں ہے اور اس علاقے میں استقبال ماحول تخلیق کرنے کا مقصد ہے ۔ اہم کاموں میں نیٹ ورکنگ اور منصوبے کی سرگرمیوں ہیں. موسم بہار 2014 کے بعد سے نیٹ ورک موجود ہے ۔",,,,,,,,,,,
"24","Leuben ist bunt","Rottwerndorfer Str. 1","01257","Dresden","Monday 3 to 6 pm, Wednesday 3 to 6 pm, Thursday 9:30 am - 12 am, Friday 10 am to 1 pm","0351-2728489",0.00,"leuben@vsp-dresden.de","www.vsp-dresden.org","0","Andreas Ermer","Katrin Baumgart","جرمن, انگریزی","مقامی نیٹ ورک، جرمن زبان اسباق، کفالت، کھیلوں کی پیشکش، ملاقاتیں، تہوار","ہمارے نیٹ ورک 'لیوبان یکم bunt' ('لیوبان ہے رنگین') کے شہر ضلع بیورو، چرچ کے نمائندوں پر مشتمل ہے اور نوجوان امداد کے دفتر میں لیوبان ۔",,,,,,,,,,,
"25","Saxonia Systems AG","Fritz Förster Platz 2","01069","Dresden","Monday to Friday, 10 am to 4 pm","0351-47901670",0.00,"tina.gruhl@saxsys.de","0","0","Tina Gruhl","Tina Gruhl","جرمن, انگریزی","نیٹ ورک اور آگے بڑھانا، دیگر اداروں، زبان اسباق، اسے مزید تعلیم (کے ذریعے آربیٹسگانٹور ڈرسڈین)، موبائل اپلیکیشن کے ساتھ رابطہ","جو معاشرے میں قائم کی گئی ہے ایک انٹرپرائز کے طور پر ہم ہماری ممکنہ حصے کا کام کرنے کے لیے اور ذمہ داری پر لینے کے لئے چاہوں گا. ہم نے قریب سیکسن ریفیوجی کونسل اور روزگار کے وفاقی ادارے کے ساتھ کام کرتے ہیں ۔ اسی لیے ہم کسی ایسوسی ایشن کے کھلے سرگرمیوں کے ساتھ نہیں ہیں لیکن ہم اپنے نیٹ ورک کے ذریعے ہماری حمایت کی پیشکش کی پسند ہے ۔",,,,,,,,,,,
"26","Netzwerk ""Gorbitz International""","Leutewitzer Ring 35 ","01169","Dresden","Consultation-hour Asylum in QM Gorbitz, wednesday 10am - 12pm; appointments for NW Gorbitz International on request; ","0351-3225728",0.00,"kontakt@qm-gorbitz.de","www.qm-gorbitz.de","0","Wolfgang Mueller, Ulrich Krause","0","جرمن, انگریزی","نیٹ ورکنگ، ثالثی کے شہر ضلع میں پیش کرتا ہے ۔ ملاقاتوں کے بارے میں گورباٹز بین الاقوامی قم کی دکان میں ۔ پڑوس-نیوز لیٹر ویسٹہانگپوسٹ (ہر 3 ماہ) ۔ پڑوس کے میلے 'ویسٹہانگفیسٹ'","نیٹ ورک ' گورباٹز انٹرنیشنل کی خواتین اور مرد سے گورباٹز اور گردونواح سے مختلف سہولیات، کلیساؤن، جماعتوں اور تنظیموں کے نمائندوں پر مشتمل ایک اتحاد ہے ۔ مشترکہ مقصد کے پڑوس میں اچھے تعلقات کے لیے کھڑے ہو جاؤ اور مختلف ممالک کے لوگوں کے لئے ایک کھلی اور استقبال اٹموشپہیری برقرار رکھنے کے لئے ہے ۔ اس نیٹ ورک کے اندر سبگرایپس اور ایک کمیونٹی کیفے، ایک کام گروپ تنظیم اور تعلقات عامہ کام، کمیونٹی باغ، جیسے منصوبے موجود ہیں اور وغیرہ ۔",,,,,,,,,,,
"27","Internationale Gärten Dresden e. V.","Pfotenhauerstraße 103","01307","Dresden","مسلسل، مہینہ کے پہلے بدھ کے روز ملاقاتیں ہیں","0151-53907002",0.00,"info@gaerten-ohne-grenzen.org","www.gaerten-ohne-grenzen.org","0","Manpreet Singh, Mohammad Al Masalme, Mattes Hoffmann","0","جرمن، عربی، روسی، کردی، پنجابی، چینی، جاپانی، البانوی، انگریزی، فرانسیسی، ہسپانوی، یوکرائن، چیک، فارسی","کمیونل باغ، اسباق، ثقافتی تقریبات",,,,,,,,,,,,
"28","LAG politisch-kulturelle Bildung Sachsen e. V.","Schützengasse 18","01067","Dresden",,"0174-8032276",0.00,"kontakt@pokubi-sachsen.de","www.pokubi-sachsen.de","0","Kerstin Knye","Kerstin Knye","جرمن، انگریزی، (روس، یوکرائن، ہسپانوی، پرتگالی آگے بڑھانے کے بعد)",,"' کئی سالوں کے لئے ہم موضوعات نسل پرستی، نقل مکانی، پرواز، پناہ کے ساتھ معاملہ کیا گیا ہے اور مزید تعلیم ورکرز اور رضاکاروں کے لئے پیش کرتے ہیں ۔ سوال ممکنہ طور پر نسل پرستی کے طور پر آگاہ عمل کرنا چاہیے اور کس طرح اسے تنقید کا اصل موضوع ہے ۔  ہم لوگوں کے لیے جو عصبیت کی طرف سے بھی متاثّر ہوئے بااختیار مدارس پیشکش ہے. تعین ملاقات، فہرست مشمولات اور مخصوص ضروریات کی درخواست کی ہو سکتے ہیں ۔  '",,,,,,,,,,,
"29","Netzwerk Asyl Migration Flucht (NAMF)","Prohliser Allee 10","0","Dresden",,"015752430666",0.00,"namf@notraces.net","www.namf.blogsport.de","0","Stefan Stein","0",,"مزيد من التعليم والمشاريع والضغط السياسيالتعارف الخ","نسل پرستی کے خلاف اور اس کے مطلوبہ مفرور افراد اور تارکین وطن کے حقوق کے لیے سیاسی سرگرمی ہے ۔ ہم جس کے ساتھ افراد اور گروپوں معلومات کا اشتراک کر کے خود کو منظم کرنے کے پاس ڈاک فہرست ہوتی ہے ۔ فہرست میں شامل ہونے کے لئے: namf@notraces.net کے لئے ای میل",,,,,,,,,,,
"30","KAMA Dresden e.V.","0","0","Dresden","سب سے پہلے بدھ کے روز لاٹرارحوس ولا اوگسٹان (انٹونی انسٹر 1)؛ مہینے کی پر کلی سیشن مہینہ ہر 19:00 AZ کوننا، میں کے تیسرے جمعرات کو ۔   انتظام کی طرف سے","",0.00,"kama-dresden@riseup.net","www.kama-dresden.org","https://www.facebook.com/kamadresden?fref=ts","Carmen Burkel","0","جرمن، انگریزی، فرانسیسی، پرتگالی (عربی، آگے بڑھانے کے بعد ٹاگرانیا)","کورس اسیلمسیکرس، تارکین وطن اور ڈریسڈن کے شہریوں کے لیے سیاسی پناہ کے حقدار افراد کی طرف سے فراہم کرتا ہے. تعلیمی اور ثقافتی پیش کرتا ہے، اکسچینج کے لئے پلیٹ فارم",,,,,,,,,,,,
"31","Ausländerbeirat","0","0","Dresden",,"0",0.00,"0","http://www.dresden.de/de/02/030/c_04.php","0","0","0",,,,,,,,,,,,,,
"32","Welcome Center TU Dresden ","Nürnberger Str. 31a","01187","Dresden","Dienstag, Mittwoch, Donnerstag,10h - 12h & Mittwoch 13h-15h und nach Vereinbarung","49-351-463 34009",,"welcome.center@tu-dresden.de","http://tu-dresden.de/internationales/welcomecenter/startseite/welcome_center","http://www.facebook.com/welcomecenter.DDc","0","0",,,,,,,,,,,,,,
"33","medinetz","Heinrich-Zille-Straße 6 ","01219","Dresden",,"0177-1736781",0.00,"0","http://www.semaz.monoceres.uberspace.de/medinetz/","0","0","0",,,,,,,,,,,,,,
"34","Sächsischer Flüchtlingsrat","Dammweg 5","01097","Dresden",,"0351/30990102, 0351/87451710",,"info@saechsischer-fluechtlingsrat.de","http://saechsischer-fluechtlingsrat.de/","https://www.facebook.com/pages/S%C3%A4chsischer-Fl%C3%BCchtlingsrat-eV/204490826370915?fref=ts","Ali Moradi, Patrick Irmer","0","جرمن، انگلش، عربی، فارسی، روسی، فرانسیسی، اطالوی","مشاورت، تعلیم، تعلیمی کام، پناہ طریقہ کار، سماجی معاونت کے لیے مشاورت کے لیے رہنمائی",,,,,,,,,,,,
"35","traumaberatung","Fetscherstraße 74","01307","Dresden",,"0351-458-17094",,"0","http://www.psychosomatik-ukd.de/","0","0","Prof. Dr. med. habil. Kerstin Weidner ",,,,,,,,,,,,,,
"36","gemeindedolmetscherdienst","0","0","Dresden",,"0",0.00,"0","0","0","0","0",,,,,,,,,,,,,,
"37","Regionalkoordination Flüchtlingssozialarbeit Cotta","0","0","Dresden",,"0",0.00,"0","0","0","0","0",,,,,,,,,,,,,,
"38","Regionalkoordination Flüchtlingssozialarbeit Prohlis/Leuben","Lohrmannstr.20","01237","Dresden","Thursday 1pm - 4pm","Prohlis: 0157 38524468 u.Leuben 0152 54918797",0.00,"asyl@caritas-dresden.de","","0","Herr Dietze , Herr Fried","0","عربی, روسی, انگریزی","' سماجی اور پروہلاس اور لیوبان (دیکانٹرالاید رہائش)؛ میں پناہ کے متلاشیوں کے لیے مدد پروہلاس اور لیوبان کام رضاکارانہ طور پر، میں پناہ کے متلاشیوں کے لیے مشاورتی خدمات کی کوآرڈینیشن '","پروہلاس اور لیوبان، رضاکارانہ کام میں پناہ کے متلاشیوں کے لیے پیشکش کی کوآرڈینیشن",,,,,,,,,,,
"39","Regionalkoordination Flüchtlingssozialarbeit Altstadt/Pauen","0","0","Dresden",,"0",0.00,"0","0","0","0","0","0",,,,,,,,,,,,,
"40","Regionalkoordination Neustadt/Klotzsche/Pieschen","0","0","Dresden",,"0",0.00,"0","0","0","0","0","0",,,,,,,,,,,,,
"41","Regionalkoordination Blawitz/Schönfld-Weißig/Loschwitz","0","0","Dresden",,"0",0.00,"0","0","0","0","0","0",,,,,,,,,,,,,
"42","Dresdner Verein für soziale Integration von Ausländern und Aussiedlern e.V.","Lingneralle 3","01069","Dresden","Mo-Do 09.00 - 17.00, freitags 09.00 - 13.00 Uhr","0351 4843803",,"viaa.dd@t-online.de","www.convectus.de","0","Dr. Ingrid Blankenburg","0","0","مشاورت کی حمایت ترجمہ خدمات، اور عورتوں کے لئے پناہ کے متلاشیوں، جرمن کورس، کورسز کے لیے سمت بندی امداد","see webpage",,,,,,,,,,,
"43","Jugendmigrationsdienst","Schweriner Str.27","01067","Dresden","Montag nach Termin u. Donnerstag 13.00h.-17.30h","0351 4984746 /745/ 742",,"jmd@caritas-dresden.de","www.caritas-dresden.de","0","0","0","0","نوجوان تارکین وطن کے لیے مشاورت 27 سال تک زبان حصول، تعلیم، اپرنٹس شپس، تعلیم اور کیریئر کے لئے","جمد نوجوان تارکین وطن کے لئے ایک مشورہ کرنے مرکز 27 سال بڑھ رہی ہے ۔ توجہ علاقوں میں تعلیم، زبان، تعلیم اور کیریئر کے معاملات میں مشورہ دے رہے ہیں ۔ اس کے علاوہ بچوں کے تحفظ کے ایک ماہر دستیاب ہے (فوجداری کوڈ §8a ۸)",,,,,,,,,,,
"44","International Café im Artderkultur e.V.","Görlitzer Str. 42","01099","Dresden","Freitag 14.00-19.00 Uhr","0172-3434059 (Pune)
0163-1628201 (Fabiane)",0.00,"0","0","0","0","0","0",,,,,,,,,,,,,
