"ID";"name";"category";"arrival";"openinghours";"description"
28;"Anna Linde Gemeinschaftsgarten حديقة الجماعة آنا ليند";"حدائق";"الترام 3, 14, حافلة 74 → Felsenkeller";"Fri.16–19h Sat.14–19h";
29;"Nachbarschaftsgärten حدائق الحي";"حدائق";"الترام 3, 14, حافلة 74 → Felsenkeller";"Fr 14–19h  لعروض معينة يوجد مواعيد محددة للراغبينبنشاطات في الحديـقة و الزيارة كمجموعة من خلال التواصل عل";
30;"Botanischer Garten der Universität Leipzig حديقة نباتات جامعة لايبزغ";"حدائق";"الترام 12, 15, حافلة 60 → Ostplatz";"Mon.–Fri. 10–16h";"الدخول مجاني إلا لعروض خاصةالدخول مجاني إلا لعروض خاصة"
31;"Querbeet";"حدائق";"الترام 1, 3, 8 → Einertstraße";"Tue. 9.30–14h, 16–19h Thu. 16–19h Sat. from 10h";
32;"Bäckerei";"أماكن محميـة";"الترام 8, 15 → Lützner-/ Merseburger Str.";"1.Mon .of the month: food offered to women, lesbians, inter-and transsexuals on donation. Wed. 15–18h: café for and with refugee women Wed. 20H: joseph_ine: queerfeminist evening
";
33;"Frauen für Frauen e.V. Leipzig نساء للنساء لايبزغ";"أماكن محميـة";"الترام 10, 11 → Südplatz";"1. and 3. Wed. of the month 13–17h";"(مركز إستشارة للنساء (المواعيد بعد الاتصال الهاتفي"
34;"Soziokulturelles Zentrum Frauenkultur المركـز الاجتـماعي الثقـافي للنساء";"أماكن محميـة";"الترام 9, 10, 11, حافلة 70, 89, 107 → Connewitzer Kreuz";;"مركز اجتماعي لدعم النساء اللواتي يشتغلن في المجـال الفنّي، مكان للتواصل الاجتماعي و الاندماج و خصوصاً للنساء"
35;"RosaLinde e.V.";"أماكن محميـة";"الترام 4, 7 → Gerichtsweg";"counseling hours; advance announcements welcome Mon.14–18h and Tue.12–18h Wed.12–13h: by appointment only Tue.–Sat. 19–22h: café";"(مركز معلومات و نصائح للسحاقيات و المثليي الجنس و المتحولين الجنسيين (أفضلية التسجيل المسبق"
36;"Internationale Frauen Leipzig e.V. نساء دوليـات لايبزغ";"أماكن محميـة";"الترام 3, 8 → Torgauer Platz";"Mon. 13–15h  and Wed., Fri. 9–18h: consulting";
37;"womens*space (109) (فضاء النساء (١٠٩";"أماكن محميـة";"الترام 1, 3, 8, حافلة 70 → H.–Liebmann– / Eisenbahnstr.";"Sun. 15.30h";"أماكـن محميـة للنساء للحديث والضحك والقضاء بعض الوقت معا. يرحبون الأطفال أيضا"
38;"Radsfatz Fahrradselbsthilfe الورشة الذاتية لتصليح الدراجات";"أماكن محميـة";"الترام 3, 8 → Torgauer Platz";"1., 3., 5. Wed. Of the month 15–19h";"ورشة الدراجات لنساء"
39;"G16";"اتصالات و انترنت";"الترام 14 → Gießerstraße";"Mon., Thu. 15–20h: infoshop";"مكتب معلومات و انترنت مجاني"
40;"Die VILLA الفيلا - مركز اجتماعي ثقافي";"اتصالات و انترنت";"الترام 3, 4, 7, 15 → Leibnizstr. / الترام 1, 14 → Gottschedstr.";"Mon.–Fri.14–19h";"استعمال مجاني للكمبيوتر"
41;"Libelle";"اتصالات و انترنت";"الترام 1, 2, 8, 14 → Westplatz";"Thu.15–18h";"استعمال الكمبيوتر"
42;"B12";"اتصالات و انترنت";"الترام 10, 11 → Südplatz";;"استعمال مجاني للكمبيوتر"
43;"Conne Island";"اتصالات و انترنت";"الترام 9 → Koburger Brücke";"Tue.–Thu.17–20h";"كمبيوتر و مكتب معلومات"
44;"LinXXnet";"اتصالات و انترنت";"الترام 9, 10, 11, حافلة 70, 89, 107 → Connewitzer Kreuz";"Mon.–Fri.10–18.30h";
45;"109";"اتصالات و انترنت";"الترام 3, 8 → Torgauer Platz";"Thu.11–15h";"انترنت، طباعة، تصوير و سكانر"
46;"Wagenplatz RhizomiA";"اتصالات و انترنت";"الترام 3, 8 → Torgauer Platz";"Sun. 14H";"مكتب عام"
47;"Caritasladen und Möbeldienst كاريتاس وخدمة الأثاث";"ملابس و احتياجات";"الترام 8, 15 → Grünauer Allee";"Mon.12–17h  and Tue.–Fri.10–17h";"الأدوات المدرسية والأثاث وملابس وألعاب الأطفال"
48;"Seniorenhaus Selbsthilfe Plagwitz e.V. دار لكبار السن و المساعدة الذاتية بلاكفيتس";"ملابس و احتياجات";"الترام 3, 14, حافلة 74 → Felsenkeller";"Wed., Fri.10–17h";"ملابس و احتياجات المنزل"
49;"Advent Wohlfahrtswerk e.V.";"ملابس و احتياجات";"الترام 14 → Nonnenstr.";"1.u.3. Wed. of the month 13–17h";"ملابس، مجاني: كل الأشياء للأطفال"
50;"DRK Kleiderkammer غرفة الملابس";"ملابس و احتياجات";"الترام 3, 14, حافلة 74 → Felsenkeller";"Mon., Tue ., Thu.10–12h Wed.13–17h Fri.10–12h

";"ملابس وأثاث"
51;"Diakonie Passgenau";"ملابس و احتياجات";"الترام 10, 11 → Dantestraße";"Tue.–Fri.11–18h";"ملابس، ألعاب الأطفال واحتياجات المنزل"
52;"Diakonie Leipziger Oase";"ملابس و احتياجات";"الترام 4, 7, 12, 15, حافلة 690 → Johannisplatz";"Wed., Fri.10–14h";"ملابس، ألعاب الأطفال واحتياجات المنزل"
53;"Deutsches Rotes Kreuz Kreisverband Leipzig Stadt e.V. الصليب الأحمر الألمـاني في لايبزغ";"ملابس و احتياجات";"الترام 10, 11 → K.–Liebknecht–Str. / K.–Eisnerstr.";"Mon. 8–12h  and 13–17h";"ملابس وأثاث"
54;"Con Han Hop";;"Tram 1, 3, 8, Bus 70 → H.–Liebmann– / Eisenbahnstr.";"Fr. 15 h";
55;"N.U.R.";"ملابس و احتياجات";"الترام 1, 3, 8, حافلة 70 → H.–Liebmann– / Eisenbahnstr.";"Thu.19 h";
56;"Bürgerverein Schönefeld جمعية المواطنين شونيفيلد";"ملابس و احتياجات";"الترام 1 → Stöckelstraße";"Mon.–Thu. 9–12h 14–17h Fri. 9–12h";"ملابس الرضيع والأدوات المدرسية وكتب وأغراض"
57;"انونوما الكحوليكـا \ المدمن الخمر المجهول Anonyme Alkoholiker";"مساعدات طبية و نفسية";;;"انونوما الكحوليكـا-لقـاءات تحتـرم خصوصية الأشخاص الذين يعانون من مشاكل بسبب شرب الكحول. يوجد لقاءات في أحياء مختلفة كل يوم ماعدا يوم الأحد. جميع الأوقات والعناوين متواجدة في عنوان الإلكتروني التالي"
58;"Deutsches Rotes Kreuz Kreisverband Leipzig Stadt e.V. الصليب الأحمر الألمـاني في لايبزغ";"مساعدات طبية و نفسية";"الترام 10, 11 → K.–Liebknecht–Str. / K.–Eisnerstr.";"Mon., Thu. 9–14h Tue .14–18h Wed. 9–12h, 14–17h";"استشارة للنساء الحوامل و للشؤون العائليّة"
59;"Medinetz Leipzig";"مساعدات طبية و نفسية";"الترام 10, 11 → K.–Liebknecht–Str. / K.–Eisnerstr.";"Tue.16–18h: consultation hours";"وساطة مجانية تحترم الخصوصية مع أطباء مختلفين .هؤلاء الأطباء مستعدون لعلاج الأشخاص الذين بدون تأمين صحّي"
60;"Haus Steinstraße e.V.";"مساعدات طبية و نفسية";"الترام 10, 11 → K.–Liebknecht–Str. / K.–Eisnerstr.";;"استشارة نفسية مع موعد بعد الإتّفاق عليه"
61;"Aids Hilfe Leipzig مركز الإيدز في لايبزغ";"مساعدات طبية و نفسية";"الترام 1 → Ossietzky- / Gorkistraße";"Tue., Thu.15–21h Wed.15–18h";"استشارة لأشخاص يعـانون من الإيدز أو من أي داء آخر منقول جنسياً"
62;"Conne Island";"موسيقا";"الترام 9 → Koburger Brücke";;"حفلات موسيقة، محاضرات، قراءات و نشاطات أخرى."
63;"Müzik–Stüdyo.74";"موسيقا";"الترام 3 → Volksgarten";;"هنا تستطيع لقاء أشخاص آخريـن يعزفون أو لا يعزفون الموسيقا ويمكنكم العزف معاً. يوجد ستوديـو وأجهزة وآلات موسيقية"
64;"Salve";"استشارات حقوقية  و اجتماعية";"الترام 8, 15 → Lützner-/ Merseburger Str.";"Mon.–Fri. 9.30–17h";" جهة لتواصل وتقديم الاستشارات للمهاجرين . مساعدة في التعامل مع الدوائر الحكومية ومساعدة في عروض السكن والتعلّماستشارات للمهاجرين"
65;"Caritashaus Leipzig";"استشارات حقوقية  و اجتماعية";"الترام 1, 2, 8, 14 → Westplatz";"Mon.14–17h Fri. 9–12h";
66;"RefugeeLawClinic ريفيوجي لاو كلينيك";"استشارات حقوقية  و اجتماعية";"الترام 2, 8, 9, 10, 11, 14 → Wilhelm–Leuschner–Platz";;"الإستشارة القانونية خاصة للاجئين"
67;"Deutsches Rotes Kreuz Kreisverband Leipzig Stadt e.V. الصليب الأحمر الألمـاني في لايبزغ";"استشارات حقوقية  و اجتماعية";"الترام 10, 11 → K.–Liebknecht–Str. / K.–Eisnerstr.";"Tue .12–14h Thu. 9–11h";"استشارة الهجرة"
68;"Haus Steinstraße e.V.";"استشارات حقوقية  و اجتماعية";"الترام 9, 10, 11 → HTWK";"المواعيد بعد الاتصال";"إستشارة حقوقية"
69;"LinXXnet";"استشارات حقوقية  و اجتماعية";"الترام 9, 10, 11, حافلة 70, 89, 107 → Connewitzer Kreuz";"Wed.10–16h";"استشارة اجتماعية"
70;"2ek";"استشارات حقوقية  و اجتماعية";"Tram 4 → Breite Straße";"2. and 4.Thu. Of  the  month 16–18h";"استشارة اجتماعية"
71;"Atari";"استشارات حقوقية  و اجتماعية";"الترام 4 → Breite Straße";"Sun.15h";
72;"Bürgertreff Volkmarsdorf مكان اللقاء للمواطن فولكمارسدورف";"استشارات حقوقية  و اجتماعية";"الترام 3, 8 → Torgauer Platz";"social counseling: Mon.13–15h Wed.–Fri. 9–18h legal advice: 1. Mon. of the month 13–15h 4. Wed. of the month 16–18h";"استشارة بين الثقافات في العديد من اللغات مثلا العربية، الكردية، الإسبانية، التركية، الألمانية، الرومانية، الروسية"
73;"Infobus اينفو باص";"استشارات حقوقية  و اجتماعية";"الترام 3 → Arcus Park.";"Wed.17h";"استشارة في مجال الحقوقي"
74;"Islamic Al–Sahra Center e.V. مركز الصحرا الإسلامي";"أماكن دينية  و روحية";"الترام 3, 7, 8, 15, حافلة 74, 130  → Angerbrücke";"Friday prayer: 14h summertime 13h wintertime
";
75;"Synagoge und Begegnungszentrum Leipzig e.V. كنيس يهودي ومركز اجتماعي في لايبزغ";"أماكن دينية  و روحية";"الترام 4, 7, 12, 15, حافلة 69 → Johannisplatz";;
76;"Evangelisch–Lutherische St. Trinitatis–Gemeinde Leipzig رعية القديس ترينيتاتيس اللوثرية البروتستانتية في لايبزغ";"أماكن دينية  و روحية";"الترام 2, 8, 9, 10, 11, 14 → Wilhelm–Leuschner–Platz";;
77;"Leipzig English Church الكنيسة الإنكليزية في لايبزغ";"أماكن دينية  و روحية";"الترام 10, 11, حافلة 60, 74 → K.–Liebknecht- / K.–Eisner–Str.";"Sun.10.30h and 18.30h";"البيت الرعوي لكنيسة القديس أندرياس"
78;"Russische Gedächniskirche كنيسة الذكرى الروسية";"أماكن دينية  و روحية";"الترام 2, 16, حافلة 74 → Deutsche Nationalbibliothek";"Sun.10h";
79;"Ukranian Greek Catholic Church الكنيسة اليونانية الاوكرانية للروم الكاثوليك";"أماكن دينية  و روحية";"الترام 4, حافلة 70, S–Bahn 1, 3 → Ribeck– / Stötteritzerstr.";"Sun.14h";"الكنيسة اليونانية الاوكرانية للروم الكاثوليك"
80;"Evangelische Koreanische Gemeinde in Leipzig الرعية الكورية الإنجيلية في لايبزغ";"أماكن دينية  و روحية";"الترام 1, 3, 8 → Einertstraße";"Sun.11h";
81;"Leipziger Zentrum für islamische Kultur und Forschung e.V. مركز لايبزغ للثقافة الإسلامية و الأبحاث";"أماكن دينية  و روحية";"الترام 1, 3, 8 → Einertstraße";"Friday prayer in Turkish 14h summertime, 13h wintertime";"مسجد التقوى"
82;"Ahmadiyya Muslim Gemeinde مركز لايبزغ للثقافة الإسلامية و الأبحاث";"أماكن دينية  و روحية";"الترام 1, 3, 8, حافلة 70 → H.–Liebmann– / Eisenbahnstr.";"Friday prayer: 14h summertime 13h wintertime";
83;"Vietnamesisch–Buddhistische Gemeinde Leipzig e.V. الرعية البوذية الفيتنامية في لايبزغ";"أماكن دينية  و روحية";"الترام 3 → Bautznerstr.";"Sun.10–16h";
84;"Gurdwara Gurmat Parchar e.V.";"أماكن دينية  و روحية";"الترام 7, 8, حافلة 90 → Barbarastr.";"8–20h: daily";
85;"Salve";;"Tram 8, 15 → Lützner-/ Merseburger Str.";;"(Vermittlung von ÜbersetzterInnen)"
86;"Salve";"اللغات";"الترام 8, 15 → Lützner-/ Merseburger Str.";"Mon., Wed.10.30–12h: beginners Tue., Thu.13.30–15h: advanced";
87;"Die VILLA الفيلا - مركز اجتماعي ثقافي";"اللغات";"الترام 3, 4, 7, 15 → Leibnizstr. oder الترام 1, 14 → Gottschedstr.";"Tue. 20 h: Soirée Polyglotte";"لقاء مسائـي ومفتوح بمختلف اللغات. يتوافر على كل طاولة لغة مختلفة.
"
88;"Caritashaus Leipzig";"اللغات";"الترام 1, 2, 8, 14 → Westplatz";"Tue.13.30–15h: advanced       Thu. 13.30–15h: conversation";
89;"Uni Leipzig Sprachtandem تاندم (تبادل) اللغة نظمت من قبل جامعة لايبزيغ";"اللغات";"الترام 4, 7, 8, 10, 11, 12, 14, 15,  → Augustusplatz";"office hours: Mon.14–16h and Thu. 9–11h";" لكل شخص يبحث عن شريك (تاندم بارتنر) لتعلّم اللغة الألمانية ( للتسجيل على الموقع الالكتروني:"
90;"Flüchtlingsrat e.V. مجلس اللاجئين";"اللغات";"الترام 1, 2, 8, 14 → Westplatz";"Mon.11–12.30h Thu.15–16.30h: beginners                             Thu.13–15h: advanced";"عند الحاجة يوجد هنا أيضاً الإمكانية لحصص فرديّة مجانية"
91;"Gesellschaft für Völkerverständigung جمعية للتفاهم بين الشعوب";"اللغات";"الترام 9, 10, 11, حافلة 70, 89, 107 → Connewitzer Kreuz";"Wed.15–17h";"دورات لغة للمبتدئين بتعلم اللغة، و ذلك للبدء بممارسة اللغة في الحياة اليومية  -  ٨ يورو شهرياً لمواد التدريس "
92;"Deutsch–Russisches Zentrum Sachsen e.V. المركز الألماني الروسي ساكسونيا";"اللغات";"الترام 9, 10, 11, حافلة 70, 89, 107 → Connewitzer Kreuz";"Mon., Wed. 9–12h beginners Tue., Thu.12–15h advanced";
93;"2ek";"اللغات";"الترام 4 → Breite Straße";"Sun.14–15.30h";"دورة اللغة الألمانية"
94;"ABC–Schule مدرسة الف باء";"اللغات";"الترام 1, 3, 8 → Einertstraße";;"دورات محو أميّة للأميين أو لغير المتكلمين باللغة الألمانية، غالباً مجانية أو بأسعار رمزية ( 1€ للساعة الواحدة)"
95;"Infobus اينفو باص";"اللغات";;;
96;"Kinder–, Jugend– & Familienzentrum Grünau مركز الأطفال و اليافعين و العائلة، غروناو";"أماكن تسلية  للأطفال";"الترام 1 → Krakauerstr.";"Mon.–Fri.10–12h";"عروض لأوقات الفراغ و استشارات للأطفال، اليافعين و العائلة. لقاءات مفتوحةو مقهى، وطشات عمل إبداعي و عروض ثقافية."
97;"Jugendmigrationsdienst Leipzig خدمات لليافعين المهاجرين لايبزغ";"أماكن تسلية  للأطفال";"الترام 16 → Mosenthinstraße";;"عروض، مشاريع، دعم للأطفال، اليافعين و الشباب للاندماج في مجالات المدرسة، التعليم، العمل، الرياضة، الموسيقا و الانترنت"
98;"Die VILLA الفيلا - مركز اجتماعي ثقافي";"أماكن تسلية  للأطفال";"الترام 3, 4, 7, 15 → Leibnizstr. oder الترام 1, 14 → Gottschedstr.";"Mon. Fr 14–19h: computer use; climbing wall, 9 years and over Mon. 17–18h: hatha yoga Wed. 16.30–18.30h :circus for children aged 6–14  years Wed. 17–19h: west african dance, 16 years and over Wed. from 19h: let’s play – table soccer, darts, table tennis;";
99;"Begegnungsstätte Mühlstraße e.V. ملتقى ميوليغستراسة";"أماكن تسلية  للأطفال
";"الترام 12, 15 → Witzgallstr. oder الترام 4, حافلة 60, 70 → Riebeck– / Oststraße";;"مناسبات اجتماعية و إبداعية لكل الأعمار:  للأمهات و الأطفال، اجتماعات عائلية، طبخ من بلدان متنوعة، عزف طبول و دورات مهرجين.
"
100;"2ek";"أماكن تسلية  للأطفال
";"الترام 4, حافلة 70, 72, 73 → Breite Str.";"Open Wednesday: painting, crafting and bricolage, music playing. A ping-pong table and a table soccer are provided. 16 — 19 h
Painting lesson: every week a new technique is practiced, materials are provided for a small donation; also for adults. Thu.18.30";"دورة اللغة الألمانية"
101;"OFT Rabet";"أماكن تسلية  للأطفال";"الترام 1, 3, 8, حافلة 70 → H.–Liebmann– / Eisenbahnstr.";;"قاءات مفتوحة لأوقات الفراغ في حديقة رابت"
102;"Naomi e.V.";"أماكن تسلية  للأطفال";"الترام 1, 3, 8, حافلة 70 → H.–Liebmann– / Eisenbahnstr.";"Tue., Wed. and Thu.13–17h: computerroom";"محاضرات، دورات، مشاريع وعروض ودعم للمهاجرين للاندماج في مجال التعلم والرياضة والموسيقا"
103;"MiO – Der Mädchentreff im Osten لقاء الفتيات المهاجرات شرق لايبزغ";"أماكن تسلية  للأطفال";"الترام 1, 3, 8, حافلة 70 → H.–Liebmann– / Eisenbahnstr.";"Wed.15–18h";"لقاء تعليمي للفتيـات المهاجرات، لقاءات ثقافيـة، تسلية، اجتماعات، إبداع و مساعدات لحل وظائف المدرسة"
104;"G16 Fahrradselbsthilfewerkstatt الورشة الذاتية لتصليح الدراجات";"ورشات التصليح";"الترام 14 → Gießerstraße";"Tue.15h";
105;"sublab";"ورشات التصليح";"الترام 14 → Karl-Heine–Str. / Merseburgerstr.";"Thu.18h";"ورشات التصليح  تقنيات"
106;"Fahrrad- und Holzwerkstatt ورشة الخشب و تصليح الدراجات";"ورشات التصليح";"الترام 8, 15 → Lützner-/ Merseburger Str.";"Mon., Fri. 14 — 19 h";"ورشات التصليح  دراجات"
107;"Café Kaputt";"ورشات التصليح";"الترام 7 → G.–Schwarz- / Merseburger Str.";"Tue . 16–18h:woodworks etc. Wed.16–18h: electronics Thu.16–18h: textiles";"ممكنك ان تصلح اغراض اليومية  مقابل تبرعات رمزيـة. لدينا أدوات تصليح و نستطيع ان نساعدك"
108;"2ek";"ورشات التصليح";"الترام 4 → Breite Straße";"Wed.16–18h";"ورشات التصليح  خياطة و أقمشة"
109;"Wu";"ورشات التصليح";"الترام 4, 7, حافلة 72, 73 → Reudnitz,Koehlerstr.";"Mon.17h: Repaircafé 1. Tue. of the month 15h: textile";"مقهى و ورشة لاصلاح"
110;"109";;"Tram 3, 8 → Torgauer Platz";"Mo. 13 h";"Keramikwerkstatt"
111;"Radsfatz Fahrradselbsthilfe الورشة الذاتية لتصليح الدراجات";"ورشات التصليح";;"Tue .14–18h Thu.12–18h 2./4. Wed. of the month 15–19h";
112;"Wagenplatz RhizomiA";"ورشات التصليح";"الترام 3, 8 → Torgauer Platz";"3. Tue. of the month 15h";"ورشات خياطة مفتوحة"
113;"Volkspark / Küchenholz";"طبيعة";"الترام 3 → Schwartzestraße / حافلة 60 → Rödelstraße";;
114;"Göller Markkleeberger See";"طبيعة";"الترام 11 → Schillerplatz";;
115;"Göller Cospudener See";"طبيعة";"الترام 9 → Roßplatz / حافلة 65 → Cospudener-See, Nordstrand";;
116;"Nahleberg";"طبيعة";"الترام 10,11, حافلة 67 → Leutzsch, Strbf";;
117;"Göller Auensee";"طبيعة";"حافلة 80 → Auensee";;
118;"Rabet";"طبيعة";"الترام 1, 3, 8, حافلة 70 → H.–Liebmann– / Eisenbahnstr.";;
119;"Naturbad Nord-Ost (Thekla-See, Bagger)";"طبيعة";"83, 82 الترام  9, حافلة 70, 79, 80,   → Thekla";;
120;"Kulkwitzer See";"طبيعة";"Lausen ←1,2 الترام";;
121;"Johannapark";"طبيعة";"Westplatz ←1,2,8,14 الترام";;
122;"Mariannenpark";"طبيعة";"Schönefelder Rathaus ←1 الترام";;
123;"Lene-Voigt-Park";"طبيعة";"Ostplatz ←15 الترام";;
124;"Friedenspark";"طبيعة";"Duetsche Nationalbibliothek ←2,16 الترام";;
125;"Auewald";"طبيعة";"Mathildenstraße ←9 لترام";;
126;"Wildpark";"طبيعة";"Wildpark ←9 لترام";;
127;"Fockeberg";"طبيعة";"HTWK ←9,10,11 لترام";;
128;"كرة سلة و كرة طاولة";"رياضة";"Kolmstraße ←4 لترام";;
129;"ملعب كـرة سلة في";"رياضة";"لترام16,10";;
130;"ملعب كرة قدم مع عشب";"رياضة";"10, 16  لترام  → Moritz Hof";;
131;"كـرة سلة، قـدم و طائرة في حديقة
رابت";"رياضة";"1, 3, 8 لترام   → H.–Liebmann– / Eisenbahnstr.";;
132;"تسلق، ملعب كرة قدم و كرة طائرة";"رياضة";" لترام 1 ,2   حافلة65 → Stuttgarter Allee";;
133;"ملعب كـرة القدم";"رياضة";"15 لترام  → Saturnstr.";;
134;"كـرة القـدم";"رياضة";"8, 15 لترام  → Parkallee";;
135;"ملعب كـرة القدم مع مرمى صغير و
سلة منخفضة لكرة السلة";"رياضة";"Miltitzer Allee ←8,15 لترام";;
136;"ملعب كرة السلة, ملعب كـرة القدم";"رياضة";"Grünauer Allee
←8,15 لترام";;
137;"كرة سلة و كرة قدم";"رياضة";"Coppiplatz ←4 لترام";;
138;"ملعب كرة سلة و كرة طائرة في";"رياضة";"Gutenbergplatz ←12,15 لترام";;
139;"Basketballplatz im Friedenspark";;"Tram 2, 16, Bus 74 → Deutsche Nationalbibliothek";;
140;"ملعب كرة قدم مع عشب";"رياضة";"←2,16 الترام
Duetsche Nationalbibliothek";;
141;"ملعب كرة قدم";"رياضة";"Gerichtsweg
←4,7 الترام";;
142;"ملعب كرة سلة";"رياضة";"K.Liebknecht-/K.Eisener. ←10,11 الترام";;
