"ID";"name";"arrival";"openinghours";"description";"category"
16;"Schwarz 10";"Tram 7 → G.–Schwarz- / Merseburger Str.";"Enjte 20h , Djele 10 h";;"Kafene dhe Bare mbremjesh"
17;"Libelle";"Tram 1, 2, 8, 14 → Westplatz";"Shtune 20h";;"Kafene dhe Bare mbremjesh"
18;"B12";"Tram 10, 11 → Südplatz";"Marte 20h";;"Kafene dhe Bare mbremjesh"
19;"Similde";"Tram 9, 10, 11, bus 70, 89, 107 → Connewitzer Kreuz";"Marte 20h , Enjte 20 h";;"Kafene dhe Bare mbremjesh"
20;"Manfred";"Tram 9, 10, 11, bus 70, 89, 107 → Connewitzer Kreuz";"Enjte 20h";;"Kafene dhe Bare mbremjesh"
21;"Liwi";"Tram 9, 10, 11, bus 70, 89, 107 → Connewitzer Kreuz";"Djele 20h";;"Kafene dhe Bare mbremjesh"
22;"Zoro";"Tram 9, 10, 11, bus 70, 89, 107 → Connewitzer Kreuz";"Marte 20h";;"Kafene dhe Bare mbremjesh"
23;"2ek";"Tram 4, bus 70, 72, 73 → Breite Str.";"Djele 15.30h";;"Kafene dhe Bare mbremjesh"
24;"Atari";"Tram 4, bus 70, 72, 73 → Breite Str.";"Hene 20h";;"Kafene dhe Bare mbremjesh"
25;"N.U.R.";"Tram 1, 3, 8, bus 70 → H.–Liebmann– / Eisenbahnstr.";"Enjte 20h";;"Kafene dhe Bare mbremjesh"
26;"109";"Tram 3, 8 → Torgauer Platz";"Enjte 13h , Premte 21 h";;"Kafene dhe Bare mbremjesh"
27;"Japanisches Haus";"Tram 3, 8 → Torgauer Platz";"Shtune 19h";;"Kafene dhe Bare mbremjesh"
28;"Bace e përbashkët – Anna Linde Gemeinschaftsgarten";"Tram 3, 14, bus 74 → Felsenkeller";"Premte 16—19 h , Shtune 14—19 h";;"Kopshte"
29;"Bace e përbashkët e lagjes – Nachbarschaftsgarten";"Tram 3, 14, bus 74 → Felsenkeller";"Premte 14 — 19 h (ne raste te vecanta data per kopshtin mund te caktohen me takim)";;"Kopshte"
30;"Kopshti botanik I Universitetit Leipzig";"Tram 12, 15, bus 60 → Ostplatz";"Hene—Premte 10—16 h";"Hyrja e lire. Biletat vetem ne raste te eventeve te vecanta.";"Kopshte"
31;"Bace e përbashkët – Querbeet";"Tram 1, 3, 8 → Einertstraße";"Marte 9.30—14 h, 16—19 h, Enjte 16—19 h, Shtune 10 h—mbremje";;"Kopshte"
32;"Bäckerei";"Tram 8, 15 → Lützner-/ Merseburger Str.";"Merkure 20 h joseph_ine: mbremje feministe";;"Qendra mbrojtjesh"
33;"Gruaja per gruan Leipzig - Frauen für Frauen e.V. Leipzig";"Tram 10, 11 → Südplatz";;"Qender keshillimi per grate (datat vetem nepermjet takimeve te lena me telefon)";"Qendra mbrojtjesh"
34;"Qendra social-kulturore per femrat - Soziokulturelles Zentrum Frauenkultur";"Tram 9, 10, 11, bus 70, 89, 107 → Connewitzer Kreuz";;"Promovon punet e artit midis grave dhe vajzave. Nje vend per komunikime sociale dhe integrim, sidomos per grate.";"Qendra mbrojtjesh"
35;"RosaLinde e.V.";"Tram 4, 7 → Gerichtsweg";"Hene 14 — 18 h oraret e konsultave, Marte 12 — 18 h oraret e konsultave, Merkure 12 — 13 h vetem me takime te paracaktuara, Marte — Shtune 19 — 22 h Café";"Qendre informacioni dhe keshillim per lesbianet, gay-t, bi-, trans-, nder- dhe asexualet";"Qendra mbrojtjesh"
36;"Grate Nderkombetare Leipzig - Internationale Frauen Leipzig e.V.";"Tram 3, 8 → Torgauer Platz";"Hene 13 — 15 h konsulta, Merkure, Premte 9 — 18 h konsulta";;"Qendra mbrojtjesh"
37;"womens*space (109)";"Tram 1, 3, 8, bus 70 → H.–Liebmann– / Eisenbahnstr.";"Djele 15.30 h";"Qender per Gruan , dhe femihet te mirepriture";"Qendra mbrojtjesh"
38;"Vete-sherbim per Bicikleta - Radsfatz Fahrradselbsthilfewerkstatt";"Tram 3, 8 → Torgauer Platz";" 1., 3. u. 5. Merkure im Monat 15 -19 h";"Fahrradwerkstatt für FLIT*";"Qendra mbrojtjesh"
39;"G16";"Tram 14 → Gießerstraße";"Hene, Enjte 15—20 h";"Infoshop";"Internet dhe telefon"
40;"Qendra Socialo-Kulturore - Die VILLA – Soziokulturelles Zentrum";"Tram 3, 4, 7, 15 → Leibnizstr. oder Tram 1, 14 → Gottschedstr.";"Hene—Premte 14—19 h";"perdorimi i kompjuterit eshte falas";"Internet dhe telefon"
41;"Libelle";"Tram 1, 2, 8, 14 → Westplatz";"Enjte 15—18 h";;"Internet dhe telefon"
42;"B12";"Tram 10, 11 → Südplatz";"cdo dite ora 10 h";;"Internet dhe telefon"
43;"Conne Island";"Tram 9 → Koburger Brücke";"Marte—Enjte 17—20 h";"Dyqan Info (kati i 2te)";"Internet dhe telefon"
44;"LinXXnet";"Tram 9, 10, 11, bus 70, 89, 107 → Connewitzer Kreuz";"Hene—Premte 10—18.30 h";"Internet";"Internet dhe telefon"
45;"109";"Tram 3, 8 → Torgauer Platz";"Enjte 11—15 h";"Internet, Printer, Skaner, Fotokopje";"Internet dhe telefon"
46;"Vend makinash banimi „RhizomiA“";"Tram 3, 8 → Torgauer Platz";"Djele 14 h";"Zyre informacioni";"Internet dhe telefon"
47;"Dyqan mobiljesh dhe sherbimesh CaritasLADEN";"Tram 8, 15 → Grünauer Allee";"Hene 12—17 h , Marte—Premte 10—17 h";"Rroba, lodra, gjera per shkolle dhe mobilje";"Rroba dhe te tjera"
48;"Qendra e te moshuarve - Seniorenhaus Selbsthilfe Leipzig Plagwitz e.V.";"Tram 3, 14, bus 74 → Felsenkeller";"Merkure, Premte 10—17 h";"Rroba, artikuj per shtepi";"Rroba dhe te tjera"
49;"Vend mirëqenie";"Tram 14 → Nonnenstr.";"E para / e treta e Merkure e muajit 13 — 17 h";"Rroba pa pagese: te brendshme, gjera per femije, per bebe";"Rroba dhe te tjera"
50;"Kryqi I Kuq Gjerman – DRK Kleiderkammer";"Tram 3, 14, bus 74 → Felsenkeller";"Hene, Marte, Enjte 10—12 h , Merkure 13—17 h , Premte 10—12 h";"Rroba per te gjitha moshat e femijeve, mobilje";"Rroba dhe te tjera"
51;"Diakonie Passgenau";"Tram 10, 11 → Dantestraße";"Marte—Premte 11—18 h";"Rroba, artikuj per shtepi, lodra femijesh";"Rroba dhe te tjera"
52;"Diakonie Leipziger Oase";"Tram 4, 7, 12, 15, bus 690 → Johannisplatz";"Merkure, Premte 10—14 h";"Rroba, artikuj per shtepi, lodra femijesh";"Rroba dhe te tjera"
53;"Kryqi I Kuq Gjerman - DRK Kreisverband Leipzig Stadt e.V.";"Tram 10, 11 → K.–Liebknecht–Str. / K.–Eisnerstr.";"Hene 8—12 h, 13—17 h ,  Marte 14—18 h , Merkure 9—12 h, 14—17 h";"Artikuj per shtepi, lodra femijesh";"Rroba dhe te tjera"
54;"Con Han Hop";"Tram 1, 3, 8, bus 70 → H.–Liebmann– / Eisenbahnstr.";"Premte 15 h";;"Rroba dhe te tjera"
55;"N.U.R.";"Tram 1, 3, 8, bus 70 → H.–Liebmann– / Eisenbahnstr.";"Enjte 19 h";;"Rroba dhe te tjera"
56;"Shoqeri Civile - Bürgerverein Schönefeld";"Tram 1 → Stöckelstraße";"Hene—Enjte 9—12 h, 14—17 h, Premte 9—12 h";"Rroba, artikuj per bebet, lodra, artikuj shkolle, libra";"Rroba dhe te tjera"
57;"Alkoliket Anonime - Anonyme Alkoholiker";;;"Takimet A A mbahen cdo dite (pervec te djeles) ne pjese te ndryshme te qytetit. Ne kete website mund te gjesh nje liste adresash dhe datash.";"Ndihme Mjekesore dhe konsulta Psikologjike"
58;"Kryqi i Kuq Gjerman -  Deutsches Rotes Kreuz Kreisverband Leipzig–Stadt e.V.";"Tram 10, 11 → K.–Liebknecht–Str. / K.–Eisnerstr.";"Hene, Enjte 9—14 h";"Qendra e keshillimit per shtatezanite dhe familjet";"Ndihme Mjekesore dhe konsulta Psikologjike"
59;"Medinetz Leipzig";"Tram 10, 11 → K.–Liebknecht–Str. / K.–Eisnerstr.";"E Marte 16 — 18 h oraret e konsultave";"Ata ofrojne asistence mjekesore dhe suport per pacientet ne rrugen e tyre drejt sistemit mjekesor publik. Keto institucione jane jo-qeveritare, pa pagese dhe anonime. Ne consultat javore, ata rregullojne takime me doktoret qe ofrojne trajtime pa pagese.";"Ndihme Mjekesore dhe konsulta Psikologjike"
60;"Haus Steinstraße e.V.";"Tram 10, 11 → K.–Liebknecht–Str. / K.–Eisnerstr.";;"Keshillim Psikologjik, Vetem me takim te paracaktuar";"Ndihme Mjekesore dhe konsulta Psikologjike"
61;"Ndime per SIDEN";"Tram 1 → Ossietzky- / Gorkistraße";"E Marte / E Enjte 15 — 21 h, E Merkure 15 — 18 h";"Keshillim dhe suport per rastet e HIV dhe SIDA si dhe rastet me te tjera semundje seksualisht te transmetueshme.";"Ndihme Mjekesore dhe konsulta Psikologjike"
62;"Conne Island";"Tram 9 → Koburger Brücke";;"Asylum seekers/refugees Azil kerkuesit dhe refugjatet mund te shkojne ne koncerte ne pjese teatrale, lexime, etj kundrejt nje shume te vogel (50 cent).";"Musik"
63;"Müzik–Stüdyo.74";"Tram 3 → Volksgarten";;"Muzike per Njerezit: Ketu mund te takosh njerez dhe te luash muzike me ose pa njohuri te specifi ke. Ka dhoma provash, nje studio, instrumenta etj. Muzikantet jane te gatshem te ndihmojne gjithashtu.";"Musik"
64;"Salve";"Tram 8, 15 → Lützner-/ Merseburger Str.";"Hene—Premte 9.30—17 h";"Contact Qendra kontakti dhe keshillimi per emigrantet, ne pjesen perendimore te qytetit. Suport ne mardheniet me autoritetet si dhe ceshtjet e jeteses dhe edukimit.";"Konsulta sociale dhe keshillime ligjore"
65;"Caritashaus Leipzig";"Tram 1, 2, 8, 14 → Westplatz";"Hene 14 — 17 h , Premte 9 — 12 h";;"Konsulta sociale dhe keshillime ligjore"
66;"RefugeeLawClinic";"Tram 2, 8, 9, 10, 11, 14 → Wilhelm–Leuschner–Platz";;"Avokat (pa pages) per refugjatet dhe emigrantet";"Konsulta sociale dhe keshillime ligjore"
67;"Kryqi I Kuq Gjerman -  Deutsches Rotes Kreuz Kreisverband Leipzig–Stadt e.V.";"Tram 10, 11 → K.–Liebknecht–Str. / K.–Eisnerstr.";"Marte 12—14 h , Enjte 9 — 11 h";"Keshillim per emigrantet";"Konsulta sociale dhe keshillime ligjore"
68;"Haus Steinstraße e.V.";"Tram 9, 10, 11 → HTWK";"vetem me takim";"Keshillim Ligjor (vetem me takim)";"Konsulta sociale dhe keshillime ligjore"
69;"LinXXnet";"Tram 9, 10, 11, bus 70, 89, 107 → Connewitzer Kreuz";"Merkure 10—16 h";"Keshillim Social";"Konsulta sociale dhe keshillime ligjore"
70;"2ek";"Tram 4 → Breite Straße";"e dyta / e katerta e Enjte e muajit 16 — 18 h";"Keshillim Social";"Konsulta sociale dhe keshillime ligjore"
71;"Atari";"Tram 4 → Breite Straße";"Djele 15 h";;"Konsulta sociale dhe keshillime ligjore"
72;"Mbledhje Qutetaresh Volkmarsdorf";"Tram 3, 8 → Torgauer Platz";"Keshillim Social: Hene 13 — 15 h, Merkure — Premte 9 — 18 h, Keshillim Ligjor: E hena e pare e cdo muaji 13 — 15 h, E merkura e katert e cdo muaji 16 — 18 h";"Sherbime konsullimi nderkulturor ne gjuhe te ndryshme (Gjermanisht, Rusisht, Rumanisht, Arabisht, Kurdish, Spanjisht, Turqish, Vjetnamisht)";"Konsulta sociale dhe keshillime ligjore"
73;"Infobus";"Tram 3 → Arcus Park.";"Merkure 17 h";"Asistence ligjore nepermjet telefonit";"Konsulta sociale dhe keshillime ligjore"
74;"Iqendra Islamike - Islamic Al–Sahra Center e.V.";"Tram 3, 7, 8, 15, bus 74, 130, 131 → Angerbrücke";"Lutja e te Premtes: ne vere ne oren 14 h | dimer 13 h";;"Hapesira fetare dhe shpirterore"
75;"Synagoge dhe qendra komunitare - Synagoge und Begegnungszentrum Leipzig e.V.";"Tram 4, 7, 12, 15, bus 690 → Johannisplatz";;;"Hapesira fetare dhe shpirterore"
76;"Evangelisch–Lutherische St. Trinitatis–Gemeinde Leipzig";"Tram 2, 8, 9, 10, 11, 14 → Wilhelm–Leuschner–Platz";;;"Hapesira fetare dhe shpirterore"
77;"Kisha Angleze Leipzig";"Tram 10, 11, bus 60, 74 → K.–Liebknecht- / K.–Eisner–Str.";"Djele 10.30 h,  18.30 h";"Shtepia bashkiake Andreaskirche";"Hapesira fetare dhe shpirterore"
78;"Kisha Memorial Ruse - Russische Gedächtniskirche";"Tram 2, 16, bus 74 → Deutsche Nationalbibliothek";"Djele 10 h";;"Hapesira fetare dhe shpirterore"
79;"Kisha Katolike Greke Ukrainiane";"Tram 4, bus 70, S–Bahn 1, 3 → Ribeck– / Stötteritzerstr.";"Djele 14 h";"Roman Catholic community of St. Laurentius";"Hapesira fetare dhe shpirterore"
80;"Kisha Protestante Koreane - Evangelische Koreanische Gemeinde";"Tram 1, 3, 8 → Einertstraße";"Djele 11 h";;"Hapesira fetare dhe shpirterore"
81;"Qendra per Kulturen Islame dhe Kerkimore - Leipziger Zentrum für islamische Kultur und Forschung e.V.";"Tram 1, 3, 8 → Einertstraße";"Lutja e te Premtes Turke: ne vere ne oren 14 h | dimer 13 h";"Takva Xhami";"Hapesira fetare dhe shpirterore"
82;"Ahmadiyya Komunitet Muslyman";"Tram 1, 3, 8, bus 70 → H.–Liebmann– / Eisenbahnstr.";"Lutja e te Premtes: ne vere ne oren 14 h | dimer 13 h";;"Hapesira fetare dhe shpirterore"
83;"Komuniteti Buddhist Vietnamez - Vietnamesisch–Buddhistische Gemeinde in Leipzig und Umgebung e.V.";"Tram 3 → Bautznerstr.";"Djele 10—16 h";;"Hapesira fetare dhe shpirterore"
84;"Gurdwara Gurmat Parchar e.V.";"Tram 7, 8, bus 90 → Barbarastr.";"cdo ditë 8 — 20 h";;"Hapesira fetare dhe shpirterore"
85;"Salve";"Tram 8, 15 → Lützner-/ Merseburger Str.";;"Keshilltar per Perkthyes";"Gjuhe"
86;"Salve";"Tram 8, 15 → Lützner-/ Merseburger Str.";"Hene, Merkure 10.30 — 12 h (per fi llestare), Marte, Enjte 13.30 — 15 h (kurs per te avancuar)";"Shkoll Gjuhe";"Gjuhe"
87;"Qendra Socialo-Kulturore - Die VILLA Soziokulturelles Zentrum";"Tram 3, 4, 7, 15 → Leibnizstr., Tram 1, 14 → Gottschedstr.";"Marte 20 h Soirée Polyglotte";"Mbremje Poliglote: takim I hapur per gjuhe te ndryshme. Visitoret bashkohen ne atmosfere te relaxuar. Ne cdo tavoline fl itet nje gjuhe e caktuar. Cdo jave ne kafenene ne bodrumin e Villa.";"Gjuhe"
88;"Caritashaus Leipzig";"Tram 1, 2, 8, 14 → Westplatz";"E Marte 13.30 — 15 h: kurse per te avancuar, E Enjte 13.30 — 15 h: biseda (vetem me takim)";;"Gjuhe"
89;"Partnere shkimbimi njohurishe gjuhesore - Uni Leipzig Sprachtandem";"Tram 4, 7, 8, 10, 11, 12, 14, 15, 16 → Augustusplatz";"Orari i punës: Hene 14 — 16 h, Enjte 9 — 11 h";"Edhe per jo-studente! Organizim I partnereshipeve gjuhesore per mesim dhe praktikim te gjuheve te ndryshme. Regjistrim: www.sprachtandem-leipzig.de";"Gjuhe"
90;"Keshilli I Refugjateve - Flüchtlingsrat e.V.";"Tram 1, 2, 8, 14 → Westplatz";"E Hene 11 — 12.30 h per fillestare, E Enjte 15 — 16.30 h per fillestare, E Enjte 13 — 15 h kurse per te";"Nese e nevojshme ka dhe mesime private pa pagese.";"Gjuhe"
91;"Shoqeria per Kuptime Nderkombetare - Gesellschaft für Völkerverständigung";"Tram 9, 10, 11, bus 70, 89, 107 → Connewitzer Kreuz";"Merkure 15—17 h";"Shkoll Gjuhe gjuhesore per fillestare ne menyre qe te ndihmoje me te perditshmen. (8 € / per muaj per materialet)";"Gjuhe"
92;"Qendra Gjermano–Ruse - Deutsch–Russisches Zentrum Sachsen e.V.";"Tram 9, 10, 11, bus 70, 89, 107 → Connewitzer Kreuz";"Hene, Merkure 9 — 12 h per fillestare, Marte, Enjte 12 — 15 h kurse per te avancuar";;"Gjuhe"
93;"2ek";"Tram 4 → Breite Straße";"Djele 14—15.30 h";"Kurs gjermanisht";"Gjuhe"
94;"Kurse Alfabetizimi ABC Schule";"Tram 1, 3, 8 → Einertstraße";;"German literacy Kuse gjermane alfabetizimi per te rritur. Zakonisht pa pagese, ose shum lire (1 € /ora)";"Gjuhe"
95;"Infobus";;;;"Gjuhe"
96;"Qendra per femijet, te rinjte dhe familjet - Kinder–, Jugend– & Familienzentrum Grünau Caritas–Leipzig e.V.";"Tram 1 → Krakauerstr.";"Hene—Premte 10—12 h";"Free Aktivitete per kohen e lire dhe keshillime per femijet, te rinjte, dhe familjet. Takime te hapura, kafe, kurse creative dhe aktivitete kulturore.";"Qendra takimi per te rinj dhe femije"
97;"Sherbimi I Emigracionit per te Rinjte - Jugendmigrationsdienst Leipzig";"Tram 16 → Mosenthinstraße";;"Ofron projekte dhe suport per integrimin e femijeve, te rinjve dhe adoleshenteve emigrant ne fushen e edukimit, trajnimit, punes, sport, muzike dhe internet.";"Qendra takimi per te rinj dhe femije"
98;"Qendra Socialo-Kulturore - Die VILLA Soziokulturelles Zentrum";"Tram 3, 4, 7, 15 → Leibnizstr., Tram 1, 14 → Gottschedstr.";"Hene, Premte 14 — 19 h: perdorimi I kompjuterit pa pagese, ngjitje murri pa pagese, per femijet e moshes 9 e siper, Hene 17 — 18 h Hatha Yoga, Merkure 16.30 — 18.30 h: cirk (per femijet nga mosha 6–14), Merkure 17 — 19 h: Kercime Afrikane (16 vjec e siper";;"Qendra takimi per te rinj dhe femije"
99;"Qendra komunitare „Mühlstraße e.V.“";"Tram 12, 15 → Witzgallstr., Tram 4, bus 60, 70 → Riebeck– / Oststraße";;"Evente kreative dhe shoqerore per te gjitha moshat: p.sh. grupe prind–femije, mbasdite familjare, gatime nderkulturore, kurse per kloun,kurse per te luajtur bateri.";"Qendra takimi per te rinj dhe femije"
100;"2ek";"Tram 4, bus 70, 72, 73 → Breite Str.";"E merkura e Hapur: vizatime, artizani, luajte muzike. Nje tavoline ping–pongu per te rritur, Merkure 16 — 19 h, Mesime vizatimi: Cdo jave praktiko het nje teknike e re. Materialet mund te sigurohen kundrejt nje dhurimi te vogel (gjithashtu per te rritur)";;"Qendra takimi per te rinj dhe femije"
101;"OFT Rabet";"Tram 1, 3, 8, bus 70 → H.–Liebmann– / Eisenbahnstr.";"Enjte 18.30 h — 20.30 h";"Takime shoqerore publike ne parkun e qytetit – Rabet im Stadtteilpark";"Qendra takimi per te rinj dhe femije"
102;"Naomi e.V.";"Tram 1, 3, 8, bus 70 → H.–Liebmann– / Eisenbahnstr.";"Marte, Merkure, Enjte 13—17 h: dhoma e kompjuterit";"Takime te hapura ne parkun e lagjes";"Qendra takimi per te rinj dhe femije"
103;"Qendra e takimit per vajza ne lindje te qytetit – MiO";"Tram 1, 3, 8, bus 70 → H.–Liebmann– / Eisenbahnstr.";"Merkure 15—18 h";"Aktivitete argetuese per vajza : takime nderkulturore, pune creative dhe asistence si dhe detyra shtepie creative.";"Qendra takimi per te rinj dhe femije"
104;"Vete-sherbim per Bicikleta – G16 Fahrradselbsthilfewerkstatt";"Tram 14 → Gießerstraße";"Enjte 18 h";;"Workshope"
105;"sublab";"Tram 14 → Karl-Heine–Str. / Merseburgerstr.";"Enjte 18 h";;"Workshope"
106;"Uorkshope per bicikleta dhe pune me dru - Fahrrad– und Holzwerkstatt";"Tram 8, 15 → Lützner-/ Merseburger Str.";"Marte 18—20 h";;"Workshope"
107;"Café Kaputt – Service vet-reparimeve paisjesh";"Tram 7 → G.–Schwarz- / Merseburger Str.";"Artizanate te bera me dore, mobilje, lodra, instrumente qeramike, mjete, artikuj shtepie: Marte 16 — 18 h, Artikuj elektronik: Merkure 16 — 18 h, Rroba, textile, kepuce: E Enjte 16 — 18 h";"Kty mundesh te mesosh si te riparosh paisje te berdicme dhe paguhan aq sa deshiron – vlerson. Afrojm vegla reparimi, pjesa kembimi dhe ndime.";"Workshope"
108;"2ek";"Tram 4 → Breite Straße";"Merkure 16—18 h";"Rrobaqepsi";"Workshope"
109;"Wu";"Tram 4, 7, bus 72, 73 → Reudnitz,Koehlerstr.";"Hene 17 h 1. Marte im Monat ab 15 h Rrobaqepsi";"Repaircafé";"Workshope"
110;"109";"Tram 3, 8 → Torgauer Platz";"Hene 13 h";;"Workshope"
111;"Vete–sherbim per Bicikletat - Radsfatz Fahrradselbsthilfe";"Tram 3, 8 → Torgauer Platz";"Marte 14 — 18 h e dyta / e katerta e Merkure e muajit, 15 — 19 h E Enjte 12 — 18 h";;"Workshope"
112;"Vend makinash banimi „RhizomiA“";"Tram 3, 8 → Torgauer Platz";;"Kurse te hapura per tekstile";"Workshope"
113;"Parky „Volkspark“ / „Küchenholz“";"Tram 3 → Schwartzestraße, bus 60 → Rödelstraße";;;"Natyre"
114;"Liqeni „Markleeberger See“";"Tram 11 → Schillerplatz";;;"Natyre"
115;"Liqeni „Cospudener See“";"Tram 9 → Roßplatz, bus 65 → Cospudener-See, Nordstrand";;;"Natyre"
116;"Nahleberg";"Tram 10,11, S-Bahn 1 → S-Bf. Möckern, bus 67 → Leutzsch, Strbf";;;"Natyre"
117;"Liqeni „Auensee“";"Bus 80 → Auensee";;;"Natyre"
118;"Parky „Rabet“";"Tram 1, 3, 8, bus 70 → H.–Liebmann– / Eisenbahnstr.";;;"Natyre"
119;"Natyrebad Nord-Ost (Thekla-See, Bagger)";"Tram 9, bus 70, 79, 80, 81, 82, 83 → Thekla";;;"Natyre"
120;"Liqeni „Kulkwitzer See“";"Tram 1, 2 → Lausen";;;"Natyre"
121;"Parky „Johannapark“";"Tram 1, 2, 8, 14 → Westplatz";;;"Natyre"
122;"Parky „Mariannenpark“";"Tram 1 → Stannebeinplatz";;;"Natyre"
123;"Parky „Lene-Voigt-Park“";"Tram 12, 15, bus 60 → Ostplatz";;;"Natyre"
124;"Parky „Friedenspark“";"Tram 12, 15, bus 60 → Ostplatz, Tram 2, 16 → Deutsche Nationalbibliothek";;;"Natyre"
125;"Auewald";"Tram 9 → Mathildenstraße, bus 70 → Connewitzer Kreuz";;;"Natyre"
126;"Parky i eger – Wildpark";"Tram 9, bus 107 → Wildpark";;;"Natyre"
127;"Mali „Fockeberg“";"Tram 9, 10, 1, bus 70, 89 → HTWK";;;"Natyre"
128;"Basketboll dhe ping-pong";"Tram 4, bus 74, 79 → Kolmstr.";;;"Sport"
129;"Basketboll";"Tram 10, 16 → An der Märchenwiese";;;"Sport"
130;"Basketboll, futboll dhe volejboll";"Tram 10, 16 → Moritz Hof";;;"Sport"
131;"Basketboll, futboll dhe volejboll";"Tram 1, 3, 8, bus 70 → H.–Liebmann– / Eisenbahnstr.";;;"Sport"
132;"K4 ngjitje muri, futboll dhe volejboll";"Tram 1, 2, bus 65 → Stuttgarter Allee";;;"Sport"
133;"Futboll";"Tram 15 → Saturnstr.";;;"Sport"
134;"Futboll";"Tram 8, 15, bus 66 → Parkallee";;;"Sport"
135;"Fusha te vogla futbolli dhe basketbooli me kosha dhe porta te vogla";"Tram 8, 15, bus 62, 65, S–Bahn 1 → Miltitzer Allee";;;"Sport"
136;"Basketboll, futboll";"Tram 8, 15 → Grünauer Allee";;;"Sport"
137;"Basketboll, futboll";"Tram 4, bus 85, 90, S–Bahn 1 → Coppiplatz";;;"Sport"
138;"Basketboll dhe volejboll";"Tram 12, 15 → Gutenbergplatz";;;"Sport"
139;"Basketboll";"Tram 2, 16, bus 74 → Deutsche Nationalbibliothek";;;"Sport"
140;"Futboll";"Tram 2, 16, bus 74 → Deutsche Nationalbibliothek";;;"Sport"
141;"Futboll";"Tram 4, 7 → Gerichtsweg";;;"Sport"
142;"Basketboll";"Tram 10, 11, bus 60, 74 → K.–Liebknecht- / K.–Eisner–Str.";;;"Sport"
