"ID";"name";"category";"arrival";"openinghours";"description"
21;"Liwi";"Êvarên Qehwexaneyêû Barê";"Tram 9, 10, 11, Bus 70, 89, 107 → Connewitzer Kreuz";"Çar. 20h";
22;"Zoro";"Êvarên Qehwexaneyêû Barê";"Tram 9, 10, 11, Bus 70, 89, 107 → Connewitzer Kreuz";"Sêş. 20h";
23;"2ek";"Êvarên Qehwexaneyêû Barê";"Tram 4, Bus 70, 72, 73 → Breite Str.";"Yek. 15.30h";
24;"Atari";"Êvarên Qehwexaneyêû Barê";"Tram 4, Bus 70, 72, 73 → Breite Str.";"Duş. 20h";
25;"N.U.R.";"Êvarên Qehwexaneyêû Barê";"Tram 1, 3, 8, Bus 70 → H.–Liebmann– / Eisenbahnstr.";"Pên. 20h";
26;"109";"Êvarên Qehwexaneyêû Barê";"Tram 3, 8 → Torgauer Platz";"Pên. 13 h, În. 21 h";
27;"Japanisches Haus";"Êvarên Qehwexaneyêû Barê";"Tram 3, 8 → Torgauer Platz";"Şem. 19h";
28;"Anna Linde Gemeinschaftsgarten";"Baxçe";"Tram 3, 14, Bus 74 → Felsenkeller";"În.16–19h
Şem.14–19h
";
29;"Nachbarschaftsgärten (BaxçeyênTaxê)";"Baxçe";"Tram 3, 14, Bus 74 → Felsenkeller";"în.14–19h
demêntaybetjibûavdankirinabexçeyan, hevdîtindi demekîtaybetde têqeydkirinû her komekkesbi hevrehazirdibin.";
30;"Botanischer Garten der Universität Leipzig";"Baxçe";"Tram 12, 15, Bus 60 → Ostplatz";"Duş.–În.10–16h";"Pejrandina belaş, kart tê xwestin
Ji ber hevdîtin û konsertên taybet."
31;"Querbeet";"Baxçe";"Tram 1, 3, 8 → Einertstraße";"Sêş.9.30–14h,16–19h
Pên.16–19h Şem.Ji10h";
32;"Bäckerei";"Cihên Parastî";"Tram 8, 15 → Lützner-/ Merseburger Str.";"1.Duş.di heyvêde:
xwarinjijinan, keçikanû hev-zayinanbi bexşîne. Çar.15–18h:
Qehwejipenaberênjinre Çar. 20h:";
33;"Frauen für Frauen e.V. Leipzig";"Cihên Parastî";"Tram 10, 11 → Südplatz";"1. û 3. Çar. di heyvêde
13–17h";"Navenda şêwermendiya jinan; hevdîtin li ser telefonê tê qeyidkirin"
34;"Soziokulturelles Zentrum Frauenkultur";"Cihên Parastî";"Tram 9, 10, 11, Bus 70, 89, 107 → Connewitzer Kreuz";;"Pêşkêşkirina karên hunerî ji jinan û keçikan re. Cihek ji têkiliyên
Civakî û yekgirtin bi taybet ji jinan re."
35;"RosaLinde e.V.";"Cihên Parastî";"Tram 4, 7 → Gerichtsweg";"Duş. 14 –18 h û Sêş. 12 –18 h Çar. 12 –13h: bi qeyidkirinademêtenê.Sêş.–Şem.19–22h:café";"Agahî û şîret ji jin û kurên du-zayinî û nav-cinsî re"
36;"Internationale Frauen Leipzig e.V.";"Cihên Parastî";"Tram 3, 8 → Torgauer Platz";"Duş.13–15h û
Çar., În. 9 –18h: Şêwermendî";
37;"womens*space (109)";"Cihên Parastî";"Tram 1, 3, 8, Bus 70 → H.–Liebmann– / Eisenbahnstr.";"Yek.15.30h";
38;"Radsfatz Fahrradselbsthilfe";"Cihên Parastî";"Tram 3, 8 → Torgauer Platz";"1.,3.,5.Çar. De heyvêde 15–19h";
39;"G16";"Internet û Telefon";"Tram 14 → Gießerstraße";"Duş.,Pên.15–20h:infoshop";"Internet a Belaş"
40;"Die VILLA
Navenda Civakultûr";"Internet û Telefon";"Tram 3, 4, 7, 15 → Leibnizstr. / Tram 1, 14 → Gottschedstr.";"Duş.–În14–19h";"Internet a Belaş"
41;"Libelle";"Internet û Telefon";"Tram 1, 2, 8, 14 → Westplatz";"Bên.15–18h";"Internet a Belaş"
42;"B12";"Internet û Telefon";"Tram 10, 11 → Südplatz";"ji10 h:rojane";"Internet a Belaş"
43;"Conne Island";"Internet û Telefon";"Tram 9 → Koburger Brücke";"Sêş.–Pên.17–20h";"Internet a Belaş"
44;"LinXXnet";"Internet û Telefon";"Tram 9, 10, 11, Bus 70, 89, 107 → Connewitzer Kreuz";"Duş.–În.10–18.30h";
45;"109";"Internet û Telefon";"Tram 3, 8 → Torgauer Platz";"Sêş.11–15h";"computer, internet, çapkirin, scankirin, copîkirin"
46;"Wagenplatz RhizomiA";"Internet û Telefon";"Tram 3, 8 → Torgauer Platz";;
47;"Caritasladen und Möbeldienst";"Cil û Pêdivî";"Tram 8, 15 → Grünauer Allee";"Duş.12–17h û Sêş.–În.10–17h
";"Cil, Leyistokên zarokan, pêdiviyên dibistanê (medresê) û pêdawîstiyên malê."
48;"Seniorenhaus Selbsthilfe Plagwitz e.V.";"Cil û Pêdivî";"Tram 3, 14, Bus 74 → Felsenkeller";"Çar.,În.10–17h";"Cil û pêdawîstiyên malê"
49;"Advent Wohlfahrtswerk e.V.";"Cil û Pêdivî";"Tram 14 → Nonnenstr.";"1. û. 3. Çar. Di heyvêde 13 –17h";"Cilên belaş: cilên bincila, pêdiviyên zarok û pêçekan"
50;"DRK Kleiderkammer";"Cil û Pêdivî";"Tram 3, 14, Bus 74 → Felsenkeller";"Duş., Sêş., Pên. 10 –12 h Çar.13–17h
În.10–12h";"Cil û pêdiviyên her kesî (mezin û biçûk)"
51;"Diakonie Passgenau";"Cil û Pêdivî";"Tram 10, 11 → Dantestraße";"Sêş.–În.11–18h";"cil, pêdiviyên malê û leyistokên zarokan"
52;"Diakonie Leipziger Oase";"Cil û Pêdivî";"Tram 4, 7, 12, 15, Bus 69 → Johannisplatz";"Çar.,În.10–14h";"cil, pêdiviyên malê û leyistokên zarokan"
53;"Deutsches Rotes Kreuz Kreisverband Leipzig Stadt e.V.";"Cil û Pêdivî";"Tram 10, 11 → K.–Liebknecht–Str. / K.–Eisnerstr.";"Duş.8–12h û 13–17h";"Cil û pêdiviyên her kesî (mezin û biçûk)"
54;"Con Han Hop";;"Tram 1, 3, 8, Bus 70 → H.–Liebmann– / Eisenbahnstr.";"Fr. 15 h";
55;"N.U.R.";"Cil û Pêdivî";"Tram 1, 3, 8, Bus 70 → H.–Liebmann– / Eisenbahnstr.";"Pên.19h";
56;"Bürgerverein Schönefeld";"Cil û Pêdivî";"Tram 1 → Stöckelstraße";"Duş.–Pên.9–12h14–17h
În.9–12h
DukanaTiştên Belaş(bêberamber)";"cil, leyistokên zarokan, pêdiviyên
Dibistanê (medresê) û pirtûk"
57;"Adsız Alkolikler";"Alîkariya Pizîşkîû Psîkologik";;;"A. A. Hevdîtin her ro jçêdibin ji bilî roja Yekşemê di gelek cihan de, di nav bajar de.
Tê lîsteyekî bi navnîşanan û deman li ser vê malperê bibînî:
www.anonymealkoholiker.de"
58;"Deutsches Rotes Kreuz Kreisverband Leipzig Stadt e.V.";"Alîkariya Pizîşkîû Psîkologik";"Tram 10, 11 → K.–Liebknecht–Str. / K.–Eisnerstr.";"Duş.,Pên.9–14h Sêş.14–18h
Çar.9–12h,14–17h";"Alîkariya pîrekên bihemil (ducanî)"
59;"Medinetz Leipzig";"Alîkariya Pizîşkîû Psîkologik";"Tram 10, 11 → K.–Liebknecht–Str. / K.–Eisnerstr.";"Sêş. 16 –18h: consultation hours";"Alîkariyên tendirustî û piştigiriya nexweşan dikin di riya
Wan de heta nexweşxaneyê. Ew alîkarî ne yên hikûmetê ne, belaşin. Di demên şêwermendiya hevteyê de ew hevdîtinan qeyid dikin bi pizîşkan re yên ku derman û muayeneyên ne giranbuha û baş pêşkêş dik"
60;"Haus Steinstraße e.V.";"Alîkariya Pizîşkîû Psîkologik";"Tram 10, 11 → K.–Liebknecht–Str. / K.–Eisnerstr.";;"Şêwermendiya Psîkologîk; tenê bi qeyidkirina hevdîtinê"
61;"Aids Hilfe Leipzig";"Alîkariya Pizîşkîû Psîkologik";"Tram 1 → Ossietzky- / Gorkistraße";"Sêş., Pên.15–21h Çar.15–18h";"Şîret û piştgîrî ji rewşên (haletên) HIV û AIDS û her nexweşiyên bi riya cinsê"
62;"Conne Island";"Muzîk
";"Tram 9 → Koburger Brücke";;"Penaber dikarin serdana konsêrtan bikin, şano, xwendin,
htd.. Bi bexşîna 50 cents."
63;"Müzik–Stüdyo.74";"Muzîk";"Tram 3 → Volksgarten";;"Muzîk ji xelkê re: li vir tu dikarî mirovan bibînî û bi wan re Muzîkê
bileyizin, heger tu zanibê yan tu nizanbê jî çê dibe. Odeyên bihîstinê jî hene, studio, pêdawîstî û amêrên muzîkê, muzîkvan li wir karin alîkariya te bikin."
64;"Salve";"Şêwermendiya Civakî û Şîretên Dadwerî";"Tram 8, 15 → Lützner-/ Merseburger Str.";"Duş.–În.9.30–17h";"Navenda Şêwermendî û Agahiyan ji penaberan re; xizmeta birêvebirin, rûniştin û fêrkirin"
65;"Caritashaus Leipzig";"Şêwermendiya Civakî û Şîretên Dadwerî";"Tram 1, 2, 8, 14 → Westplatz";"Duş.14–17h
în.9–12h";
66;"RefugeeLawClinic";"Şêwermendiya Civakî û Şîretên Dadwerî";"Tram 2, 8, 9, 10, 11, 14 → Wilhelm–Leuschner–Platz";;"Şîretên dadwerî ji penaberan re"
67;"Deutsches Rotes Kreuz Kreisverband Leipzig Stadt e.V.";"Şêwermendiya Civakî û Şîretên Dadwerî";"Tram 10, 11 → K.–Liebknecht–Str. / K.–Eisnerstr.";"Sêş.12–14h Pên.9–11h";"Şîretên Penaberiyê"
68;"Haus Steinstraße e.V.";"Şêwermendiya Civakî û Şîretên Dadwerî";"Tram 9, 10, 11 → HTWK";"Tenêbi qeyidkirina hevdîtinê";"Şîretên dadwerî"
69;"LinXXnet";"Şêwermendiya Civakî û Şîretên Dadwerî";"Tram 9, 10, 11, Bus 70, 89, 107 → Connewitzer Kreuz";"Çar.10–16h";"Şêwermendiya civakî"
70;"2ek";"Şêwermendiya Civakî û Şîretên Dadwerî";"Tram 4 → Breite Straße";"2.û 4.Pên.di Heyvêde 16–18h
";"Şêwermendiya civakî"
71;"Atari";"Şêwermendiya Civakî û Şîretên Dadwerî
";"Tram 4 → Breite Straße";"Yek.15h";
72;"Bürgertreff Volkmarsdorf";"Şêwermendiya Civakî û Şîretên Dadwerî";"Tram 3, 8 → Torgauer Platz";"şîretêncivakî:
Duş.13–15h
Çar.–În.9–18h
Şîretêndadwerî:
1. Duş. di heyvêde 13 –15h
4. Çar. de heyvêde 16 –18h";"Xizmetên şîretên nav-kulturî di gelek zimanan de: Erebî, Almanî, Kurdî, Romanî, Rûsî, Ispanî, Turkî, Vitnamî"
73;"Infobus";"ŞêwermendiyaCivakî û Şîretên Dadwerî
";"Tram 3 → Arcus Park.";"Çar. 17 h";"Şîretên dadwerî yên Mobîl"
74;"Islamic Al–Sahra Center e.V.";"Cihên Ol û Ayînê";"Tram 3, 7, 8, 15, Bus 74, 130, 131 → Angerbrücke";"Limêja înê:
14h bi demê havînî
13 h bi demê distanî";
75;"Synagoge und Begegnungszentrum Leipzig e.V.";"Cihên Ol û Ayînê";"Tram 4, 7, 12, 15, Bus 69 → Johannisplatz";;
76;"Evangelisch–Lutherische St. Trinitatis–Gemeinde Leipzig";"Cihên Ol û Ayînê";"Tram 2, 8, 9, 10, 11, 14 → Wilhelm–Leuschner–Platz";;
77;"Leipzig English Church";"Cihên Ol û Ayînê";"Tram 10, 11, Bus 60, 74 → K.–Liebknecht- / K.–Eisner–Str.";"Yak. 10.30 h û18.30h";"Municipal House Andreaskirche"
78;"Russische Gedächniskirche";"Cihên Ol û Ayînê";"Tram 2, 16, Bus 74 → Deutsche Nationalbibliothek";"Yek.10h";
79;"Ukranian Greek Catholic Church";"Cihên Ol û Ayînê";"Tram 4, Bus 70, S–Bahn 1, 3 → Ribeck– / Stötteritzerstr.";"yek.14h";
80;"Evangelische Koreanische Gemeinde in Leipzig";"Cihên Ol û Ayînê";"Tram 1, 3, 8 → Einertstraße";"yek.11h";
81;"Leipziger Zentrum für islamische Kultur und Forschung e.V.";"Cihên Ol û Ayînê";"Tram 1, 3, 8 → Einertstraße";"Limêja Înê bi Turkî 14h demê havînî
13h demê distanî";"Mizgefta Takva"
82;"Ahmadiyya Muslim Gemeinde";"Cihên Ol û Ayînê";"Tram 1, 3, 8, Bus 70 → H.–Liebmann– / Eisenbahnstr.";"Limêja Înê:
14h demê havînî
13 h demê distanî";
83;"Vietnamesisch–Buddhistische Gemeinde Leipzig e.V.";"Cihên Ol û Ayînê";"Tram 3 → Bautznerstr.";"Yek.10–16h";
84;"Gurdwara Gurmat Parchar e.V.";"Cihên Ol û Ayînê";"Tram 7, 8, Bus 90 → Barbarastr.";"8–20h:rojana";
85;"Salve";;"Tram 8, 15 → Lützner-/ Merseburger Str.";;"(Vermittlung von ÜbersetzterInnen)"
86;"Salve";"Korsên Fêrkirina Ziman";"Tram 8, 15 → Lützner-/ Merseburger Str.";"Duş.,Çar. 10.30 –12 h: Destpêker Sêş., Pên. 13.30 –15 h: Pêşketî";
87;"Die VILLA
Navenda Civakultûr";"Korsên Fêrkirina Ziman";"Tram 3, 4, 7, 15 → Leibnizstr. Tram 1, 14 → Gottschedstr.";"Sêş. 20 h: Soirée Polyglotte";"Soiree Polyglotte: hevdîtinên vekirî ji gelek zimanên cuda re. Mêhvan bi
Hev re tên di atmosfîreke nerm de.
Li ser her mazeyekê zimanekî taybet tê axaftin. di qehwexaneya jêrzemîna Vêleyê de"
88;"Caritashaus Leipzig";"Korsên Fêrkirina Ziman";"Tram 1, 2, 8, 14 → Westplatz";"Sêş.13.30–15h: Pêşketî
Pên 13.30 –15h: hevpeyvîn";
89;"Uni Leipzig Sprachtandem";"Korsên Fêrkirina Ziman";"Tram 4, 7, 8, 10, 11, 12, 14, 15, 16 → Augustusplatz";"Demên ofîsê:Duş.14–16h û Pên.9–11h";"her wiha vekiriye ji nexwendevanan re! Rêkxistina veguhestina ziman
Ji bo fêrkirina hevpar û rahênana (bikaranîna) gelek zimanên cuda. Odeya 901/9. qat"
90;"Flüchtlingsrat e.V.";"Korsên Fêrkirina Ziman";"Tram 1, 2, 8, 14 → Westplatz";"Duş.11–12.30h
Pên.15–16.30h: destpêker
Pên.13–15h: pêşketî
";"Heger pêwîst be, imkaniya
Dayîna wanyên taybet jî heye li vir."
91;"Gesellschaft für Völkerverständigung";"Korsên Fêrkirina Ziman";"Tram 9, 10, 11, Bus 70, 89, 107 → Connewitzer Kreuz";"Çar. 15–17h";"Korsên ziman ji destpêkeran re
Ji ber fêmkirina jiyana rojana; 8 €/ heyvek ji dayînê"
92;"Deutsch–Russisches Zentrum Sachsen e.V.";"Korsên Fêrkirina Ziman";"Tram 9, 10, 11, Bus 70, 89, 107 → Connewitzer Kreuz";"Duş., Çar. 9 –12 h destpêker
Sêş., Pên. 12 –15h pêşketî
";
93;"2ek";"Korsên Fêrkirina Ziman";"Tram 4 → Breite Straße";"Yek. 14–15.30h";"Korsatîpên Almanî"
94;"Okul ABC–Schule";"Korsên Fêrkirina Ziman";"Tram 1, 3, 8 → Einertstraße";;"Korsatîpên Almanî ji mezinan re; her car belaş e yan jî
Gelek arzan (1€/her seat)"
95;"Infobus";"Korsên Fêrkirina Ziman";;;
96;"Kinder–, Jugend– & Familienzentrum Grünau";"Gençler ve çocuklar için
bulușma noktaları";"Tram 1 → Krakauerstr.";;"Çalakî di demên valahiyê de û şêwermendî ji zarok, genc û malbatan re, hevdîtinên vekirî, qehwe, kargehên pêşketî û çalakiyên kultûrî."
97;"Jugendmigrationsdienst Leipzig";"Cihên Hevdîtinê yê Zarokû Gencan";"Tram 16 → Mosenthinstraße";;"Pêşkêşkirina proje û piştgiriya
Yekgirtina zarokên penaber, temen mezin û gencan, di warê perwerdehiyê, rahênan, kar, werziş, muzîk û internet
"
98;"Die VILLA Navenda Civakultûr";"Cihên Hevdîtinê yê Zarokû Gencan";"Tram 3, 4, 7, 15 → Leibnizstr. Tram 1, 14 → Gottschedstr.";"Duş. ji14–19h:
Bikaranîna Computer ê; hilkişandina dîwaran, 9 salî û mezintir
Duş. 17 –18 h: hatha yoga
Çar.16.30–18.30h:

Sêrk ji zarokên 6–14 salî
Çar.17–19h:
Reqsa Afrîkî ya rojava, 16 salî û mezintir Çar. ji19h
Werin em bileyizin–goka li ser mazeyê, t";
99;"Begegnungsstätte Mühlstraße e.V.";"Cihên Hevdîtinê yê Zarokû Gencan";"Tram 12, 15 → Witzgallstr.     Tram 4, Bus 60, 70 → Riebeck– / Oststraße";;"Hevdîtinên karîger û civakî temenan re. Komên dayik-zarok
Malbat piştî nîvro, xwarinên navkultûrî, korsên berdevk û waneyên daholê (def)"
100;"2ek";"Cihên Hevdîtinê yê Zarokû Gencan";"Tram 4, Bus 70, 72, 73 → Breite Str.";"Pên.18.30h–20.00h";
101;"OFT Rabet";"Cihên Hevdîtinê yê Zarokû Gencan";"Tram 1, 3, 8, Bus 70 → H.–Liebmann– / Eisenbahnstr.";;"Hevdîtina vekirî di bexçeya taxê de, di malê de
bi awayekî rengdêr:
kickboxing, breakdancing, xwarin çêkirin roja Sêşemê Q–Club, etc.
"
102;"Naomi e.V.";"Cihên Hevdîtinê yê Zarokû Gencan";"Tram 1, 3, 8, Bus 70 → H.–Liebmann– / Eisenbahnstr.";"Sêş.,Çar.û Pên.13–17h:
Odeya computer ê
";"seminar, kors û kargehên hunerî"
103;"MiO – Der Mädchentreff im Osten
(XalaHevdîtinaKeçan
Di Rojhelatêde)";"Cihên Hevdîtinê yê Zarokû Gencan";"Tram 1, 3, 8, Bus 70 → H.–Liebmann– / Eisenbahnstr.";"Çar. 15–18h";"Çalakiyên pêkenok ji bo keçikan,
Hevdîtinên navkultûrî, karên resen û alîkariyên bi karên malê re"
104;"G16 Fahrradselbsthilfewerkstatt";"Kargeh
(Bisklêt)";"Tram 14 → Gießerstraße";"Sêş.15h";
105;"sublab";"Kargeh
(Teknîkên-Elektrîk)";"Tram 14 → Karl-Heine–Str. / Merseburgerstr.";"Pên.18h";
106;"Fahrrad- und Holzwerkstatt
(KargehaTep û Bisklêtan)";"Kargeh";"Tram 8, 15 → Lützner-/ Merseburger Str.";"Sêş.18–20h";
107;"Café Kaputt";"Kargeh (Amanên bingehîn)";"Tram 7 → G.–Schwarz- / Merseburger Str.";"Sêş. 18 –20h: Tep etc. Çar. 15 –19 h: Ilktronîk Pên.16–18h: Cûmkerî";"bi bexşandin tu dikarê tiştên xwe çê bikê, Em amûra û parçeyên tiştan peyda dikin û tu ji xwe re hazir bike"
108;"2ek";"Kargeh
(Cûmkerî)";"Tram 4 → Breite Straße";"Çar.16–18h";"Odeya dirûnê"
109;"Wu";"Kargeh
(Amanên bingehîn)";"Tram 4, 7, Bus 72, 73 → Reudnitz,Koehlerstr.";"Mo. 17 h 1. Di. im Monat ab 15 h Offene Textilwerkstatt";"Repaircafé"
110;"109";;"Tram 3, 8 → Torgauer Platz";"Mo. 13 h";"Keramikwerkstatt"
111;"Radsfatz Fahrradselbsthilfe (Bisiklet tamiri)";"Kargeh (Bisklêt)";"0";"Sêş.14–18h Pên.12–18h
2./4.Çar. Di heyvêde15–19h";
112;"Wagenplatz RhizomiA";"Kargeh  (Cûmkerî)";"Tram 3, 8 → Torgauer Platz";"3. Sêş. Di heyvêde 15 h";"Kargeha dirûnê ya vekirî"
113;"Volkspark / Küchenholz";"Sirûşt";"Tram 3 → Schwartzestraße / Bus 60 → Rödelstraße";;
114;"Göller Markkleeberger See";"Sirûşt";"Tram 11 → Schillerplatz";;
115;"Göller Cospudener See";"Sirûşt";"Tram 9 → Roßplatz / Bus 65 → Cospudener-See, Nordstrand";;
116;"Nahleberg";"Sirûşt";"Tram 10,11, S-Bahn 1 → S-Bf. Möckern / Bus 67 → Leutzsch, Strbf";;
117;"Göller Auensee";"Sirûşt";"Bus 80 → Auensee";;
118;"Rabet";"Sirûşt";"Tram 1, 3, 8, Bus 70 → H.–Liebmann– / Eisenbahnstr.";;
119;"Naturbad Nord-Ost (Thekla-See, Bagger)";"Sirûşt";"Tram 9, Bus 70, 79, 80, 81, 82, 83 → Thekla";;
120;"Göller Kulkwitzer See";"Sirûşt";"Tram 1, 2 → Lausen";;
121;"Johannapark";"Sirûşt";"Tram 1, 2, 8, 14 → Westplatz";;
122;"Mariannenpark";"Sirûşt";"Tram 1 → Stannebeinplatz";;
123;"Lene-Voigt-Park";"Sirûşt";"Tram 12, 15, Bus 60 → Ostplatz";;
124;"Friedenspark";"Sirûşt";"Tram 12, 15, Bus 60 → Ostplatz / Tram 2, 16 → Deutsche Nationalbibliothek";;
125;"Auewald";"Sirûşt";"Tram 9 → Mathildenstraße / Bus 70 → Connewitzer Kreuz";;
126;"Wildpark";"Sirûşt";"Tram 9, Bus 107 → Wildpark";;
127;"Fockeberg";"Sirûşt";"Tram 9, 10, 1 / Bus 70, 89 → HTWK";;
128;"Basketbol ve Masa Tenisi";"Werziş";"Tram 4, Bus 74, 79 → Kolmstr.";;
129;"Basketbol";"Spor";"Tram 10, 16 → An der Märchenwiese";;
130;"Futbol, Basketbal, Volleybol";"Werziş";"Tram 10, 16 → Moritz Hof";;
131;"Basketbol, Futbol, Masa Tenisi, Skating";"Werziş";"Tram 1, 3, 8, Bus 70 → H.–Liebmann– / Eisenbahnstr.";;
132;"K4 tırmanma kayaları, Basketbol veFutbol";"Werziş";"Tram 1, 2, Bus 65 → Stuttgarter Allee";;
133;"Futbol";"Werziş";"Tram 15 → Saturnstr.";;
134;"Futbol";"Werziş";"Tram 8, 15, Bus 66 → Parkallee";;
135;"Futbol sahası ve basketbol sahası";"Werziş";"Tram 8, 15, Bus 62, 65, S-Bahn 1 → Miltitzer Allee";;
136;"Basketbol ve Futbol";"Werziş";"Tram 8, 15 → Grünauer Allee";;
137;"Basketbol ve Futbol";"Werziş";"Tram 4, Bus 85, 90 / S-Bahn 1 → Coppiplatz";;
138;"Basketbol ve Volleybol";"Werziş";"Tram 12, 15 → Gutenbergplatz";;
139;"Basketbol";"Werziş";"Tram 2, 16, Bus 74 → Deutsche Nationalbibliothek";;
140;"Futbol";"Werziş";"Tram 2, 16, Bus 74 → Deutsche Nationalbibliothek";;
141;"Futbol";"Werziş";"Tram 4, 7 → Gerichtsweg";;
142;"Basketbol";"Werziş";"Tram 10, 11, Bus 60, 74 → K.–Liebknecht- / K.–Eisner–Str.";;
