"ID";"category";"subcategory";"name";"category original";"street";"zip";"city";"district";"arrival";"openinghours";"phone";"fax";"mail";"web";"facebook";"speakerprivate";"speakerpublic";"spokenlanguages";"description";"lat";"lon";"placename";"forchildren";"type";"subcat_afeefa";"category_afeefa"
11;"07f88130-7d98-4a20-bbb8-d0d98f55c553";"meeting-place";"Wagenplatz Karl Helga";"Café und Tresen";"Klingenstr. 18";;"Leipzig";"Plagwitz";"Tram 14 → Gießerstraße";"Mo. 20h";;;;;;;;;;"51.324503";"12.324937";;;0;;"community"
12;"07f88130-7d98-4a20-bbb8-d0d98f55c553";"meeting-place";"Plaque";"Café und Tresen";"Industriestr. 101";;"Leipzig";"Plagwitz";"Tram 14 → Gießerstraße";"Do. 20h";;;;;;;;;;"51.3282";"12.328283";;;0;;"community"
13;"07f88130-7d98-4a20-bbb8-d0d98f55c553";"meeting-place";"sublab";"Café und Tresen";"Karl–Heine–Str. 93";;"Leipzig";"Plagwitz";"Tram 14 → Karl-Heine–Str. / Merseburgerstr.";"Sa. 20h";;;;;;;;;;"51.330457";"12.330956";;;0;;"community"
14;"07f88130-7d98-4a20-bbb8-d0d98f55c553";"meeting-place";"Bäckerei";"Café und Tresen";"Josephstr. 12";;"Leipzig";"Lindenau";"Tram 8, 15 → Lützner-/ Merseburger Str.";"Mo.19h";;;;;;;;;;"51.335244";"12.333205";;;0;;"community"
15;"07f88130-7d98-4a20-bbb8-d0d98f55c553";"meeting-place";"Hinz und Kunz";"Café und Tresen";"Georg-Schwarz-Str. 9";;"Leipzig";"Lindenau";"Tram 7 → G.–Schwarz- / Merseburger Str.";"Sa. 10h";;;;;;;;;;"51.338659";"12.327068";;;0;;"community"
16;"07f88130-7d98-4a20-bbb8-d0d98f55c553";"meeting-place";"Schwarz 10";"Café und Tresen";"Georg-Schwarz-Str. 10";;"Leipzig";"Lindenau";"Tram 7 → G.–Schwarz- / Merseburger Str.";"Do. 20h , So. 10 h";;;;;;;;;;"51.338565";"12.327474";;;0;;"community"
17;"07f88130-7d98-4a20-bbb8-d0d98f55c553";"meeting-place";"Libelle";"Café und Tresen";"Kolonnadenstr. 19";;"Leipzig";"Zentrum";"Tram 1, 2, 8, 14 → Westplatz";"Sa. 20h";;;;;;;;;;"51.337967";"12.366106";;;0;;"community"
18;"07f88130-7d98-4a20-bbb8-d0d98f55c553";"meeting-place";"B12";"Café und Tresen";"Braustr. 20";;"Leipzig";"Südvorstadt";"Tram 10, 11 → Südplatz";"Di. 20h";;;;;;;;;;"51.326664";"12.37157";;;0;;"community"
19;"07f88130-7d98-4a20-bbb8-d0d98f55c553";"meeting-place";"Similde";"Café und Tresen";"Simildenstr. 9";;"Leipzig";"Connewitz";"Tram 9, 10, 11, Bus 70, 89, 107 → Connewitzer Kreuz";"Di. 20h , Do. 20 h";;;;;;;;;;"51.307687";"12.371588";;;0;;"community"
20;"07f88130-7d98-4a20-bbb8-d0d98f55c553";"meeting-place";"Manfred";"Café und Tresen";"Stockartstr. 5";;"Leipzig";"Connewitz";"Tram 9, 10, 11, Bus 70, 89, 107 → Connewitzer Kreuz";"Do. 20h";;;;;;;;;;"51.307612";"12.376696";;;0;;"community"
21;"07f88130-7d98-4a20-bbb8-d0d98f55c553";"meeting-place";"Liwi";"Café und Tresen";"Stockartstr. 11";;"Leipzig";"Connewitz";"Tram 9, 10, 11, Bus 70, 89, 107 → Connewitzer Kreuz";"So. 20h";;;;;;;;;;"51.307927";"12.377054";;;0;;"community"
22;"07f88130-7d98-4a20-bbb8-d0d98f55c553";"meeting-place";"Zoro";"Café und Tresen";"Bornaische Str. 54";;"Leipzig";"Connewitz";"Tram 9, 10, 11, Bus 70, 89, 107 → Connewitzer Kreuz";"Di. 20h";;;;;;;;;;"51.306932";"12.38003";;;0;;"community"
23;"07f88130-7d98-4a20-bbb8-d0d98f55c553";"meeting-place";"2ek";"Café und Tresen";"Zweinaundorferstr. 22";;"Leipzig";"Reudnitz";"Tram 4, Bus 70, 72, 73 → Breite Str.";"So. 15.30h";;;;;;;;;;"51.33475";"12.411881";;;0;;"community"
24;"07f88130-7d98-4a20-bbb8-d0d98f55c553";"meeting-place";"Atari";"Café und Tresen";"Kippenbergstr. 20";;"Leipzig";"Reudnitz";"Tram 4, Bus 70, 72, 73 → Breite Str.";"Mo. 20h";;;;;;;;;;"51.336094";"12.40622";;;0;;"community"
25;"07f88130-7d98-4a20-bbb8-d0d98f55c553";"meeting-place";"N.U.R.";"Café und Tresen";"Mariannenstr. 89";;"Leipzig";"Volkmarsdorf";"Tram 1, 3, 8, Bus 70 → H.–Liebmann– / Eisenbahnstr.";"Do. 20h";;;;;;;;;;"51.346883";"12.408505";;;0;;"community"
26;"07f88130-7d98-4a20-bbb8-d0d98f55c553";"meeting-place";"109";"Café und Tresen";"Eisenbahnstr. 109";;"Leipzig";"Volkmarsdorf";"Tram 3, 8 → Torgauer Platz";"Do. 13h , Fr. 21 h";;;;;;;;;;"51.345391";"12.4112";;;0;;"community"
27;"07f88130-7d98-4a20-bbb8-d0d98f55c553";"meeting-place";"Japanisches Haus";"Café und Tresen";"Eisenbahnstr. 113 b";;"Leipzig";"Volkmarsdorf";"Tram 3, 8 → Torgauer Platz";"Sa. 19h";;;;;;;;;;"51.345352";"12.412122";;;0;;"community"
28;"adfb2457-819c-4574-ace1-56f5b38d8f96";"gardening";"Anna Linde Gemeinschaftsgarten";"Gärten";"Zschochersche Str. 12";;"Leipzig";"Lindenau";"Tram 3, 14, Bus 74 → Felsenkeller";"Fr. 16—19 h , Sa. 14—19 h";"0152 / 21 65 54 36";;"info@annalinde-leipzig.de";"www.annalinde-leipzig.de";;;;;;"51.334053";"12.339279";;;0;;
29;"adfb2457-819c-4574-ace1-56f5b38d8f96";"gardening";"Nachbarschaftsgärten";"Gärten";"Josephstr. 27";;"Leipzig";"Lindenau";"Tram 3, 14, Bus 74 → Felsenkeller";"Fr 14 — 19 h , zu bestimmten Anlässen sind andere Termine für Gartennutzer_innen sowie Vereine und andere Gruppierungen nach Absprache möglich";;;"info@nachbarschaftsgaerten.de";;;;;;;"51.333718";"12.334234";;;0;;"leisure time"
30;"adfb2457-819c-4574-ace1-56f5b38d8f96";"gardening";"Botanischer Garten der Universität Leipzig";"Gärten";"Linnéstr. 1";;"Leipzig";"Zentrum-Ost";"Tram 12, 15, Bus 60 → Ostplatz";"Mo.—Fr. 10—16 h";"0341 / 9 73 68 50";;"botgasek@uni-leipzig.de";;;;;;"Eintritt frei. Eintrittspreise für Sonder­veranstaltungen und Ausstellungen.";"51.32999";"12.39259";;;0;;"leisure time"
31;"adfb2457-819c-4574-ace1-56f5b38d8f96";"gardening";"Querbeet";"Gärten";"Neustädter Str. 20";;"Leipzig";"Volkmarsdorf";"Tram 1, 3, 8 → Einertstraße";"Di. 9.30—14 h, 16—19 h ,Do. 16—19 h, Sa. 10 h—abends";;;"info@querbeet-leipzig.de";"www.querbeet-leipzig.de";;;;;;"51.346225";"12.400439";;;0;;"leisure time"
32;"07f88130-7d98-4a20-bbb8-d0d98f55c553";"meeting-place";"Bäckerei";"Geschützte Räume";"Josephstr. 12";;"Leipzig";"Lindenau";"Tram 8, 15 → Lützner-/ Merseburger Str.";"1. Montag im Monat  Essen gegen Spende nur für Frauen, Lesben und Transsexuelle , Mi. 15—18 h Café für und mit Geflüchteten Frauen , Mi. 20 h joseph_ine: queer-feministischer Abend";;;;;;;;;;"51.335244";"12.333205";;;0;;"community"
33;"df402493-f467-4472-8b98-9038d2ac967e";"women-counselling";"Frauen für Frauen e.V. Leipzig";"Geschützte Räume";"Karl–Liebknecht–Str. 59";;"Leipzig";"Südvorstadt";"Tram 10, 11 → Südplatz";" 1. u. 3. Mi. im Monat 13—17 h";"0341 / 3 06 88 96, 0341 / 3 91 11 99 (Notruf)";;;;;;;;"Frauenberatungsstelle (Termine nach telefonischer Vereinbarung)";"51.32516";"12.37393";;;0;;"consultation"
34;"adfb2457-819c-4574-ace1-56f5b38d8f96";"craft-art";"Soziokulturelles Zentrum Frauenkultur";"Geschützte Räume";"Windscheidstr. 51";;"Leipzig";"Connewitz";"Tram 9, 10, 11, Bus 70, 89, 107 → Connewitzer Kreuz";;"0341 / 2 13 00 30";;"hallo@frauenkultur-leipzig.de";"www.frauenkultur-leipzig.de";;;;;"Förderung künstlerisch arbeitender Frauen und Mädchen. Ort der sozialen Kommunikation und Integration, besonders für Frauen.";"51.30975";"12.36985";;;0;;"leisure time"
35;"07f88130-7d98-4a20-bbb8-d0d98f55c553";"lgbt";"RosaLinde e.V.";"Geschützte Räume";"Langestr. 11";;"Leipzig";"Reudnitz";"Tram 4, 7 → Gerichtsweg";"Mo. 14—18 h , Beratungssprechzeiten: Di. 12—18 h , Mi. 12—13 h nach Vereinbarung,  Di.—Sa. 19—22 h Cafè";"0341 / 8 79 69 82, 0341 / 8 79 01 73";;;;;;;;"Informations- und Beratungsstelle für Lesben, Schwulen, Bi-, Trans-, Inter- und Asexuelle (Voranmeldung erwünscht)";"51.340196";"12.393611";;;0;;"community"
36;"df402493-f467-4472-8b98-9038d2ac967e";"women-counselling";"Internationale Frauen Leipzig e.V.";"Geschützte Räume";"(Bürgertreff Volkmarsdorf) Konradstr. 60 a";;"Leipzig";"Volkmarsdorf";"Tram 3, 8 → Torgauer Platz";"Mo. 13—15 h , Mi., Fr. 9—18 h Beratung";"0341 / 6 88 89 40";;;;;;;;;"51.344384";"12.409445";;;0;;"consultation"
37;"07f88130-7d98-4a20-bbb8-d0d98f55c553";"meeting-place";"womens*space (109)";"Geschützte Räume";"Eisenbahnstr. 109";;"Leipzig";"Volkmarsdorf";"Tram 1, 3, 8, Bus 70 → H.–Liebmann– / Eisenbahnstr.";"So. 15.30 h";;;;;;;;;"Ein geschützter Raum in für Frauen zum lachen, reden und gemeinsam Zeit zu verbringen. Kinder sind auch willkommen.";"51.345391";"12.4112";;;0;;"community"
38;"adfb2457-819c-4574-ace1-56f5b38d8f96";"craft-art";"Radsfatz Fahrradselbsthilfe";"Geschützte Räume";"Eisenbahnstr. 113 b";;"Leipzig";"Volkmarsdorf";"Tram 3, 8 → Torgauer Platz";" 1., 3. u. 5. Mi. im Monat 15 -19 h";;;;;;;;;"Fahrradwerkstatt für FLIT*";"51.345352";"12.412122";;;0;;"leisure time"
39;"07f88130-7d98-4a20-bbb8-d0d98f55c553";"meeting-place";"G16";"Internet und Telefon";"Gießerstr. 16";;"Leipzig";"Plagwitz";"Tram 14 → Gießerstraße";"Mo., Do. 15—20 h Infoladen";"0341 / 4 80 32 02";;"infoladen_g16@riseup.net";"www.infoladeng16.blogsport.de";;;;;"Infoladen, freies Internet";"51.32792";"12.32766";;;0;;"community"
40;"07f88130-7d98-4a20-bbb8-d0d98f55c553";"meeting-place";"Die Villa – Soziokulturelles Zentrum";"Internet und Telefon";"Lessingstr. 7";;"Leipzig";"Zentrum";"Tram 3, 4, 7, 15 → Leibnizstr. oder Tram 1, 14 → Gottschedstr.";"Mo.—Fr. 14—19 h";"0341 / 3 55 20 40";;"hauszentrale@villa-leipzig.de";;;;;;"Freie Computernutzung";"51.33426";"12.43942";;;0;;"community"
41;"07f88130-7d98-4a20-bbb8-d0d98f55c553";"meeting-place";"Libelle";"Internet und Telefon";"Kolonnadenstr. 19";;"Leipzig";"Zentrum";"Tram 1, 2, 8, 14 → Westplatz";"Do. 15—18 h";"0341 / 2 24 66 50";;"kontakt@libelle-leipizg.de";"www.libelle-leipzig.de";;;;;"Computernutzung";"51.337967";"12.366106";;;0;;"community"
42;"07f88130-7d98-4a20-bbb8-d0d98f55c553";"housing-project";"B12";"Internet und Telefon";"Braustr. 20";;"Leipzig";"Südvorstadt";"Tram 10, 11 → Südplatz";" 10 h täglich";"0341 / 9 61 38 24";;"b-12@gmx.net";;;;;;"Freie Computernutzung";"51.326664";"12.37157";;;0;;"community"
43;"07f88130-7d98-4a20-bbb8-d0d98f55c553";"youth-club";"Conne Island";"Internet und Telefon";"Koburgerstr. 3";;"Leipzig";"Connewitz";"Tram 9 → Koburger Brücke";"Di.—Do. 17—20 h";"0341 / 3 02 65 04";;"asyl@conne–island.de, leipzig@infoladen.net";"www.conne-island.de";;;;;"Computer und Infoladen";"51.30239";"12.37458";;;0;;"commubity"
44;"d29bbe86-ecd6-42df-8054-70a90ec7b535";"political-education";"LinXXnet";"Internet und Telefon";"Bornaische Str. 3 d";;"Leipzig";"Connewitz";"Tram 9, 10, 11, Bus 70, 89, 107 → Connewitzer Kreuz";"Mo.—Fr. 10—18.30 h Internet";"0341 / 3 08 11 99";;"kontakt@linxxnet.de";"www.linke-bueros.de";;;;;;"51.30953";"12.37487";;;0;;"Job+Education"
45;"07f88130-7d98-4a20-bbb8-d0d98f55c553";;"109 Kunstraum E";"Internet und Telefon";"Eisenbahnstr. 109";;"Leipzig";"Volkmarsdorf";"Tram 3, 8 → Torgauer Platz";"Do. 11—15 h";;;;;;;;;"Internet, Drucker, Scanner, Kopierer";"51.345391";"12.4112";;;0;;"community"
46;"07f88130-7d98-4a20-bbb8-d0d98f55c553";;"Wagenplatz RhizomiA";"Internet und Telefon";"Schultze-Delitzsch-Str. / Bennigsenstr.";;"Leipzig";"Volkmarsdorf";"Tram 3, 8 → Torgauer Platz";"So. 14 h";;;"rhizomia@riseup.net";"www.rhizomia.noblogs.org";;;;;"Büro– und Infowagen";"51.346475";"12.413969";;;0;;"community"
47;"744f41e9-799c-432b-a9a3-e78d471ec51a";;"Caritasladen und Möbeldienst";"Kleidung und Kram";"Elsterstr. 15";;"Leipzig";"Grünau";"Tram 8, 15 → Grünauer Allee";"Mo. 12—17 h , Di.—Fr. 10—17 h";;;;;;;;;"Kleidung, Spielzeug, Schulbedarf und Möbel";"51.339184";"12.366215";;;0;;"donations"
48;"744f41e9-799c-432b-a9a3-e78d471ec51a";;"Seniorenhaus Selbsthilfe Plagwitz e.V.";"Kleidung und Kram";"Karl–Heine–Str. 41";;"Leipzig";"Plagwitz";"Tram 3, 14, Bus 74 → Felsenkeller";"Mi., Fr. 10—17 h";;;;;;;;;"Kleidung und Hausrat, Kartenspiel";"51.332189";"12.337364";;;0;;"donations"
49;"744f41e9-799c-432b-a9a3-e78d471ec51a";"clothes";"Advent Wohlfahrtswerk e.V.";"Kleidung und Kram";"Karl–Heine–Str. 8";;"Leipzig";"Plagwitz";"Tram 14 → Nonnenstr.";" 1. u. 3. Mi. im Monat 13—17 h";;;;;;;;;"Kleidung, kostenlos: Unterwäsche, Baby- und Kleinkindsachen";"51.33238";"12.3472";;;0;;"donations"
50;"744f41e9-799c-432b-a9a3-e78d471ec51a";;"DRK Kleiderkammer";"Kleidung und Kram";"Birkenstr. 26";;"Leipzig";"Lindenau";"Tram 3, 14, Bus 74 → Felsenkeller";"Mo., Di., Do. 10—12 h , Mi. 13—17 h , Fr. 10—12 h";;;;;;;;;"Kleidung aller Art, Möbel";"51.33329";"12.337112";;;0;;"donations"
51;"744f41e9-799c-432b-a9a3-e78d471ec51a";;"Diakonie Passgenau";"Kleidung und Kram";"Georg-Schuhmann-Str. 172";;"Leipzig";"Gohlis";"Tram 10, 11 → Dantestraße";"Di.—Fr. 11—18 h";;;;;;;;;"Kleidung, Hausrat, Spielzeug";"51.366862";"12.347236";;;0;;"donations"
52;"744f41e9-799c-432b-a9a3-e78d471ec51a";;"Diakonie Leipziger Oase";"Kleidung und Kram";"Nürnbergerstr. 3";;"Leipzig";"Zentrum";"Tram 4, 7, 12, 15, Bus 690 → Johannisplatz";"Mi., Fr. 10—14 h";;;;;;;;;"Kleidung, Hausrat, Spielzeug";"51.337637";"12.385031";;;0;;"donations"
53;"744f41e9-799c-432b-a9a3-e78d471ec51a";;"Deutsches Rotes Kreuz Kreisverband Leipzig Stadt e.V.";"Kleidung und Kram";"Brandvorwerkstr. 36 a";;"Leipzig";"Südvorstadt";"Tram 10, 11 → K.–Liebknecht–Str. / K.–Eisnerstr.";"Mo. 8—12 h, 13—17 h ,  Di. 14—18 h , Mi. 9—12 h, 14—17 h";;;;;;;;;"Kleidung aller Art, Hausrat";"51.32156";"12.36683";;;0;;"donations"
54;"744f41e9-799c-432b-a9a3-e78d471ec51a";;"Con Han Hop";"Kleidung und Kram";"Eisenbahnstr. 97";;"Leipzig";"Volkmarsdorf";"Tram 1, 3, 8, Bus 70 → H.–Liebmann– / Eisenbahnstr.";"Fr. 15 h";;;;;;;;;;"51.345523";"12.40871";;;0;;"donations"
55;"744f41e9-799c-432b-a9a3-e78d471ec51a";;"N.U.R.";"Kleidung und Kram";"Mariannenstr. 89";;"Leipzig";"Volkmarsdorf";"Tram 1, 3, 8, Bus 70 → H.–Liebmann– / Eisenbahnstr.";"Do. 19 h";;;;;;;;;;"51.346883";"12.408505";;;0;;"donations"
56;"744f41e9-799c-432b-a9a3-e78d471ec51a";;"Bürgerverein Schönefeld";"Kleidung und Kram";"Clara-Wieckstr. 8";;"Leipzig";"Schönefeld";"Tram 1 → Stöckelstraße";"Mo.—Do. 9—12 h, 14—17 h, Fr. 9—12 h";;;;;;;;;"Kleidung, Babyausstattung, Bücher, Kinderspielzeug, Schulbedarf";"51.355266";"12.412358";;;0;;"donations"
57;"fa815876-ad1d-433e-87ff-8de20639e2b1";;"Anonyme Alkoholiker";"Medizinische und psychologische Hilfe";;;"Leipzig";;;;;;;"www.anonyme-alkoholiker.de";;;;;"Treffen der Anonymen Alkoholiker finden jeden Tag außer sonntags in verschiedenen Stadtteilen statt. Eine Liste der Adressen und Uhrzeiten findest du auf der Internetseite :";"51.339696";"12.373075";;;0;;"health care"
58;"fa815876-ad1d-433e-87ff-8de20639e2b1";;"Deutsches Rotes Kreuz Kreisverband Leipzig Stadt e.V.";"Medizinische und Psychologische Hilfe";"Brandvorwerkstr. 36 a";;"Leipzig";"Südvorstadt";"Tram 10, 11 → K.–Liebknecht–Str. / K.–Eisnerstr.";"Mo., Do. 9—14 h";"0341 / 3 03 51 20";;"schwangerenberatung@drk-leipzig.de";;;;;;"Schwangerschafts- und Familienberatungsstelle";"51.32156";"12.36683";;;0;;"health care"
59;"fa815876-ad1d-433e-87ff-8de20639e2b1";;"Medinetz Leipzig";"Medizinische und Psychologische Hilfe";"Kurt–Eisner–Str. 40";;"Leipzig";"Südvorstadt";"Tram 10, 11 → K.–Liebknecht–Str. / K.–Eisnerstr.";"Di. 16—18 h Sprechstunde";"0341 / 1 25 98 41, 0176 / 61 72 75 01";;"kontakt@medinetz-leipzig.de";;;;;;"Die Vermittlung und Beratung sind nichtstaatlich, kostenlos und anonym. In der wöchentlichen Sprechstunde werden die benötigten Termine mit Ärztinnen und Ärzten vereinbart, die sich bereit erklärt haben, die Behandlung kostengünstig und vertraulich ";"51.320655";"12.368418";;;0;;"health care"
60;"fa815876-ad1d-433e-87ff-8de20639e2b1";;"Haus Steinstraße e.V.";"Medizinische und Psychologische Hilfe";"Steinstr. 18";;"Leipzig";"Südvorstadt";"Tram 10, 11 → K.–Liebknecht–Str. / K.–Eisnerstr.";;;;"psychologische-beratung-therapie@web.de";;;;;;"Psychologische Beratungsangebote Termine nach Vereinbarung";"51.317656";"12.370602";;;0;;"health care"
61;"fa815876-ad1d-433e-87ff-8de20639e2b1";;"Aids Hilfe Leipzig";"Medizinische und Psychologische Hilfe";"Ossietzkystr. 18";;"Leipzig";"Schönefeld";"Tram 1 → Ossietzky- / Gorkistraße";"Di., Do. 15—21 h ,  1. Mo. im Monat 13—15 h,  4. Mi. im Monat 16—18 h";"0341 / 2 32 31 26, 0700 / 4 45 33 43 41 Telefonische Beratung";;"info@leipzig.aidshilfe.de";;;;;;"Beratung und Betreuung für HIV und Aids sowie anderen sexuell übertragbaren Krankheiten";"51.35944";"12.415994";;;0;;"health care"
62;"adfb2457-819c-4574-ace1-56f5b38d8f96";;"Conne Island";"Musik";"Koburgerstr. 3";;"Leipzig";"Connewitz";"Tram 9 → Koburger Brücke";;"0341 / 3 01 30 28";;"asyl@conne-island.de";;;;;;"Asylsuchende können an Konzerten, Lesungen etc. gegen eine Spende zur Bildungsoffensive (50 ct) teilnehmen.";"51.30239";"12.37458";;;0;;"leisure time"
63;"adfb2457-819c-4574-ace1-56f5b38d8f96";;"Müzik–Stüdyo.74";"Musik";"Torgauerstr. 74";;"Leipzig";"Volkmarsdorf";"Tram 3 → Volksgarten";;"0341 / 3 55 20 40";;"music-for-people@villa-leipzig.de";"www.facebook.com/MuzikStudyo.74";;;;;"Hier kannst du Leute treffen und Musik machen, mit und ohne Vorkenntnissen. Es gibt Proberäume, ein Studio, Equipment und Instrumente. Musiker_innen können dir vor Ort helfen.";"51.347503";"12.42034";;;0;;"leisure time"
64;"df402493-f467-4472-8b98-9038d2ac967e";;"Salve";"Sozial- und Rechtsberatung";"Odermannstr. 19";;"Leipzig";"Lindenau";"Tram 8, 15 → Lützner-/ Merseburger Str.";"Mo.—Fr. 9.30—17 h";"0341 / 4 20 60 97";;"salve-raa-leipzig@gmx.de";;;;;;"Kontakt- und Beratungsstelle im Leipziger Westen für Migrant_innen. Unterstützung beim Ämter- und Behördenverkehr, Fragen rund ums Wohnen und Bildungsangebote.";"51.336287";"12.333056";;;0;;"consultation"
65;"df402493-f467-4472-8b98-9038d2ac967e";;"Caritashaus Leipzig";"Sozial- und Rechtsberatung";"Elsterstr. 15";;"Leipzig";"Zentrum";"Tram 1, 2, 8, 14 → Westplatz";"Mo. 14 — 17 h , Fr. 9 — 12 h";"0341 / 9 63 61 36";;"t.englert@caritas-leipzig.de";;;;;;;"51.339184";"12.366215";;;0;;"consultation"
66;"df402493-f467-4472-8b98-9038d2ac967e";"legal-advice";"RefugeeLawClinic";"Sozial- und Rechtsberatung";"Burgstr. 27";;"Leipzig";"Zentrum";"Tram 2, 8, 9, 10, 11, 14 → Wilhelm–Leuschner–Platz";;;;;;;;;;"Rechtsberatung von geflüchteten Menschen";"51.337684";"12.373636";;;0;;"consultation"
67;"df402493-f467-4472-8b98-9038d2ac967e";"asylum-counselling";"Deutsches Rotes Kreuz Kreisverband Leipzig Stadt e.V.";"Sozial- und Rechtsberatung";"Brandvorwerkstr. 36 a";;"Leipzig";"Südvorstadt";"Tram 10, 11 → K.–Liebknecht–Str. / K.–Eisnerstr.";"Di. 12—14 h , Do. 9 — 11 h";"0341 / 3 03 51 28";;"migration@drk-leipzig.de";;;;;;"Migrationsberatung";"51.32156";"12.36683";;;0;;"consultation"
68;"df402493-f467-4472-8b98-9038d2ac967e";"legal-advice";"Haus Steinstraße e.V.";"Sozial- und Rechtsberatung";"Steinstr. 18";;"Leipzig";"Südvorstadt";"Tram 9, 10, 11 → HTWK";"Termine nach Vereinbarung";"0341 / 3 01 00 50";;"sabine.baumgart@haus-steinstrasse.de";;;;;;"Rechtsberatung";"51.317656";"12.370602";;;0;;"consultation"
69;"df402493-f467-4472-8b98-9038d2ac967e";"social-counselling";"LinXXnet";"Sozial- und Rechtsberatung";"Bornaische Str. 3 d";;"Leipzig";"Connewitz";"Tram 9, 10, 11, Bus 70, 89, 107 → Connewitzer Kreuz";"Mi. 10—16 h";"0341 / 3 08 11 99";;"sozialberatung@linxxnet.de";;;;;;"Sozialberatung";"51.30953";"12.37487";;;0;;"consultation"
