"ID";"name";"category";"arrival";"openinghours";"description"
39;"G16";"Internet ve telefon";"Tramvay 14 → Gießerstraße";"Pazartesi, Persembe 15 — 20 h";"Informasyon dükkani"
40;"Die VILLA Sosyal–Kültürel Merkez";"Internet ve telefon";"Tramvay 3, 4, 7, 15 → Leibnizstr. / Tramvay 1, 14 → Gottschedstr.";"Pazartesi — Cuma 14 — 19 h";"Bilgisayar"
41;"Libelle";"Internet ve telefon";"Tramvay 1, 2, 8, 14 → Westplatz";"Persembe 15 — 18 h";"Bilgisayar"
42;"B12";"Internet ve telefon";"Tramvay 10, 11 → Südplatz";"Hergün 10’dan itibaren";"Bilgisayar"
43;"Conne Island";"Internet ve telefon";"Tramvay 9 → Koburger Brücke";"Sali — Persembe 17 — 20 h";"Informasyon dükkani (ikinci katta)"
44;"LinXXnet";"Internet ve telefon";"Tramvay 9, 10, 11, Otobüs 70, 89, 107 → Connewitzer Kreuz";"Pazartesi — Cuma 10 — 18.30 h";
45;"109";"Internet ve telefon";"Tramvay 3, 8 → Torgauer Platz";"Persembe 11 — 15 h";"Internete girmek, cikti almak, kopya almak"
46;"Wagenplatz RhizomiA";"Internet ve telefon";"Tramvay 3, 8 → Torgauer Platz";"Pazar günleri, 14";"Büro– und Infowagen"
47;"Caritasladen und Möbeldienst";"Kıyafet ve bașka șeyler";"Tramvay 8, 15 → Grünauer Allee";"Pazartesi 12 — 17 h
Salı — Cuma 10 — 17 h";"Kiyafet, Oyuncak, Okul eșyaları ve ev eșyaları"
48;"Seniorenhaus Selbsthilfe Plagwitz e.V.";"Kıyafet ve bașka șeyler";"Tramvay 3, 14, Otobüs 74 → Felsenkeller";"Çarșamba, Cuma 10 — 17 h";"Kıyafet ve ev eșyaları"
49;"Advent Wohlfahrtswerk e.V.";"Kıyafet ve bașka șeyler";"Tramvay 14 → Nonnenstr.";"Ayin 1. / 3. çarșambası 13 — 17 h";"Kıyafet, bedava: iç çamașır, Bebek ve küçük çocuklar için eșyalar"
50;"DRK Kleiderkammer";"Kıyafet ve bașka șeyler";"Tramvay 3, 14, Otobüs 74 → Felsenkeller";"Pazartesi, Salı, Persembe 10 — 12 h,
13 — 14 h
Çarșamba 13 — 17 h
Cuma 10 — 12 h";"Kiyafet ve ev esyalari"
51;"Diakonie Passgenau";"Kıyafet ve bașka șeyler";"Tramvay 10, 11 → Dantestraße";"Salı — Cuma 11 — 18 h";"Kıyafet, Oyuncak ve ev eșyaları"
52;"Diakonie Leipziger Oase";"Kıyafet ve bașka șeyler";"Tramvay 4, 7, 12, 15, Otobüs 690 → Johannisplatz";"Çarșamba, Cuma 10 — 14 h";"Kıyafet, Oyuncak ve ev eșyaları"
53;"Deutsches Rotes Kreuz Kreisverband Leipzig Stadt e.V.";"Kıyafet ve bașka șeyler";"Tramvay 10, 11 → K.–Liebknecht–Str. / K.–Eisnerstr.";"Pazartesi 8 — 12 h, 13 — 17 h";"Kiyafet ve ev esyalari"
54;"Con Han Hop";"Kleidung und Kram";"Tramvay 1, 3, 8, Otobüs 70 → H.–Liebmann– / Eisenbahnstr.";"Fr. 15 h";
55;"N.U.R.";"Kıyafet ve bașka șeyler";"Tramvay 1, 3, 8, Otobüs 70 → H.–Liebmann– / Eisenbahnstr.";"Perșembe b 19 h";
56;"Bürgerverein Schönefeld";"Kıyafet ve bașka șeyler";"Tramvay 1 → Stöckelstraße";"Pazartesi — Persembe 9 — 12 h,
14 — 17 h
Cuma 9 — 12 h";"Kıyafet, Bebek eșyaları, Oyuncak, Okul eșyaları ve kitaplar"
57;"Adsız Alkolikler";"Tıbbi ve psikolojik destek";;;"AA toplantıları genellikle çeșitli semtlerde pazar günleri hariç her gün yapılır. Adresleri ve saatleri web sitesinde bulabilirsiniz:"
58;"Deutsches Rotes Kreuz Kreisverband Leipzig Stadt e.V.";"Tıbbi ve psikolojik destek";"Tramvay 10, 11 → K.–Liebknecht–Str. / K.–Eisnerstr.";"Pazartesi, Persembe 9 — 14 h
Salı 14 — 18 h
Çarșamba 9 — 12 h, 14 — 17 h";"Hamilelik ve Aile için Destek"
59;"Medinetz Leipzig";"Tıbbi ve psikolojik destek";"Tramvay 10, 11 → K.–Liebknecht–Str. / K.–Eisnerstr.";"Salı 16 — 18 h konsültasyon";"Danıșmanlık devlet diși, bağımsız ve anonimdir. Bu gönüllü doktorlar küçük ücretlere karsı sizi muayene ediyorlar."
60;"Haus Steinstraße e.V.";"Tıbbi ve psikolojik destek";"Tramvay 10, 11 → K.–Liebknecht–Str. / K.–Eisnerstr.";;"Psikolojik Destek Randevulu çalıșıyorlar"
61;"Aids Hilfe Leipzig";"Tıbbi ve psikolojik destek";"Tramvay 1 → Ossietzky- / Gorkistraße";"Salı / Persembe 15 — 21 h
Çarșamba 15 — 18 h";"HIV ve Aids hakkında bilgi ve diğer hastalıklar"
62;"Conne Island";"Müzik, Konserler, Eglence
Hayati";"Tramvay 9 → Koburger Brücke";;"Mülteciler konserlere, tiyatro oyunlarına ve okuma aksamlarına küçük bir bağıș’a karșı katılabilirler."
63;"Müzik–Stüdyo.74";"Müzik, Konserler, Eglence
Hayati";"Tramvay 3 → Volksgarten";;"Burada müzisyenlerle ve müzik ile uğrașan insanlarla tanıșabilirsin. Prova imkânları, stüdyo, gereken ne varsa burada bulabilirsin. Müzisyen arkadașlar sana yardımcı olacaktır."
64;"Salve";"Toplumsal ve Hukuki
Danıșmanlık";"Tramvay 8, 15 → Lützner-/ Merseburger Str.";"Pazartesi — Cuma 9.30 — 17 h";"Leipzig batısındaki göçmenler için İletișim ve danıșma merkezi . Bürokratik ve devlet ișlemleri için ve yanı sıra
yașam ve eğitim olanakları hakkında sorular için destek."
65;"Caritashaus Leipzig";"Toplumsal ve Hukuki
Danıșmanlık";"Tramvay 1, 2, 8, 14 → Westplatz";"Pazartesi 14 — 17 h
Cuma 9 — 12 h";
66;"RefugeeLawClinic";"Toplumsal ve Hukuki
Danıșmanlık";"Tramvay 2, 8, 9, 10, 11, 14 → Wilhelm–Leuschner–Platz";;"Rechtsberatung von geflüchteten Menschen (Übersetzung fehlt)"
67;"Deutsches Rotes Kreuz Kreisverband Leipzig Stadt e.V.";"Toplumsal ve Hukuki
Danıșmanlık";"Tramvay 10, 11 → K.–Liebknecht–Str. / K.–Eisnerstr.";"Salı 12 — 14 h
Persembe 9 — 11 h";"Göçmenler için destek ve danıșmanlık"
68;"Haus Steinstraße e.V.";"Toplumsal ve Hukuki
Danıșmanlık";"Tramvay 9, 10, 11 → HTWK";"Hukuki danıșmanlık, lütfen randevu aliniz";"Hukuki danıșmanlık, lütfen randevu aliniz"
69;"LinXXnet";"Toplumsal ve Hukuki
Danıșmanlık";"Tramvay 9, 10, 11, Otobüs 70, 89, 107 → Connewitzer Kreuz";"Çarșamba 10 — 16 h";"Sosyal konular hakkında danıșmanlık"
70;"2ek";"Toplumsal ve Hukuki
Danıșmanlık";"Tram 4 → Breite Straße";"Her ayin 2. ve 4. Perșembesinde
16 — 18 h";"Sosyal konular hakkında danıșmanlık"
71;"Atari";"Toplumsal ve Hukuki
Danıșmanlık";"Tramvay 4 → Breite Straße";"Pazar 15 h";
72;"Bürgertreff Volkmarsdorf";"Toplumsal ve Hukuki
Danıșmanlık";"Tramvay 3, 8 → Torgauer Platz";"Soysal danıșmanlık:
Pazartesi 13 — 15 h
Çarșamba — Cuma 9 — 18 h
Hukuki destek:
ayin ilk pazartesi için 13 — 15 h
ayin son çarșambasında 16 — 18 h";"Farklı dillerde kültürlerarası danıșmanlık
(Almanca, Rusça, Rumence, Arapça,
Kürtçe, İspanyolca, Türkçe ve Vietnamca)"
73;"Infobus";"Toplumsal ve Hukuki
Danıșmanlık";"Tramvay 3 → Arcus Park.";"Çarșamba 17 h";"Enformasyon otobüsü"
74;"Islamic Al–Sahra Center e.V.";"Dini ve spritüal alanlar ve
Topluluklar";"Tramvay 3, 7, 8, 15, Otobüs 74, 130, 131 → Angerbrücke";"Cuma Namazı:
Yazın 14 h | Kisin 13 h";
75;"Synagoge und Begegnungszentrum Leipzig e.V.";"Dini ve spritüal alanlar ve
Topluluklar";"Tramvay 4, 7, 12, 15, Otobüs 690 → Johannisplatz";;
76;"Evangelisch–Lutherische St. Trinitatis–Gemeinde Leipzig";"Dini ve spritüal alanlar ve
Topluluklar";"Tramvay 2, 8, 9, 10, 11, 14 → Wilhelm–Leuschner–Platz";;
77;"Leipzig English Church";"Dini ve spritüal alanlar ve
Topluluklar";"Tramvay 10, 11, Otobüs 60, 74 → K.–Liebknecht- / K.–Eisner–Str.";"Pazar 10.30 h ve 18.30 h";"Gemeindehaus Andreaskirche"
78;"Russische Gedächniskirche";"Dini ve spritüal alanlar ve
Topluluklar";"Tramvay 2, 16, Otobüs 74 → Deutsche Nationalbibliothek";"Pazar 10 h";
79;"Ukranian Greek Catholic Church";"Dini ve spritüal alanlar ve
Topluluklar";"Tramvay 4, Otobüs 70, S–Bahn 1, 3 → Ribeck– / Stötteritzerstr.";"Pazar 14 h";
80;"Evangelische Koreanische Gemeinde in Leipzig";"Dini ve spritüal alanlar ve
Topluluklar";"Tramvay 1, 3, 8 → Einertstraße";"Pazar 11 h";
81;"Leipziger Zentrum für islamische Kultur und Forschung e.V.";"Dini ve spritüal alanlar ve
Topluluklar";"Tramvay 1, 3, 8 → Einertstraße";"Cuma Namazı: Yazın 14 h | Kisin 13 h";"Takva Moschee"
82;"Ahmadiyya Muslim Gemeinde";"Dini ve spritüal alanlar ve
Topluluklar";"Tramvay 1, 3, 8, Otobüs 70 → H.–Liebmann– / Eisenbahnstr.";"Cuma Namazı:
Yazın 14 h | Kisin 13 h";"Cuma Namazı:"
83;"Vietnamesisch–Buddhistische Gemeinde Leipzig e.V.";"Dini ve spritüal alanlar ve
Topluluklar";"Tramvay 3 → Bautznerstr.";"Pazar 10 — 16 h";
84;"Gurdwara Gurmat Parchar e.V.";"Dini ve spritüal alanlar ve
Topluluklar";"Tramvay 7, 8, Otobüs 90 → Barbarastr.";"her gün 8 — 20 h";
85;"Salve";"Dil ve Tercüme";"Tramvay 8, 15 → Lützner-/ Merseburger Str.";;"Bu dil kurslarına bedava katılabilirsin:"
86;"Salve";"Dil ve Tercüme";"Tramvay 8, 15 → Lützner-/ Merseburger Str.";"Bașlangıç seviyesi :
Pazartesi, Çarșamba 10.30 —12 h
İlerlemiș seviyeler için:
Salı, Persembe 13.30 —15 h";"Bașlangıç seviyesi :"
87;"Die VILLA Sosyal–Kültürel Merkez";"Dil ve Tercüme";"Tramvay 3, 4, 7, 15 → Leibnizstr. oder Tram 1, 14 → Gottschedstr.";"Salı 20 h Soirée Polyglotte";"Her hafta Cafe Neulichts de bulușuyoruz, Villa’nin bodrum katında - Soiree Polyglotte–Tüm diller için
bulușma noktası–gelenler güzel bir atmosferde birbirlerini buluyorlar–her masada belirli bir dil konușuluyor."
88;"Caritashaus Leipzig";"Dil ve Tercüme";"Tramvay 1, 2, 8, 14 → Westplatz";"İlerlemiș seviye:
Salı 13.30 — 15 h
Randevulu:
Persembe 13.30 — 15 h";
89;"Uni Leipzig Sprachtandem";"Dil ve Tercüme";"Tramvay 4, 7, 8, 10, 11, 12, 14, 15, 16 → Augustusplatz";"Saatler:
Pazartesi 14 — 16 h
Persembe 9 — 11 h";"Öğrenci olmasan bile gelebilirsin! Burada bir dili bașka birisiyle beraber öğrenmeni sağlıyoruz (www.sprachtandem-leipzig.de web sitesinden hizmetlerimize ulașabilirsin)"
90;"Flüchtlingsrat e.V.";"Dil ve Tercüme";"Tramvay 1, 2, 8, 14 → Westplatz";"Bașlangıç seviyesi :
Pazartesi 11 — 12.30 h
Persembe 15 — 16.30 h
İlerlemiș seviyeler için:
Persembe 13 — 15 h";"Tek kișilik derslerde verilir."
91;"Gesellschaft für Völkerverständigung";"Dil ve Tercüme";"Tramvay 9, 10, 11, Otobüs 70, 89, 107 → Connewitzer Kreuz";"Çarșamba 15 — 17 h";"Bașlangıç seviyesinde Almanca kursu, gündelik hayat için. (8 € / Aylık + ders kitapları)"
92;"Deutsch–Russisches Zentrum Sachsen e.V.";"Dil ve Tercüme";"Tramvay 9, 10, 11, Otobüs 70, 89, 107 → Connewitzer Kreuz";"Bașlangıç seviyesi:
Pazartesi, Çarșamba 9 — 12
İlerlemiș seviye:
Salı, Persembe 12 — 15 h";
93;"2ek";"Dil ve Tercüme";"Tramvay 4 → Breite Straße";"So. 14—15.30 h";"Deutschkurs"
94;"Okul ABC–Schule";"Dil ve Tercüme";"Tramvay 1, 3, 8 → Einertstraße";;"Okuma yazma bilmeyenler için bir okul, burada okumayı ve yazmayı öğrenebilirsin (1€ /1 saat)"
95;"Infobus";"Dil ve Tercüme";;;
96;"Kinder–, Jugend– & Familienzentrum Grünau";"Gençler ve çocuklar için
bulușma noktaları";"Tramvay 1 → Krakauerstr.";"Pazartesi — Cuma 10 — 12 h";"Çocuklar, gençler ve aileler için Rekreasyon ve danıșmanlık, Açık toplantı ve Cafe, yaratıcı atölye çalıșmaları ve kültü-
rel etkinlikler."
97;"Jugendmigrationsdienst Leipzig";"Gençler ve çocuklar için
bulușma noktaları";"Tramvay 16 → Mosenthinstraße";;"Göçmen çocukların entegrasyonu için fırsatlar , projeler ve destek , gençler ve ergenler için eğitim imkânları (mesela
mesleki, müzik, spor ve internet alanlarında)."
98;"Die VILLA Sosyal–Kültürel Merkez";"Gençler ve çocuklar için
bulușma noktaları";"Tramvay 3, 4, 7, 15 → Leibnizstr. oder Tramvay 1, 14 → Gottschedstr.";"–Bilgisayar ve Tırmanma duvarları
(9 Yaș’tan itibaren) :
Pazartesi, Cuma 14 — 19 h
–Yoga: Pazartesi 17 — 18 h
–Çocuk Sirki (6–14 yas arasi) :
Çarșamba 16.30 — 18.30 h
–Bati Afrika dansı (16 yașından
itibaren): Çarșamba 17 — 19 h
–Birlikte oynayalım, futbo";
99;"Begegnungsstätte Mühlstraße e.V.";"Gençler ve çocuklar için
bulușma noktaları";"Tramvay 12, 15 → Witzgallstr. oder Tramvay 4, Otobüs 60, 70 → Riebeck– / Oststraße";;"Her yaș için yaratıcı ve sosyal etkinlikler örneğin; Anne–çocuk grupları, aileler için öğleden sonar etkinlikler,
kültürlerarası yemekler, palyaço kursları ve davul kursları."
100;"2ek";"Gençler ve çocuklar için
bulușma noktaları";"Tramvay 4, Otobüs 70, 72, 73 → Breite Str.";"herkese açık çarșamba: resim yapılır
yaratıcılığını sergileyebilir ya da müzik
yapabilirsin. Masa futbolu oynamak
da mümkün:
Çarșamba 16 — 19 h
Resim dersi: Her hafta yeni bir teknik
öğreniyoruz. Boyaları ve malzemeleri
küçük bir bağıș’a karșı paylașıyoru";
101;"OFT Rabet";"Gençler ve çocuklar için
bulușma noktaları";"Tramvay 1, 3, 8, Otobüs 70 → H.–Liebmann– / Eisenbahnstr.";;"(Herkese acik) Kickbox, Breakdance, “Sali günlerinde yemek yapmak”, Q-Club
uvm.
"
102;"Naomi e.V.";"Gençler ve çocuklar için
bulușma noktaları";"Tramvay 1, 3, 8, Otobüs 70 → H.–Liebmann– / Eisenbahnstr.";"Bilgisayar dersleri :
Salı, Çarșamba, Persembe 13 — 17 h";"Seminerler, kurslar"
103;"MiO – Der Mädchentreff im Osten";"Gençler ve çocuklar için
bulușma noktaları";"Tramvay 1, 3, 8, Otobüs 70 → H.–Liebmann– / Eisenbahnstr.";"Çarșamba 15 — 18 h";"Kültürlerarası- çok eğlenceli / bașkalarıyla bulușmak / yaratıcı bir ortam / ev ödevlerinde destek."
104;"G16 Fahrradselbsthilfewerkstatt";"Bisiklet Tamiri";"Tramvay 14 → Gießerstraße";"Sali 15’den itibaren";
105;"sublab";"Bisiklet Tamiri";"Tramvay 14 → Karl-Heine–Str. / Merseburgerstr.";"Persembe 18’den itibaren";
106;"Fahrrad- und Holzwerkstatt Ahșap Atölyesi, Bisiklet tamiri";"Bisiklet Tamiri";"Tramvay 8, 15 → Lützner-/ Merseburger Str.";"Pazartesi, Cuma 14 — 19 h";
107;"Café Kaputt";"Bisiklet Tamiri";"Tramvay 7 → G.–Schwarz- / Merseburger Str.";"Ev eșyaları ve oyuncaklar ve aklına
gelen her șey :
Salı 16 — 18 h
Elektronik eșyalar:
Çarșamba 16 — 18 h
Kıyafet ve ayakkabılar:
Persembe 16 — 18 h";"Ve bașka șeyleri de burada tamir ede-
Bilirsin:"
108;"2ek";"Bisiklet Tamiri";"Tramvay 4 → Breite Straße";"Mi. 16—18 h";"Nähwerkstatt"
109;"Wu";"Bisiklet Tamiri";"Tram 4, 7, Otobüs 72, 73 → Reudnitz,Koehlerstr.";"her ay: ilk Pazartesi 17 h, ilk Sali 15 h : atölye";"Repaircafé"
110;"109";"Bisiklet Tamiri";"Tramvay 3, 8 → Torgauer Platz";"Mo. 13 h";"Keramikwerkstatt"
111;"Radsfatz Fahrradselbsthilfe Bisiklet tamiri";"Bisiklet Tamiri";"0";"Salı 14 — 18 h
Her ayin 2. Ve 4. Çarșambası
15 — 19 h
Persembe 12 — 18 h";
112;"Wagenplatz RhizomiA";"Bisiklet Tamiri";"Tramvay 3, 8 → Torgauer Platz";"Salı 16’dan itibaren";"Herkese acık atölye"
113;"Volkspark / Küchenholz";"Doğa";"Tramvay 3 → Schwartzestraße / Otobüs 60 → Rödelstraße";;
114;"Göller Markkleeberger See";"Doğa";"Tramvay 11 → Schillerplatz";;
115;"Göller Cospudener See";"Doğa";"Tramvay 9 → Roßplatz / Otobüs 65 → Cospudener-See, Nordstrand";;
116;"Nahleberg";"Doğa";"Tramvay 10,11,Hafi f raylı sistem 1 → S-Bf. Möckern / Otobüs 67 → Leutzsch, Strbf";;
117;"Göller Auensee";"Doğa";"Otobüs 80 → Auensee";;
118;"Rabet";"Doğa";"Tramvay 1, 3, 8, Otobüs 70 → H.–Liebmann– / Eisenbahnstr.";;
119;"Naturbad Nord-Ost (Thekla-See, Bagger)";"Doğa";"Tramvay 9, Otobüs 70, 79, 80, 81, 82, 83 → Thekla";;
120;"Göller Kulkwitzer See";"Doğa";"Tramvay 1, 2 → Lausen";;
121;"Johannapark";"Doğa";"Tramvay 1, 2, 8, 14 → Westplatz";;
122;"Mariannenpark";"Doğa";"Tramvay 1 → Stannebeinplatz";;
123;"Lene-Voigt-Park";"Doğa";"Tramvay 12, 15, Otobüs 60 → Ostplatz";;
124;"Friedenspark";"Doğa";"Tramvay 12, 15, Otobüs 60 → Ostplatz / Tramvay 2, 16 → Deutsche Nationalbibliothek";;
125;"Auewald";"Doğa";"Tramvay 9 → Mathildenstraße / Otobüs 70 → Connewitzer Kreuz";;
126;"Wildpark";"Doğa";"Tramvay 9, Otobüs 107 → Wildpark";;
127;"Fockeberg";"Doğa";"Tramvay 9, 10, 1 / Otobüs 70, 89 → HTWK";;
128;"Basketbol ve Masa Tenisi";"Spor";"Tramvay 4, Otobüs 74, 79 → Kolmstr.";;
129;"Basketbol";"Spor";"Tramvay 10, 16 → An der Märchenwiese";;
130;"Futbol, Basketbal, Volleybol";"Spor";"Tramvay 10, 16 → Moritz Hof";;
131;"Basketbol, Futbol, Masa Tenisi, Skating";"Spor";"Tramvay 1, 3, 8, Otobüs 70 → H.–Liebmann– / Eisenbahnstr.";;
132;"K4 tırmanma kayaları, Basketbol veFutbol";"Spor";"Tramvay 1, 2, Otobüs 65 → Stuttgarter Allee";;
133;"Futbol";"Spor";"Tramvay 15 → Saturnstr.";;
134;"Futbol";"Spor";"Tramvay 8, 15, Otobüs 66 → Parkallee";;
135;"Futbol sahası ve basketbol sahası";"Spor";"Tramvay 8, 15, Otobüs 62, 65, Hafi f raylı sistem 1 → Miltitzer Allee";;
136;"Basketbol ve Futbol";"Spor";"Tramvay 8, 15 → Grünauer Allee";;
137;"Basketbol ve Futbol";"Spor";"Tramvay 4, Otobüs 85, 90 / Hafi f raylı sistem 1 → Coppiplatz";;
138;"Basketbol ve Volleybol";"Spor";"Tramvay 12, 15 → Gutenbergplatz";;
139;"Basketbol";"Spor";"Tramvay 2, 16, Otobüs 74 → Deutsche Nationalbibliothek";;
140;"Futbol";"Spor";"Tramvay 2, 16, Otobüs 74 → Deutsche Nationalbibliothek";;
141;"Futbol";"Spor";"Tramvay 4, 7 → Gerichtsweg";;
142;"Basketbol";"Spor";"Tramvay 10, 11, Otobüs 60, 74 → K.–Liebknecht- / K.–Eisner–Str.";;
