"ID";"name";"category";"arrival";"openinghours";"description"
34;"Sociocultural women centre";"Protected Places";"Tram 9, 10, 11, Bus 70, 89, 107 → Connewitzer Kreuz";;"Promoting art work among women and girls. A place of social communication and integration,
Especially for women."
35;"RosaLinde e.V.";"Protected Places";"Tram 4, 7 → Gerichtsweg";"counseling hours;
advance announcements welcome
Mon. 14 – 18 h and Tue. 12 – 18 h
Wed. 12 – 13 h: by appointment only
Tue. – Sat. 19 – 22 h: café";"information and advice center for lesbians, gays, bi-, trans-, inter and asexuals"
36;"International Women Leipzig Internationale Frauen Leipzig e.V.";"Protected Places";"Tram 3, 8 → Torgauer Platz";"Mon. 13 – 15 h and
Wed., Fri. 9 – 18 h: consulting";
37;"womens*space (109)";"Protected Places";"Tram 1, 3, 8, Bus 70 → H.–Liebmann– / Eisenbahnstr.";"Sun. 15.30 h";"a protected place for women to talk and laugh, to spend time together; children are welcome"
38;"Bicycle self-help – Radsfatz";"Protected Places";"Tram 3, 8 → Torgauer Platz";"Tue. 14 – 18 h
Thu. 12 – 18 h
2. / 4. Wed. of the month 15 – 19 h";"workshop for trans-fem*"
39;"G16";"Internet and Phone";"Tram 14 → Gießerstraße";"Mon., Thu. 15—20 h Infoladen";"free internet"
40;"Die Villa – Sociocultural center";"Internet and Phone";"Tram 3, 4, 7, 15 → Leibnizstr. Or Tram 1, 14 → Gottschedstr.";"Mon.—Fri. 14—19 h";"free internet"
41;"Libelle";"Internet and Phone";"Tram 1, 2, 8, 14 → Westplatz";"Thu. 15—18 h";"free internet"
42;"B12";"Internet and Phone";"Tram 10, 11 → Südplatz";"from 10 h: daily";"free internet"
43;"Conne Island";"Internet and Phone";"Tram 9 → Koburger Brücke";"Tue.—Thu. 17—20 h";"free internet"
44;"LinXXnet";"Internet and Phone";"Tram 9, 10, 11, Bus 70, 89, 107 → Connewitzer Kreuz";"Mon.—Fri. 10—18.30 h";
45;"109";"Internet and Phone";"Tram 3, 8 → Torgauer Platz";"Thu. 11—15 h";"computer, internet, printer,
scanner, copier"
46;"Trailerpark                     Wagenplatz RhizomiA";"Internet and Phone";"Tram 3, 8 → Torgauer Platz";"Sun. 14 h";"Büro– und Infowagen"
47;"Furniture Store and Service CaritasLaden";"Clothes and Stuff";"Tram 8, 15 → Grünauer Allee";"Mon. 12—17 h , Tue.—Fr. 10—17 h";"clothing, toys, school supplies and furniture"
48;"Elderly People’s Center Seniorenhaus Selbsthilfe Plagwitz e.V.";"Clothes and Stuff";"Tram 3, 14, Bus 74 → Felsenkeller";"Wed., Fri. 10—17 h";"clothing and household items"
49;"Advent Wohlfahrtswerk e.V.";"Clothes and Stuff";"Tram 14 → Nonnenstr.";"1. u. 3. Wed. of the month 13 – 17 h";"clothes for free: underwear, baby and toddler stuff"
50;"German Red Cross            DRK Kleiderkammer";"Clothes and Stuff";"Tram 3, 14, Bus 74 → Felsenkeller";"Mon., Tue., Thu. 10—12 h , Wed. 13—17 h , Fri. 10—12 h";"clothing of all kinds and furniture"
51;"Diakonie Passgenau";"Clothes and Stuff";"Tram 10, 11 → Dantestraße";"Tue.—Fri. 11—18 h";"clothing, household items and toys"
52;"Diakonie Leipziger Oase";"Clothes and Stuff";"Tram 4, 7, 12, 15, Bus 690 → Johannisplatz";"Wed., Fri. 10—14 h";"clothing, household items and toys"
53;"German Red Cross Kreisverband Leipzig Stadt e.V.";"Clothes and Stuff";"Tram 10, 11 → K.–Liebknecht–Str. / K.–Eisnerstr.";"Mon. 8—12 h, 13—17 h ,  Tue. 14—18 h , Wed. 9—12 h, 14—17 h";"clothing of all kinds and household"
54;"Con Han Hop";"Clothes and Stuff";"Tram 1, 3, 8, Bus 70 → H.–Liebmann– / Eisenbahnstr.";"Fr. 15 h";
55;"N.U.R.";"Clothes and Stuff";"Tram 1, 3, 8, Bus 70 → H.–Liebmann– / Eisenbahnstr.";"Thu. 19 h";
56;"Civic Association Schönefeld Bürgerverein Schönefeld";"Clothes and Stuff";"Tram 1 → Stöckelstraße";"Mon.—Thu. 9—12 h, 14—17 h, Fri. 9—12 h";"clothing, baby equipment, toys, school supplies and books"
57;"Alcoholics Anonymous Anonyme Alkoholiker";"Medical and
Psychological Help";;;"A. A. meetings are held every day except Sunday in various parts of the city. You will find a list of addresses and
dates on the website:"
58;"German Red Cross Kreisverband Leipzig Stadt e.V.";"Medical and           Psychological Help";"Tram 10, 11 → K.–Liebknecht–Str. / K.–Eisnerstr.";"Mon., Thu. 9—14 h";"pregnancy and family counseling"
59;"Medinetz Leipzig";;"Tram 10, 11 → K.–Liebknecht–Str. / K.–Eisnerstr.";"Tue. 16 – 18 h: consultation hours";"They arrange medical assistance and support patients on their way into the public health care system.
The placement and counseling services are non-governmental, free and anonymous. In the weekly consultations,
they arrange appointments with doctors who o"
60;"Haus Steinstraße e.V.";"Medical and           Psychological Help";"Tram 10, 11 → K.–Liebknecht–Str. / K.–Eisnerstr.";;"psychological counseling; by appointment only"
61;"Aids Hilfe Leipzig";"Medical and           Psychological Help";"Tram 1 → Ossietzky- / Gorkistraße";"Tue., Thu. 15 – 21 h
Wed. 15 – 18 h";"advice and support for HIV and AIDS cases and other sexually transmitted diseases"
62;"Conne Island";"Music";"Tram 9 → Koburger Brücke";;"Refugees can visit concerts, theater plays, readings, etc. for a donation of 50 cents."
63;"Müzik–Stüdyo.74";"Music";"Tram 3 → Volksgarten";;"Music for People: here you can meet people and play music, with or without specific knowledge.
There are rehearsal rooms, a studio, equipment and instruments. Musicians can help you on the spot."
64;"Salve";"Social Counseling
and Legal Advice";"Tram 8, 15 → Lützner-/ Merseburger Str.";"Mon.—Fri. 9.30—17 h";"counseling and information centre for refugees; support with administration, living and education"
65;"Caritashaus Leipzig";"Social Counseling";"Tram 1, 2, 8, 14 → Westplatz";"Mon. 14 — 17 h , Fri. 9 — 12 h";
66;"RefugeeLawClinic";"and Legal Advice";"Tram 2, 8, 9, 10, 11, 14 → Wilhelm–Leuschner–Platz";;"legal advice for refugees"
67;"German Red Cross Kreisverband Leipzig Stadt e.V.";"Social Counseling
and Legal Advice";"Tram 10, 11 → K.–Liebknecht–Str. / K.–Eisnerstr.";"Tue. 12—14 h , Thu. 9 — 11 h";"migration advice"
68;"Haus Steinstraße e.V.";"Social Counseling
and Legal Advice";"Tram 9, 10, 11 → HTWK";"Termine nach Vereinbarung";"legal advice"
69;"LinXXnet";"Social Counseling
and Legal Advice";"Tram 9, 10, 11, Bus 70, 89, 107 → Connewitzer Kreuz";"Wed. 10—16 h";"social counseling"
70;"2ek";"Social Counseling
and Legal Advice";"Tram 4 → Breite Straße";"2. and 4. Thu. of the month 16 – 18 h";"social counseling"
71;"Atari";"Social Counseling
and Legal Advice";"Tram 4 → Breite Straße";"Sun. 15 h";
72;"Bürgertreff Volkmarsdorf";"Social Counseling
and Legal Advice";"Tram 3, 8 → Torgauer Platz";"social counseling:
Mon. 13 – 15 h
Wed. – Fri. 9 – 18 h
legal advice:
1. Mon. of the month 13 – 15 h
4. Wed. of the month 16 – 18 h";"Intercultural counseling services in different languages: Arabic,
German, Kurdish, Romanian, Russian, Spanish, Turkish and Vietnamese."
73;"Infobus";"Social Counseling
and Legal Advice";"Tram 3 → Arcus Park.";"Wed. 17 h";"mobile legal advice"
74;"Islamic Al–Sahra Center e.V.";"Spiritual and Religious Spaces";"Tram 3, 7, 8, 15, Bus 74, 130, 131 → Angerbrücke";"Friday prayer:
14 h summertime
13 h wintertime";
75;"Synagogue and Community Center";"Spiritual and Religious Spaces";"Tram 4, 7, 12, 15, Bus 690 → Johannisplatz";;
76;"Lutheran St. Trinitatis community";"Spiritual and Religious Spaces";"Tram 2, 8, 9, 10, 11, 14 → Wilhelm–Leuschner–Platz";;
77;"Leipzig English Church";"Spiritual and Religious Spaces";"Tram 10, 11, Bus 60, 74 → K.–Liebknecht- / K.–Eisner–Str.";"Sun. 10.30 h u. 18.30 h";"Municipal House Andreaskirche"
78;"Russian Memorial Church";"Spiritual and Religious Spaces";"Tram 2, 16, Bus 74 → Deutsche Nationalbibliothek";"Sun. 10 h";
79;"Ukranian Greek Catholic Church";"Spiritual and Religious Spaces";"Tram 4, Bus 70, S–Bahn 1, 3 → Ribeck– / Stötteritzerstr.";"Sun. 14 h";"Roman Catholic Community of
St. Laurentius"
80;"Lutheran Korean Community";"Spiritual and Religious Spaces";"Tram 1, 3, 8 → Einertstraße";"Sun. 11 h";
81;"Centre for Islamic Culture and Research Leipziger";"Spiritual and Religious Spaces";"Tram 1, 3, 8 → Einertstraße";"Friday prayer in Turkish
14 h summertime
13 h wintertime";"Takva Mosque"
82;"Ahmadiyya Muslim Community";"Spiritual and Religious Spaces";"Tram 1, 3, 8, Bus 70 → H.–Liebmann– / Eisenbahnstr.";"Friday prayer:
14 h summertime
13 h wintertime";"Friday prayer"
83;"Vietnamese – Buddhist Community";"Spiritual and Religious Spaces";"Tram 3 → Bautznerstr.";"Sun. 10—16 h";
84;"Gurdwara Gurmat Parchar e.V.";"Spiritual and Religious Spaces";"Tram 7, 8, Bus 90 → Barbarastr.";"8 – 20 h: daily";
85;"Salve";"Language";"Tram 8, 15 → Lützner-/ Merseburger Str.";;"Help in finding translators"
86;"Salve";"Language";"Tram 8, 15 → Lützner-/ Merseburger Str.";"Mon., Wed. 10.30 – 12 h: beginners
Tue., Thu. 13.30 – 15 h: advanced";"(Sprachkursen)"
87;"Die Villa – Sociocultural center";"Language";"Tram 3, 4, 7, 15 → Leibnizstr.or Tram 1, 14 → Gottschedstr.";"Tue. 20 h Soirée Polyglotte";"Soiree Polyglotte: open meeting of different languages. Visitors come together in a relaxed atmosphere. At
each table a particular language is spoken. At the café in the basement of the villa."
88;"Caritashaus Leipzig";"Language";"Tram 1, 2, 8, 14 → Westplatz";"Tue. 13.30 – 15 h: advanced
Do 13.30 – 15 h: conversation";
89;"Uni Leipzig Sprachtandem";"Language";"Tram 4, 7, 8, 10, 11, 12, 14, 15, 16 → Augustusplatz";"office hours: Mon. 14 – 16 h
and Thu. 9 – 11 h";"also open to non-students! organization of language partnerships for mutual learning and
practicing of different languages"
90;"Flüchtlingsrat e.V.";"Language";"Tram 1, 2, 8, 14 → Westplatz";"Mon. 11 – 12.30 h
Thu. 15 – 16.30 h: beginners
Thu. 13 – 15 h: advanced";"if necessary, there is also provision for free private lessons"
91;"Society for International Understanding";"Language";"Tram 9, 10, 11, Bus 70, 89, 107 → Connewitzer Kreuz";"Wed. 15—17 h";"language courses for beginners in order to get along with everyday life; 8 € / month for materials"
92;"German-Russian Centre Deutsch–Russisches Zentrum Sachsen e.V.";"Language";"Tram 9, 10, 11, Bus 70, 89, 107 → Connewitzer Kreuz";"Mon., Wed. 9 – 12 h beginners
Tue., Thu. 12 – 15h advanced";
93;"2ek";"Language";"Tram 4 → Breite Straße";"Sun. 14—15.30 h";"German course"
94;"ABC-School";"Language";"Tram 1, 3, 8 → Einertstraße";;"german literacy course for illiterate adults; usually for free, otherwise very cheap (1 € per hour )"
95;"Infobus";"Language";;;
96;"Children, Youth and Family Centre                           Kinder–, Jugend– & Familienzentrum Grünau";"Meeting Points for Children
and Teenagers";"Tram 1 → Krakauerstr.";"Mon.—Fr. 10—12 h";"free time activities and counseling for children, youth and families: open meetings, café, creative workshops and cultural activities"
97;"Youth Migration Service Jugendmigrationsdienst Leipzig";"Meeting Points for Children and Teenagers";"Tram 16 → Mosenthinstraße";;"offers projects and support for the integration of immigrant children, adolescents and young adults in the fields of education, training, work, sports, music and internet"
98;"Die Villa – Sociocultural center";"Meeting Points for Children and Teenagers";"Tram 3, 4, 7, 15 → Leibnizstr.or Tram 1, 14 → Gottschedstr.";" Mon. Fr 14 – 19 h: computer use; climbing wall,
9 years and over
Mon. 17 – 18 h: hatha yoga
Wed. 16.30 – 18.30 h:
circus for children aged
6 –14 years
Wed. 17 – 19 h:
west african dance,
16 years and over
Web. from 19 h:
let’s play – table soccer, darts,";
99;"Meeting Place Mühlstraße e.V.";"Meeting Points for Children and Teenagers";"Tram 12, 15 → Witzgallstr.or Tram 4, Bus 60, 70 → Riebeck– / Oststraße";;"creative and social events for all ages: e.g. mother-child groups, family afternoons, intercultural cooking, clown courses and drumming lessons"
100;"2ek";"Meeting Points for Children and Teenagers";"Tram 4, Bus 70, 72, 73 → Breite Str.";"Thu. 18.30 h—20.00 h Painting lesson:
every week a new technique is
practiced, materials are provided for
a small donation; also for adults.";
101;"OFT Rabet";"Meeting Points for Children and Teenagers";"Tram 1, 3, 8, Bus 70 → H.–Liebmann– / Eisenbahnstr.";;"open meeting point in the neighborhood park at the house with a colorful facade:
kickboxing, breakdancing, cooking on tuesday, Q–Club, etc."
102;"Naomi e.V.";"Meeting Points for Children and Teenagers";"Tram 1, 3, 8, Bus 70 → H.–Liebmann– / Eisenbahnstr.";"Tue., Wed. and Thu. 13 – 17 h:
Computerroom";"seminars, courses and artistic workshops"
103;"MiO – Girls Meeting Point in the East";"Meeting Points for Children and Teenagers";"Tram 1, 3, 8, Bus 70 → H.–Liebmann– / Eisenbahnstr.";"Wed. 15—18 h";"fun activities for girls: intercultural meetings, creative work and assistance with homework"
104;"G16 Bicycle self-help workshop";"Workshops";"Tram 14 → Gießerstraße";"Thu. 18 h";
105;"sublab";"Workshops";"Tram 14 → Karl-Heine–Str. / Merseburgerstr.";"Thu. 18 h";
106;"Bicycle and wood workshop";"Workshops";"Tram 8, 15 → Lützner-/ Merseburger Str.";"Tue. 18—20 h";
107;"Café Kaputt";"Workshops";"Tram 7 → G.–Schwarz- / Merseburger Str.";"Tue. 18 – 20 h: woodworks etc.
Wed. 15 – 19 h: electronics
Thu. 16 – 18 h: textiles";"On donation basis you can fix your stuff. We offer help, tools and some spare parts for repair."
108;"2ek";"Workshops";"Tram 4 → Breite Straße";"Wed. 16—18 h";"sewing room"
109;"Wu";"Workshops";"Tram 4, 7, Bus 72, 73 → Reudnitz,Koehlerstr.";"Mon. 17 h: Repaircafé
1. Tue. of the month ab 15 h: textile";"Repaircafé"
110;"109";"Workshops";"Tram 3, 8 → Torgauer Platz";"Mon. 13 h";
111;"Radsfatz bicycle self-help";"Workshops";"Tram 3, 8 → Torgauer Platz";"Tue. 14 – 18 h
Thu. 12 – 18 h
2. / 4. Wed. of the month 15 – 19 h";
112;"Trailerpark                Wagenplatz RhizomiA";"Workshops";"Tram 3, 8 → Torgauer Platz";"3. Tue. of the month 15 h";"open sewing workshop"
113;"Volkspark / Küchenholz";"Nature";"Tram 3 → Schwartzestraße or Bus 60 → Rödelstraße";;
114;"Lake Markleeberg?  Markleeberger See";"Nature";"Tram 11 → Schillerplatz";;
115;"Lake Cospuden?";"Nature";"Tram 9 → Roßplatz or Bus 65 → Cospudener-See, Nordstrand";;
116;"Nahlehill?";"Nature";"Tram 10,11, S-Bahn 1 → S-Bf. Möckern or Bus 67 → Leutzsch, Strbf";;
117;"Auensee";"Nature";"Bus 80 → Auensee";;
118;"Rabet";"Nature";"Tram 1, 3, 8, Bus 70 → H.–Liebmann– / Eisenbahnstr.";;
119;"Naturbad Nord-Ost (Thekla-See, Bagger)";"Nature";"Tram 9, Bus 70, 79, 80, 81, 82, 83 → Thekla";;
120;"Lake Kulkwitz?            Kulkwitzer See";"Nature";"Tram 1, 2 → Lausen";;
121;"Johannapark";"Nature";"Tram 1, 2, 8, 14 → Westplatz";;
122;"Mariannenpark";"Nature";"Tram 1 → Stannebeinplatz";;
123;"Lene-Voigt-Park";"Nature";"Tram 12, 15, Bus 60 → Ostplatz";;
124;"Friedenspark";"Nature";"Tram 12, 15, Bus 60 → Ostplatz or Tram 2, 16 → Deutsche Nationalbibliothek";;
125;"Auewald";"Nature";"Tram 9 → Mathildenstraße or Bus 70 → Connewitzer Kreuz";;
126;"Wildpark";"Nature";"Tram 9, Bus 107 → Wildpark";;
127;"Fockeberg";"Nature";"Tram 9, 10, 1 or Bus 70, 89 → HTWK";;
128;"basketball court and
table tennis";"Sports";"Tram 4, Bus 74, 79 → Kolmstr.";;
129;"basketball court at Märchenwiese";"Sports";"Tram 10, 16 → An der Märchenwiese";;
130;"Fußballplatz, Basketball, Volleyball";"Sports";"Tram 10, 16 → Moritz Hof";;
131;"basketball- and soccer field,
volleyballcourt at Rabet";"Sports";"Tram 1, 3, 8, Bus 70 → H.–Liebmann– / Eisenbahnstr.";;
132;"K4 climbing wall, soccer
and volleyball";"Sports";"Tram 1, 2, Bus 65 → Stuttgarter Allee";;
133;"soccer field";"Sports";"Tram 15 → Saturnstr.";;
134;"soccer field";"Sports";"Tram 8, 15, Bus 66 → Parkallee";;
135;"soccer field with small goals
and low baskets";"Sports";"Tram 8, 15, Bus 62, 65, S–Bahn 1 → Miltitzer Allee";;
136;"basketball court, soccer goal";"Sports";"Tram 8, 15 → Grünauer Allee";;
137;"basketball- and soccer field";"Sports";"Tram 4, Bus 85, 90 or S–Bahn 1 → Coppiplatz";;
138;"basketball court and volleyball
at Lene-Voigt-Park";"Sports";"Tram 12, 15 → Gutenbergplatz";;
139;"basketball- and soccer field
at Friedenspark";"Sports";"Tram 2, 16, Bus 74 → Deutsche Nationalbibliothek";;
140;"soccer field";"Sports";"Tram 2, 16, Bus 74 → Deutsche Nationalbibliothek";;
141;"soccer field";"Sports";"Tram 4, 7 → Gerichtsweg";;
142;"basketball court";"Sports";"Tram 10, 11, Bus 60, 74 → K.–Liebknecht- / K.–Eisner–Str.";;
