"name","placename","street","zip","city","openingHours","phone","fax","mail","web","facebook","speakerPrivate","speakerPublic","spokenLanguages","description","category_horbz","category","subCategory","lat","lon"
"RAA Hoyerswerda/ Ostsachsen e.V.","Im Industriegelände","Straße B Nr.8","02977","Hoyerswerda","Nach Terminabsprache","03571-416072","03571-924047","kontakt@raa-hoyerswerda.com","www.raa-hoyerswerda.com",,"Birgit Radeck","Evelyn Scholz","Deutsch, Englisch, Russisch","Die regionale Arbeitsstelle für Bildung, Demokratie und Lebensperspektive ist ein Verein, welcher mit vielen Aufgabenfeldern gefüllt ist. Frau Radeck ist Ansprchpartnerin für die Unterstützung und Hilfeleistung der Geflüchteten und dem Ehrenamt. Sie übernimmt die Position eine zentrale Anlaufstelle, wenn es um Belange in der Geflüchtetenhilfe geht.  ","Allgemeines (Unterpunkt: kirchliche/ freie Träger)","010cfae4-7506-425b-ba37-80e8d83427f0",,"51.43186","14.29321"
"Bürgerbündnis „Hoyerswerda hilft mit Herz“",,"Dillinger Straße 1","02977","Hoyerswerda","Dienstag 14:00 – 16:00 Uhr","03571-6099905","/","BB-Hoy-hilft@t-online.de","www.hoyerswerda-hilft-mit-herz.de",,"Birgit Radeck","Birgit Radeck, Jörg Michel","Deutsch, Englisch, Russisch","Hoyerswerda hilft mit Herz ist eine Bürgerinitiative der Stadt, welche sich gefunden hat, um den Geflüchteten in der Stadt zu helfen. Dies äußert sich in unterschiedlichen Arbeitsfeldern. Von ehrenamtlichen Deutschunterricht und Kinderbetreuung, zu Patenschaften und Unterstützung bei der Wohnungseinrichtung. Auch Geflüchtete können zum Bündnis kommen, sollten sie Unterstützung oder Beratung benötigen. ","Allgemeines (Unterpunkt: Vereine und Initiativen)","010cfae4-7506-425b-ba37-80e8d83427f0",,"51.43362","14.2448"
"Josua Gemeinde Bautzen",,"Dr.-Peter-Jordan-Str. 9","02625","Bautzen","je nach Projekt; feste Angebote sind: Käller International: Mo und Mi 12 - 19 Uhr, Fahhradgarage: Di und Do 13.30 - 17.30, Kleiderkammer: Mo 10 - 12, Hilfe auf Ämtern: Mo bis Mi 10 - 12","03591 491653, 0177 8481819",,"info@josua-gemeinde-bautzen.de","www.josua-gemeinde-bautzen.de, http://www.kiki-bautzen.de/","https://www.facebook.com/josuagemeindebautzen/","Alf Mudrich","Alf Mudrich","Deutsch, Englisch, Arabisch, Farsi","Die Josua Gemeinde ist eine freie evangelische Gemeinde, die 1988 gegründet wurde. Seit über zwei Jahren ist sie Mitglied beim Bund Freikirchlicher Pfingstgemeinden (BFP). Die Josua Gemeinde sieht sich als Mitmachkirche mit vielen ehrenamtlichen Mitarbeitern in unterschiedlichen Bereichen. Neben den Sonntags und Freitags stattfindenden Gottesdiensten und Suchgottesdiensten setzt sich die Gemeinde mittels verschiedener Angebote aktiv für Flüchtlinge ein. Als Angebote sind zu nennen:  offene Jugendarbeit Kinder- und Jugendzentrum 'Der Käller' im Keller des Gemeindezentrums, Musikschule, Fahrradwerkstatt, BuFDi-Tätigkeiten, Deutschunterricht, Kleiderkammer, Hilfe auf Ämtern, Umzugshilfe.","Allgemeines (Unterpunkt: kirchliche/ freie Träger)","010cfae4-7506-425b-ba37-80e8d83427f0",,"51.17186","14.43362"
" Kreisvolkshochschule Bautzen (Regionalstellen in Bautzen, Kamenz, Radeberg)",,"Dr.-Peter-Jordan-Str. 21","02625","Bautzen","Mo-Fr  9 – 12 Uhr, Mo-Mi und Fr 13 – 16 Uhr, Do 13 – 18 Uhr","03591 / 272 29-0 ","03591 / 272 29-19","info@kvhsbautzen.de, anja.schmidt@kvhsbautzen.de","www.kvhsbautzen.de",,"Anja Schmidt (Fachbereichsleiterin Deutsch, Integration & Grundbildung)","Anja Schmidt (Fachbereichsleiterin Deutsch, Integration & Grundbildung)","Deutsch, Englisch, Spanisch, Französisch","Die Kreisvolkshochschule Bautzen bietet Angebote für verschiedene Adressaten: neben Angeboten zu Politik, Gesellschaft,Umwelt und Gesundheit lädt die VHS ein, um an kulturellen, kreativen oder sprachlichen Angeboten teil zu nehmen. Sprachangebote u.a. sind: soffene Deutschkurse A1-B2 (C1 auf Anfrage), Integrationskurse, geförderte Deutschkurse für Asylbewerber und Leistungsbezieher, Prüfungen, Einbürgerungstest","Arbeit und Bildung","d29bbe86-ecd6-42df-8054-70a90ec7b535",,"51.17036","14.43649"
"Kreisvolkshochschule Bautzen / Regionalstelle Kamenz",,"Macherstr. 144a","01917","Kamenz","Mo-Fr  9 – 12 Uhr, Mo-Mi und Fr 13 – 16 Uhr, Do 13 – 18 Uhr"," 03578 / 3096-0","03578 / 3097-55","siehe oben","www.kvhsbautzen.de",,"siehe oben",,"Deutsch, Englisch, Spanisch, Französisch","Die Kreisvolkshochschule Bautzen/Regionalstelle Kamenz bietet Angebote für verschiedene Adressaten: neben Angeboten zu Politik, Gesellschaft,Umwelt und Gesundheit lädt die VHS ein, um an kulturellen, kreativen oder sprachlichen Angeboten teil zu nehmen. Sprachangebote u.a. sind: soffene Deutschkurse A1-B2 (C1 auf Anfrage), Integrationskurse, geförderte Deutschkurse für Asylbewerber und Leistungsbezieher, Prüfungen, Einbürgerungstest","Arbeit und Bildung","d29bbe86-ecd6-42df-8054-70a90ec7b535",,"51.288619","14.113972"
"Stadt Hoyerswerda, Beauftragter für Asyl und Integration",,"Markt 1","02977","Hoyerswerda","Montag 8.30 - 12.00 Uhr, Dienstag 8.30 - 16.00 Uhr, Mittwoch nur nach Vereinbarung,  Donnerstag 8.30 - 18.00 Uhr, Freitag  8.30 - 12.00 Uhr","03571 456402","03571 45786402","kai.petschick@hoyerswerda-stadt.de","www.hoyerswerda.de",,"Kai Petschick","Kai Petschick","Deutsch, Englisch","Ansprechpartner für die Bürgerschaft, Vereine und Verbände sowie Gewerbetreibende bei Fragen zum Thema Asyl und Integration; Vernetzung von Akteuren in der Stadt und Beratung zu entsprechenden Förderungen und Programmen.","Allgemeines (Unterpunkt: Behörden)","010cfae4-7506-425b-ba37-80e8d83427f0",,"51.43901","14.24321"
"Stadtbibliothek G. E. Lessing",,"Lessingplatz 3","01917","Kamenz","Montag bis Freitag 10 bis 18 Uhr, Mittwoch geschlossen","Tel.: 03578/379-288"," 03578/379-289","bibliothek@stadt.kamenz.de","https://kamenz.bibliotheca-open.de/Willkommen.aspx",,"Marion Kutter, Bibliotheksleiterin","Marion Kutter, Bibliotheksleiterin","Deutsch, Englisch","Unterstützung bei Informationsrecherchen und Literatursuche,  Bibliothekseinführungen, Schüler-Seminare, Kinderveranstaltungen, Nutzung des Internets, Anfertigen von Kopien und Ausdrucken","Arbeit und Bildung","d29bbe86-ecd6-42df-8054-70a90ec7b535",,"51.272039","14.095246"
"Stadtbibliothek Bautzen/ Hauptbibliothek",,"Schloßstraße 10/12","02625","Bautzen","Montag und Freitag: 10 - 19 Uhr, Dienstag und Mittwoch:  12 – 18 Uhr, Donnerstag geschlossen","03591/ 534 850","03591/ 534 817","stadtbibliothek@bautzen.de / bibliotheksservice@bautzen.de","www.stadtbibliothek-bautzen.de",,"Sabine Kempel / Karin Hahn","Sabine Kempel / Karin Hahn","Deutsch, Sorbisch","Die Stadtbibliothek Bautzen ist eine öffentliche, für jedermann zugängliche Einrichtung der Stadt Bautzen, zu der die Hauptbibliothek, die Kinder- und Jugendbibliothek sowie die Fahrbücherei gehört. Die Anmeldung erfolgt persönlich unter Vorlage des Personalausweises oder eines gleichgestellten Dokumentes mit Lichtbild und Adresse. Die Ausleihe ist kostenlos, für Sonderdienstleistungen wie Fernleihe oder Ausdrucke u.a. entstehen Gebühren.                    ","Arbeit und Bildung","d29bbe86-ecd6-42df-8054-70a90ec7b535",,"51.18328","14.42196"
"Stadtbibliothek Bautzen/ Kinder- und Jugendbibliothek",,"Wendischer Graben 1","02625 ","Bautzen","Montag, Dienstag, Mittwoch, Freitag:  13 - 18 Uhr, Donnerstag geschlossen","03591/ 42 373",,"jugendbibliothek@bautzen.de",,,"Kristin Lehmann","Kristin Lehmann","Deutsch, Sorbisch","In der Kinder- und Jugendbibliothek umfasst das speziell auf Kinder und Jugendliche abgestimmte Medienangebot Bücher, Comics, Mangas, Sachliteratur aller Wissensgebiete für Freizeit, Hobby und Schule, CDs, DVDs, Konsolenspiele und Zeitschriften. Vormittags können verschiedene Projekte, Buchvorstellungen und Autorenlesungen und Ferienveranstaltungen einschließlich Bibliothekseinführungen durchgeführt bzw. besucht werden.","Arbeit und Bildung","d29bbe86-ecd6-42df-8054-70a90ec7b535",,"51.18153","14.42755"
"Stadtbibliothek Bautzen/ Fahrbücherei",,"Preuschwitzer Str. 20","02625","Bautzen",,"03591/ 534 850",,"fahrbuecherei@bautzen.de",,,,,"Deutsch, Sorbisch","Die Fahrbücherei bedient im 14-täglichen Rhythmus Haltestellen im Stadtgebiet und im Landkreis. Der Fahrplan ist unter www.stadtbibliothek.de zu finden.","Arbeit und Bildung","d29bbe86-ecd6-42df-8054-70a90ec7b535",,"51.17211","14.42146"
"Bündnis Radeberger Land hilft e.V.","c/o Stadtverwaltung Große Kreisstadt Radeberg,","Markt 19","01454","Radeberg","/","01520 5981920",,"info@buendnis-radeberger-land-hilft.de","http://www.buendnis-radeberger-land-hilft.de/",,"Vereinsvorstand Ulrich Hensel","Vereinsvorstand Ulrich Hensel","Deutsch, Englisch","Seit der Gründung im Juni 2015 unterstützt der Verein 'Bündnis Radeberger Land hilft' Asylbewerber und Flüchtlinge rund um Radeberg ob dezentral in Wohnungen oder in einer zentralen Unterkunft untergebracht. Das Bündnis ist ein eingetragener, gemeinnütziger Verein, der sich aus Mitgliedsbeiträgen und Spenden finanziert. Zweck des Vereins ist die Hilfe und das Engagement für Menschen in Not, insbesondere für Migrantinnen und Migranten sowie die Förderung von nachbarschaftlichen Begegnungsmöglichkeiten im Sinne eines gedeihlichen Miteinanders. Es gibt themenbezogene Arbeitsgemeinschaften: die AG Spendenkoordination, die AG Sprache und Verständigung, die AG Gesundheit und medizinische Versorgung, die AG Sport, die AG Beschäftigung, die AG Logistik, die AG Integration, Familie und Begegnung.","Allgemeines (Unterpunkt: Vereine und Initiativen)","010cfae4-7506-425b-ba37-80e8d83427f0",,"51.11841","13.922354"
"Bündnis für Humanität und Toleranz","Stadttheater Kamenz, 2. Etage Treppenaufgang rechts (ehemalig Räume des SprachrOhr)","Pulsnitzer Straße 11","01917","Kamenz","Montags 15:00 – 16:00 Uhr","03578 / 37 92 02 (Montags, während der Sprechzeit)",,"buendniskamenz@gmx.de","http://www.buendnis-kamenz.de/",,"Sprecher Richard Boes","Sprecher Richard Boes","Deutsch, Sorbisch, Russisch","Engagierte Bürgerinnen und Bürger, die Stadt Kamenz sowie Unternehmen der Stadt und Umgebung vereinen sich im Bündnis für Humanität und Toleranz zur Unterstützung der Asylsuchenden. Unser Anliegen ist die Weiterentwicklung  einer Willkommenskultur und das Leben von Solidarität und Akzeptanz mit den hier ankommenden Menschen. Mit unserem Handeln wollen wir die Unterbringung, Betreuung und Unterstützung von Kriegsflüchtlingen und Asylbewerbern menschenwürdig gestalten und Barrieren überwinden helfen. Wir wenden uns gegen jede Form von Ausländerfeindlichkeit, Intoleranz und Rassismus.","Allgemeines (Unterpunkt: Vereine und Initiativen)","010cfae4-7506-425b-ba37-80e8d83427f0",,"51.270127","14.093038"
"Haselbachtal hilft - für ein Haselbachtal mit Herz und Verstand ","c/o Gemeindeverwaltung Haselbachtal","Schulstraße 7a","01920","Haselbachtal ",,,,"haselbachtal.hilft@gmx.de","https://haselbachtalhilft.wordpress.com/","https://de-de.facebook.com/haselbachtalhilft/",,,"Deutsch, Englisch","(Heim in Häslich schließt Ende Januar 2017!) Wir wollen Flüchtlingen helfen, sich in unserer Gemeinde zurechtzufinden. Außerdem möchten wir Anwohner, Gemeindeverwaltung und Flüchtlinge unterstützen, wenn es in der Gemeinde wegen der neuen Situation zu Missverständnissen kommt. Wir sind davon überzeugt, dass es auf vielfältige Weise möglich ist, ein gemeinschaftliches und gutes Zusammenleben aller Menschen im Haselbachtal zu fördern. Uns ist bewusst, dass die neue Situation sowohl die Dorfgemeinschaft als auch die Asylbewerber vor Herausforderungen stellen wird – gerade weil Häslich und seine alte Schule bei Weitem kein idealer Ort für einen erfolgreichen Start in einem neuen Land sind. Gerade deshalb ist es wichtig, die Anwohner, Flüchtlinge und Gemeindeverwaltung bei der schwierigen neuen Aufgabe zu unterstützen. Wir wollen auf Missverständnisse, Konflikte und Frustration schnell und unkompliziert reagieren, indem wir vermitteln, erklären und praktische Lösungen suchen. Perspektivlosigkeit, Angst und Hass haben im Haselbachtal nichts verloren.","Allgemeines (Unterpunkt: Vereine und Initiativen)","010cfae4-7506-425b-ba37-80e8d83427f0",,"51.23767","14.03266"
"Koordinator AWO Kreisverband Lausitz e.V., Schwerpunkt Asyl",,"Thomas-Müntzer-Str. 26","02977","Hoyerswerda",,"0163/6987501","03571/6027758","K.Stanulla@awo-lausitz.de","http://awo-lausitz.de/",,"Kevin Stanulla","Kevin Stanulla","Deutsch","Der Koordinator für Asyl des AWO Kreisverbands Lausitz e.V. ist verantwortlich für den Bereich Asylunterkünfte der AWO und fungiert somit als Schnittstelle zwischen Partnereinrichtungen, Landes- und Bundesverbänden, politischen Stellen und Verwaltungen.","Allgemeines (Unterpunkt: kirchliche/ freie Träger)","010cfae4-7506-425b-ba37-80e8d83427f0",,"51.45213","14.27044"
"Beauftragter für Asyl und Integration der Stadt Bischofswerda",,"Altmarkt 1","01877","Bischofswerda",,"03594 786-216",,"sascha.hache@bischofswerda.de","http://www.bischofswerda.de/rathaus-und-verwaltung/asyl-und-integration.html",,"Sascha Hache ","Sascha Hache ","Deutsch","Der Beauftragte für Asyl und Integration der Stadt Bischofswerda ist Schnittstelle zwischen ehrenamtlichen Initiativen der Stadt Bischofswerda, dem Jobcenter des Landratsamtes Bautzen, der Agentur für Arbeit und der Stadt Bischofswerda. ","Allgemeines (Unterpunkt: Behörden)","010cfae4-7506-425b-ba37-80e8d83427f0","authority","51.128133","14.17918"
"Begegnungscafé im Offenen Treff /  Jugendhaus 'Freizone'",,"Belmsdorfer Straße 28","01877","Bischofswerda","Bürgersprechstunde und Begegnungscafé: Montags 16-18 Uhr","03594 716809",,"buergerinfo-asyl@bischofswerda.de ","http://www.bischofswerda.de/rathaus-und-verwaltung/asyl-und-integration.html",,"Martina Jordan","Martina Jordan","Deutsch","Montags zwischen 16 und 18 Uhr findet im Offenen Treff 'Freizone' das Begegnungscafé statt, welches interessierte Menschen zum Beisammensein einlädt. Bei Fragen und Hilfsangeboten zum Thema Asyl und Integration können Interessenten in der parallel stattfindenden Bürgersprechstunde beraten werden.","Freizeit und Gemeinschaft","adfb2457-819c-4574-ace1-56f5b38d8f96",,"51.12325","14.1912"
"Caritas Verband Oberlausitz e.V.- Migrationsberatung für Erwachsene, Hilfe für Asylbewerber, Flüchtlinge und Ausländer",,"Kirchplatz 2","02625","Bautzen","Montag 10 - 12 Uhr und 14 - 17 Uhr, Mittwoch 14 - 16 Uhr, Freitag 9 - 12 Uhr","03591 498250","03591 498219","meb@caritas-oberlausitz.de","http://www.caritas-oberlausitz.de/migration02.htm, http://www.caritas-oberlausitz.de/2016%20Sprechzeiten%20Caritasverband.pdf",,"Andreas Rentsch (Dipl.-Sozialarbeiter FH)","Andreas Rentsch (Dipl.-Sozialarbeiter FH)","Deutsch","Sie können zu uns kommen, wenn Sie als Spätaussiedler in die Bundesrepublik Deutschland eingereist sind, 
als ausländischer Ehepartner mit einer Spätaussiedlerfamilie oder über die Familienzusammenführung in Deutschland eingereist sind, mit einem deutschen Partner leben oder verheiratet sind und einen Aufenthaltstitel für Deutschland in Ihrem ausländischen Pass haben, als ausländischer Bürger in Deutschland leben und Rat suchen, das 27. Lebensjahr vollendet haben oder Fragen haben, die nicht jugendtypisch sind. Die Beratung ist kostenlos. Wir nehmen uns Zeit und beraten Sie zu allen Formalitäten und Anmeldungen am neuen Wohnort (Erstberatung), zu den rechtlichen Gegebenheiten z. B. Zuwanderung, soziale Sicherung, zum Leben in der Bundesrepublik Deutschland, bei persönlichen Problemen und Schwierigkeiten, die mit der Zuwanderung entstehen, über Möglichkeiten des Erlernens der deutschen Sprache in Sprachkursen.","Beratung","df402493-f467-4472-8b98-9038d2ac967e",,"51.180624","14.42895"
